Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
Robomate Plus,18002100009,,,,,All Offline & Online Courses Available,Mulund West,400036,nagpur,India,robomateleads@mteducare.com,,Mehek Khan,Monday - Saturday: 9 AM - 8 PM,,"MT EduCare Ltd, we believe in facilitating an environment to excel in studies. We offer world class infrastructure in addition to curriculum taught by the subject matter experts of the highest caliber backed by well  researched content and customized evaluation systems. Our interactive and new age methodologies not only make learning as an enjoyable experience but also create motivated and energetic students ready to excel in their exams.. Contact us for further details.  ",,
Gurukrupa Academy Pvt. Ltd.,0712 - 6456574, 9503056379,,,,"213, 2nd Floor, Zenda Chowk",Dharampeth,440001,nagpur,India,gkacad@gmail.com,http://www.gurukrupaacademy.com,Ashish Diwan,Monday - Sunday: 7.30 AM - 8.30 PM,"Campus Recruitment Training , IPS Entrance Exam Coaching , MPPSC Entrance Exam Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , MPSC Coaching , UPSC Coaching , IBPS Bank Interview Coaching , IAS Entrance Coaching , Banking Tuitions , Placement Training , Aptitude Training , CET Entrance Coaching , ",Gurukrupa Academy Pvt. Ltd. is here in this field for many years. We deal with all Competitive Exam Coaching. Your happiness is our satisfaction. We are experienced service providers catering to the requirements of our valuable clients. We assure that you will walk out with pleasurable experience as our customer. Contact us for your needs.  ,"http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-23-2015%204-17-14%20PM-0f9c1dcd-66dc-4862-b224-dc7fb6ec0904.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-23-2015%204-17-52%20PM-69f7ca14-f618-46aa-861e-92f3d21dd6f0.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-23-2015%204-18-26%20PM-eaba857d-c055-48f4-82c9-044ac22343e1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-23-2015%204-18-44%20PM-ddb44658-369e-4902-82ef-9c05dafa7322.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-23-2015%204-17-14%20PM-0f9c1dcd-66dc-4862-b224-dc7fb6ec0904.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-23-2015%204-17-52%20PM-69f7ca14-f618-46aa-861e-92f3d21dd6f0.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-23-2015%204-18-26%20PM-eaba857d-c055-48f4-82c9-044ac22343e1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-23-2015%204-18-44%20PM-ddb44658-369e-4902-82ef-9c05dafa7322.png , ","IPS Entrance Exam Coaching , MPPSC Entrance Exam Coaching , MPSC Coaching , Placement Training , RRB Entrance Exam Coaching , SSC Entrance Exam Coaching , UPSC Coaching , "
ICES - Innovative & Creative Education Solution,+91 20 39843467,,,,,"2nd Floor, Above Apex Sonography",Wakad,411033,nagpur,India,infoicespune@gmail.com,http://www.ices-eduworld.com,Savita  Pawar,Monday - Sunday: 8.30 AM - 8.30 PM,"Botony Tuitions , IPS Entrance Exam Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , Computer Science Tuitions (11th & 12th STD) , Physics Tuitions (11th & 12th) , CACPT Coaching , MPSC Coaching , UPSC Coaching , Commerce Tuitions (11th & 12th STD) , CTET Coaching , NEET Entrance Coaching , Diploma in Banking & Finance (DBF) Coaching , IBPS Bank Interview Coaching , NIOS Coaching , Engineering EAMCET Coaching , Navodaya Vidyalaya Entrance Coaching , PSU Entrance Coaching , CAT Coaching , IAS Entrance Coaching , College Tuitions for Accounts, Finance, Statistics , Tuitions for College Subjects , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , B.B.A. Entrance Coaching , Hotel Management Entrance Coaching , GRE Coaching , ISC Tuitions for 11th & 12th , Economics Coaching Classes (9th & 10th STD) , Medical Entrance Coaching , SSC JE Entrance Coaching , Chartered Accountant Coaching , Banking Tuitions , MBA & BBA Coaching , NATA Coaching , Economics Coaching Classes (11th & 12th STD) , Chemistry Tuitions (11th & 12th) , IB Chemistry Tuitions , Biology Tuitions (11th & 12th) , 2nd Year PUC Coaching , TOEFL Coaching , SBI PO Training , Advanced Level (A-Level) Maths Tuitions , Advanced Level (A-Level) Physics Tuitions , CBSE Tuitions for English , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , College Tuitions for Chemistry , IGCSE Maths Tuitions , IGCSE Physics Tuitions , ICSE English Tuitions , IB Maths Tuitions , IIT HSEE Coaching , IGCSE Economi Show less « , ","ICES - Innovative & Creative Education Solution. Our passion for teaching has lead to foundation of Innovative & Creative Education Solutions in 2006. The sincere efforts of our teaching faculty with qualification like Ph D, IITians, ME, M Tech, BE, MA B Ed, etc have lead to growth in success rate of the students culminating in four students qualifying for JEE-Advance in 2014. Several students have added a feather to our cap by their performances in Olympiads, Scholarship, and other entrance/ competitive exams. Our test series have been of great help in students performing their best in the board as well as competitive exams.A coherent team of highly qualified and experienced professors, who are expert in teaching their subjects, provide a systematic, thorough and perfect guidance of all subjects under one roof.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/08-01-2016%2009-05-50-86c58bb0-35d3-4396-ab42-87658f1c330b.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/08-01-2016%2009-07-08-73a70480-7863-4d81-ab69-1e0ed4faf25c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/08-01-2016%2009-07-27-0f864dd4-93de-4c44-99d3-ec62be17705e.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/08-01-2016%2009-07-54-c773b432-d581-4d04-98cd-2e4462af2739.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/08-01-2016%2009-08-19-f2e47e58-73cd-43d9-b75d-4f6545399957.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/08-01-2016%2009-05-50-86c58bb0-35d3-4396-ab42-87658f1c330b.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/08-01-2016%2009-07-08-73a70480-7863-4d81-ab69-1e0ed4faf25c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/08-01-2016%2009-07-27-0f864dd4-93de-4c44-99d3-ec62be17705e.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/08-01-2016%2009-07-54-c773b432-d581-4d04-98cd-2e4462af2739.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/08-01-2016%2009-08-19-f2e47e58-73cd-43d9-b75d-4f6545399957.png , ","1 Month Program , 10th STD Tuitions , 1st Year PUC Coaching , 2nd Year PUC Coaching , 3 Months Program , 6 Months Program , AMIE Coaching , Aptitude Training , Architecture Entrance Coaching , B.B.A. Entrance Coaching , B.Sc. IT Coaching , Banking Tuitions , BCA Entrance Exam Coaching , Biology Tuitions (11th & 12th) , Botony Tuitions , CACPT Coaching , CAT Coaching , CBSE Accounts (11th & 12th ) Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for English , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CET Entrance Coaching , Chartered Accountant Coaching , Chemistry Tuitions (11th & 12th) , Classroom Tuitions , College Tuitions for Accounts, Finance, Statistics , College Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , Commerce Tuitions (11th & 12th STD) , Computer Science Tuitions (11th & 12th STD) , CTET Coaching , Daily Classes , Diploma in Banking & Finance (DBF) Coaching , Economics Coaching Classes (11th & 12th STD) , Economics Coaching Classes (9th & 10th STD) , Engineering EAMCET Coaching , Evening Classes , GRE Coaching , Hotel Management Entrance Coaching , IAS Entrance Coaching , IB Chemistry Tuitions , IB Maths Tuitions , IBPS Bank Interview Coaching , ICSE Biology Tuitions , ICSE Chemistry Tuitions , ICSE English Tuitions , ICSE Physics Tuitions , ICWA Coaching , IGCSE Accounts 11th & 12th , IGCSE Chemistry Tuitions , IGCSE Economics 11th & 12th , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IIT HSEE Coaching , IIT-JEE Coaching , IPS Entrance Exam Coaching , ISC Tuitions for 11th & 12th , JEE Advanced Coaching , KMAT Coaching , MBA & BBA Coaching , MCA Entrance Coaching , MCA Entrance Exam Coaching , Medical Entrance Coaching , MPSC Coaching , NATA Coaching , Navodaya Vidyalaya Entrance Coaching , NCHMCT JEE Coaching , NEET Entrance Coaching , NIOS Coaching , Online Test Series for Exam , Online Tutoring for Schools & Colleges , Physics Tuitions (11th & 12th) , Pre-Medical Test (PMT) Entrance Coaching , PSU Entrance Coaching , RRB Entrance Exam Coaching , SBI PO Training , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , SSB & NDA Coaching , SSC Entrance Exam Coaching , SSC JE Entrance Coaching , TOEFL Coaching , Tuitions for College Subjects , UPSC Coaching , Vedic Maths Coaching , "
Suyash Study Centre,9890624290, 9371989956,,,,"Plot No. 53, Karim Layout, State Bank Colony",Gopal Nagar,440022,nagpur,India,ujwalassociates@gmail.com,http://www.suyashstudycenter.getit.in,Samir Surangalikar,Monday - Sunday : 24 Hrs,"Engineering Tuitions , Microbiology & Biotechnology Tuitions , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , Biomedical Engineering Tuitions , Botony Tuitions , Biomechanical Engineering Tuitions , Automotive Engineering Tuitions , Civil Engineering Tuitions , Architectural Engineering Tuitions , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , Environmental Engineering Tuitions , Materials Science Engineering Tuitions , Physics Tuitions (11th & 12th) , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , CS Coaching , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , College Tuitions for Accounts, Finance, Statistics , School Tuitions for Math, Physics, Chemistry , Medical Entrance Coaching , Chartered Accountant Coaching , Handwriting, Spelling & Reading Classes , SBI PO Training , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , IB Maths Tuitions , IB Physics Tuitions , AIEEE Coaching , 10th STD Tuitions , Zoology Tuitions , IIT-JEE Coaching , 9th STD Tuitions , Pre-Medical Test (PMT) Entrance Coaching , ","Suyash Study Centre holds over many years of experience in the industry and possess eminent professional who can provide you with the best coaching. We are specialized in Home Tuitions for KG to IV, Home Tuitions for KG to IV	, Home Tuitions for V to X, Home Tuitions, Spoken English, Home Tuitions for Sanskrit, Home Tuitions for Dance, Tabla, Music, Home Tuitions for MBA & CPT, Home Tuitions for Foreign Language, Tuitions for Kg To Xll, Tutorials for KG To X, Tutorials for Xl, Xll -Physics, Chemistry, Maths, Biology  and Tutorials for AIEEE, NEET, LII, PMT. Contact us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/30-12-2015%2009-39-59-e8dce1b5-543b-4f24-a451-db4a00e321fa.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/30-12-2015%2009-40-13-8de11a71-b508-4091-b06f-95ba1dd224bd.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/30-12-2015%2009-40-21-61b32a46-5393-4d33-8395-06fa0b058139.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/30-12-2015%2009-40-31-0081c286-900b-45e9-a119-f366372d056b.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/30-12-2015%2009-39-59-e8dce1b5-543b-4f24-a451-db4a00e321fa.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/30-12-2015%2009-40-13-8de11a71-b508-4091-b06f-95ba1dd224bd.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/30-12-2015%2009-40-21-61b32a46-5393-4d33-8395-06fa0b058139.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/30-12-2015%2009-40-31-0081c286-900b-45e9-a119-f366372d056b.png , ","Architectural Engineering Tuitions , Automotive Engineering Tuitions , Biomechanical Engineering Tuitions , Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Botony Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , Chartered Accountant Coaching , Chemical Engineering Tuitions , Civil Engineering Tuitions , College Tuitions for Accounts, Finance, Statistics , CS Coaching , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , Genetic Engineering Tuitions , Handwriting, Spelling & Reading Classes , IB Maths Tuitions , IB Physics Tuitions , IIT-JEE Coaching , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Medical Entrance Coaching , Microbiology & Biotechnology Tuitions , Microelectronic Engineering Tuitions , Physics Tuitions (11th & 12th) , Pre-Medical Test (PMT) Entrance Coaching , Robotics Engineering Tuitions , SBI PO Training , School Tuitions for Math, Physics, Chemistry , Software Engineering Tuitions , Telecommunication Engineering Tuitions , Zoology Tuitions , "
ISC  Indian School of Commerce,080436 91443,,,,,"4th Floor, Lakshmi Narayan Complex",Vasanth Nagar,560052,nagpur,India,admissions@isc.edu.in,http://www.isc.edu.in,Swetha,Monday - Sunday: 9 AM - 5 PM,"ACCA Training , CIMA Certification Coaching , International Financial Reporting Standards (IFRS) Coaching , ","ISC Indian School of Commerce is an initiative of ISDC - International Skill Development Corporation (A Company Registered under the Companies Act of England and Wales, 2006) which has taken over the operations of leading Indian Education Company called Shadwells. It imparts Education of International Standard through holistic approach, producing exorbitant quality output to cater the current professional demand. ISC extends complete education solution setting it apart as the forefront Education Company first of its kind in India. The portfolio of services capitalizes in new generation programs catering the education and employment habitat. ISC' rigorous cutting edge training of the students creates a definitive winning mark depicted of its kind in the new generation course environment at various educational platforms. Its core competency is sharpening the student's output, also empowering education service providers and Institutions with effectiveness to manifest. ISC bridges the gap between the Knowledge starving and the resources with optimal delivery of Quality Education.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-644f13fc-125a-4d93-9255-b99fb921cf3a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-644f13fc-125a-4d93-9255-b99fb921cf3a.jpg , ","6 Months Program , Classroom Tuitions , Daily Classes , "
Sunshine Tutorials,9021883735,,,,,3rd Floor,Dharampeth,440010,nagpur,India,smitasclasses@gmail.com,http://www.sunshinetutorials.com,R. Bhagat,Monday - Sunday: 9 AM - 6 PM,"Home & Private Tuitions , Law Entrance Coaching , Home Tutors for Class I-V , Home Tutors for Class VI-X , B.Com Home Tutors , Botony Tuitions , B.Sc Home Tutors , BE Home Tuitions , Biology Home Tuitions for school , CLAT Entrance Coaching , Chemistry Home Tuitions for school , Hindi Home Tuitions , English Home Tuitions for school , Physics Home Tuitions for school , Economics Home Tuitions , Computer Science Tuitions (11th & 12th STD) , BBA Home Tuitions , MBA Home Tuitions , ICWA Home Tuitions , MCA Home Tuitions , GMAT Private Tuitions , CA Home Tuitions , CACPT Coaching , Common Management Aptitude Test (CMAT) Coaching , Maths Home Tuitions for school , IIT-JEE Home Tuitions  , Accounts Home Tutors for XI-XII , CS Home Tuitions , CMA Home Tuitions , Accounting Home Tuitions , Commerce Tuitions (11th & 12th STD) , Income Tax Home Tuitions , Direct Tax Home Tuitions , Tax Law Home Tuitions , Corporate Accounting Home Tuitions , Cost Accounting Home Tuitions , Financial Accounting Home Tuitions , Engineering EAMCET Coaching , College Tuitions for Accounts, Finance, Statistics , Chartered Accountant Coaching , Banking Tuitions , Handwriting, Spelling & Reading Classes , Biomedical Tuitions , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , College Tuitions for Chemistry , CET Entrance Coaching , AIEEE Coaching , AIPMT Coaching , 10th STD Tuitions , Architecture Entrance Coaching , Zoology Tuitions , 9th STD Tuitions , School Tuitions for Biology , ","Sunshine Tutorials is dealing in Home Tuition and provides Tuition at the comforts of home in and around Nagpur. The Company provides home tutors from KG-1 to Std. XII, BE, Polytechnic, AIEEE, SEEE, ISEET, NEET, IIT, Medical, CAT, IPCC, Commerce, Computer , Sanskrit, All Competitive Exams and all Subjects. Qualified and Experienced Teachers are provided for all Subjects in Nagpur. Students who are interested in specialized coaching are provided special experienced teachers. Male and Female Teachers are available to teach at home. The Timings of tutor can be adjusted according to your requirements. Home tutors are provided for Home Tuitions.Teacher has been awarded the best teacher in school. Contact us for further details!  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-20244994-acb3-4360-8853-3bf696f6bc31.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-20244994-acb3-4360-8853-3bf696f6bc31.jpg , ","AIPMT Coaching , Architecture Entrance Coaching , B.Com Home Tutors , B.Sc Home Tutors , Banking Tuitions , BBA Home Tuitions , BE Home Tuitions , Biology Home Tuitions for school , Biomedical Tuitions , Botony Tuitions , CA Home Tuitions , CACPT Coaching , CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CET Entrance Coaching , Chartered Accountant Coaching , Chemistry Home Tuitions for school , Classroom Tuitions , CLAT Entrance Coaching , CMA Home Tuitions , College Tuitions for Accounts, Finance, Statistics , College Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , Commerce Tuitions (11th & 12th STD) , Common Management Aptitude Test (CMAT) Coaching , Computer Science Tuitions (11th & 12th STD) , Corporate Accounting Home Tuitions , Cost Accounting Home Tuitions , CS Home Tuitions , Daily Classes , Direct Tax Home Tuitions , Economics Home Tuitions , Engineering EAMCET Coaching , English Home Tuitions for school , Financial Accounting Home Tuitions , GMAT Private Tuitions , Handwriting, Spelling & Reading Classes , Hindi Home Tuitions , Home Tutors for Class I-V , Home Tutors for Class VI-X , ICWA Home Tuitions , IIT-JEE Home Tuitions  , Income Tax Home Tuitions , Maths Home Tuitions for school , MBA Home Tuitions , MCA Home Tuitions , Online Tuitions , Physics Home Tuitions for school , School Tuitions for Biology , Tax Law Home Tuitions , Zoology Tuitions , "
Valmiki Foreign Education Service,9049352525, 7768897867,,,,"402, 4th Floor, Royal Rudra, Near Hingna T-Point, Sant Gadge Nagar",Hingna,440016,nagpur,India,nagpur@valmikiedu.org,,Ashish Motwani,Monday - Saturday: 10.30 AM - 6.30 PM,"Coaching & Tuitions , Mauritius Education Consultants , Overseas Engineering Education Consultants , USA Education Consultants , UK Education Consultants , Australia Education Consultants , Canada Education Consultants , New Zealand Education Consultants , Russia Education Consultants , Cyprus Education Consultants , Austria Education Consultants , Poland Education Consultants , Overseas MBA Education Consultants , Overseas Medical Education Consultants , Overseas Journalism Education Consultants , South Korea Education Consultants , France Education Consultants , Germany Education Consultants , Spoken English Classes , GRE Coaching , Singapore Education Consultants , Switzerland Education Consultants , IELTS Coaching , TOEFL Coaching , Ukraine Education Consultants , Europe Education Consultants , Italy Education Consultants , Language Development Coaching , Aptitude Training , Ireland Education Consultants , Public Speaking Training , Sweden Education Consultants , Norway Education Consultants , Finland Education Consultants , Philippines Education Consultants , Malaysia Education Consultants , Armenia Education Consultants , Dubai Education Consultants , Denmark Education Consultants , China Education Consultants , ",,"http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2870-dd06ca48-f009-49c5-ba60-6ce0c92d8d4e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2870-dd06ca48-f009-49c5-ba60-6ce0c92d8d4e.jpg , ","1 Month Program , 1 Week Program , 1 Year Program , 2 Weeks Programs , 3 Months Program , 6 Months Program , Aeronautical Engineering , Aptitude Training , Architectural Engineering , Bank Loan Assistance , College Applications , Counselling Overseas Education , Course Counseling , Cyprus Education Consultants , Daily Classes , Denmark Education Consultants , Dubai Education Consultants , Europe Education Consultants , Evening Classes , Finland Education Consultants , France Education Consultants , Germany Education Consultants , GRE Coaching , Holiday Classes , IELTS Coaching , International Business , Ireland Education Consultants , Italy Education Consultants , Language Development Coaching , Malaysia Education Consultants , Mauritius Education Consultants , Medicine , New Zealand Education Consultants , Norway Education Consultants , Overseas Aviation , Overseas Engineering Education Consultants , Overseas Journalism Education Consultants , Overseas MBA Education Consultants , Overseas Medical Education Consultants , Philippines Education Consultants , Poland Education Consultants , Public Speaking Training , Russia Education Consultants , Scholarships , Short Term , Singapore Education Consultants , South Korea Education Consultants , Spoken English Classes , Summer Classes , Sweden Education Consultants , Switzerland Education Consultants , TOEFL Coaching , Travel and Accommodation Guidance , UK Education Consultants , Ukraine Education Consultants , USA Education Consultants , Visa Applications , Weekend Classes , "
Attitudes & Wesome,9922278629,,,,,"No. 194, Paranjpe School Road",Bajaj Nagar,440015,nagpur,India,tushar.s_palkar@yahoo.co.in,,Tushar Palkar,Monday - Sunday: 9 AM - 9 PM,"Job Training , Airhostess Job Training , Call Center & BPO Job Training , Attitudinal & Behavioral Training , Airport Ground Staff Training , Aviation Management Training , Spoken English Classes , Sales Skill Training , Personality Development Training , Cabin Crew Job Training , Diploma in Air Hostess Training , Diploma in Airport Ground Staff Training , Diploma in Aviation Management Training , ","Attitude & Wesome for Learning has immense experience in this business. We provide coaching for all boards. Our motto is to provide the best teaching to the students. We have a huge list of impressive success of students. We promise a better future for your children in higher education and knowledge. We make your life better and brighter. Education is a primary ingredient and also a key to success in any profession. With a booming economy and a young population, there is a tremendous need for the quality education to equip this population with skills to handle assignments that spring from such a growing economy like ours. Contact us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IMG-20160510-WA0027-161ebed6-e150-4a46-ab48-8fbb94a202ce.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5730-e7583c82-6116-40a5-8139-bd3ade8d5bd0.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4843-bacfcb42-cf1a-4224-ac2c-04f3014202ff.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8728-908f93c8-532a-4adb-8075-89e36b69b4c5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5934-05919aab-4e7f-490e-ba23-e738be172eca.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IMG-20160510-WA0026-b8ce6f9d-f33f-4e47-88c1-dee22d7ebfd9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IMG-20160510-WA0027-161ebed6-e150-4a46-ab48-8fbb94a202ce.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5730-e7583c82-6116-40a5-8139-bd3ade8d5bd0.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4843-bacfcb42-cf1a-4224-ac2c-04f3014202ff.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8728-908f93c8-532a-4adb-8075-89e36b69b4c5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5934-05919aab-4e7f-490e-ba23-e738be172eca.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IMG-20160510-WA0026-b8ce6f9d-f33f-4e47-88c1-dee22d7ebfd9.jpg , ","Call Center & BPO Job Training , Classroom Tuitions , Daily Classes , Diploma in Air Hostess Training , Diploma in Airport Ground Staff Training , Diploma in Aviation Management Training , Personality Development Training , Sales Skill Training , Spoken English Classes , "
Angrezi 2 English,9850699092,,,,,"No. 571, 3rd Floor",Dharampeth,440010,nagpur,India,angrezi2english@gmail.com,,Ritika Rohra,Monday - Friday: 10 AM - 9.30 PM,"Spoken English Classes , Language Development Coaching , ","Angrezi 2 English has massive experience in this business. Our motto has always been timely service, best quality and optimum cost. We are in touch with our customers through quality, performance, service and assistance. Bringing the best of value to our customers, we also care as much about our customers. We value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. Contact us for further details.  ",,"1 Month Program , 3 Months Program , Classroom Tuitions , Daily Classes , Evening Classes , Holiday Classes , Short Term , "
IES Share Market Training Institute,9822718163, 8421893845,,,,Plot No. 86,Wardha Road,440025,nagpur,India,sarprashant@yahoo.com,http://www.purensuremoney.com,Prashant Sarode,Sunday - Saturday: 10 AM - 6 PM,"Coaching & Tuitions , Job Training , Corporate Training Providers , Share Brokers , Administration Training , SharePoint Training , Stocks and Shares Investments , Portfolio Management Services (PMS) , Share Marketing Training , Equity Research Coaching , Commerce Tuitions (11th & 12th STD) , Technical Analysis Coaching , Certified Personal Financial Advisor (CPFA) Coaching , Investment Advisory Services , Chartered Accountant Coaching , Advanced Economics Coaching Classes (College level and above) , Certified Financial Planner (CFP) Coaching , Share Marketing Training , Stock Market Training , ","IES Share Market Training Institute established in 2004 by Mr. Prashant Sarode with a basic idea to equip common man to earn money from share market even without any investment by working part or full time professionally. He has a rich experience in share market since 2002. He has trained more than 3000 individuals.
We offer different courses on stock market, commodity market & currency market. Our courses are useful for students, housewives, investors, traders, employees of brokers, sub-brokers, insurance agents and laymen too. We teach not only theoretically but practically also, so that participant can become able to use all the knowledge to make money from share market.
In our country hardly 1% people are financially literate. Our mission is to improve this percentage through our training program. Improve financial literacy in the fastest growing INDIA is the mandate for our Institute.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IES-1-cdae6df3-1287-4054-9ef2-06d953a7357a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IES-2-c5456693-f141-41c6-b991-0011da5300e5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IES-3-afb3aaf3-2c36-492d-8a50-8b40e746264a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IES-4-70723307-5295-46a8-9d3c-4123e6aed47b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IES-5-2a9ce005-3161-4b6a-bc23-34b27634f407.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IES-6-dac22788-a619-4fff-961d-9fef89d7444a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IES-7-80abdfd1-cf5f-41a9-ad52-6ed5ad1d1ac3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IES-8-723bf428-a808-4e2c-a338-3daa92227bb3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IES-1-cdae6df3-1287-4054-9ef2-06d953a7357a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IES-2-c5456693-f141-41c6-b991-0011da5300e5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IES-3-afb3aaf3-2c36-492d-8a50-8b40e746264a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IES-4-70723307-5295-46a8-9d3c-4123e6aed47b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IES-5-2a9ce005-3161-4b6a-bc23-34b27634f407.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IES-6-dac22788-a619-4fff-961d-9fef89d7444a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IES-7-80abdfd1-cf5f-41a9-ad52-6ed5ad1d1ac3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IES-8-723bf428-a808-4e2c-a338-3daa92227bb3.jpg , ","Equity Research Coaching , Investment Advisory Services , Portfolio Management Services (PMS) , Share Marketing Training , SharePoint Training , Stock Market Training , Stocks and Shares Investments , Technical Analysis Coaching , "
