EduID,Name,Main Category,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
1,Ideal College of Education,agricultural-colleges,9322372512,,,,,Plot No. 21/11,Kalyan,421301,mumbai,India,,http://www.idealcollege.in,Adarsh Shikshan Mandal ,Monday - Saturday: 9.30 AM - 5 PM,,,,
2,Best Trade Exporters,agricultural-colleges,022 - 22090241,,,,,"87/89, Ground Floor",Kalbadevi,400002,mumbai,India,,,,,,,,
3,Muralidhar Nanaji Mohite Guruji,arts-science-colleges,+91 22 49410205,,,,,"At khodala, Taluka-Mokhada, Jogalwadi",Palghar,401604,mumbai,India,mnmgcollege@gmail.com,http://www.mnmgcollege.org.in,Dr CM Mohite,"Monday - Saturday: 7 AM - 12.30 PM, Monday - Saturday: 1 PM - 5 PM, Wednesday - Saturday: 6 PM - 8 PM","B.Com. Colleges , B.A. Colleges , M.Com. Colleges , M.A. Colleges , B.Sc. Multimedia & Networking Colleges , ","Muralidhar Nanaji Mohite Guruji College of Arts, Commerce & Management in Palghar.Formely known as Hi-Tech Distance / Face To Face Education for Distance Education. Now, Distance Education Facility has been closed. Our Students directly take the education from our college which established on 2013. Dr. C.M. Mohite (MA,M.ed, M Phil, LLB, PHD) having a immense experience and Knowledge in education field. We provide the latest technology education to student where they can easily understand the syllabus. Our Teachers and Professor are all well- qualified. Our timing is flexible. For Degree timing 7am to 12.30pm Mon to Sat. For Junior College Timing 1pm to 5 pm Mon- Sat. For PG 6pm to 8pm.For more information you can visit or contact to us.     MNMG COLLEGE OF ARTS,COMM & B.M.S Khodala-Jogalwadi. Tal- Mokhada, Dist- Palghar-401604  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3032-310a769b-8783-44e3-9496-f64879a61fdb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3992-f5b07dbd-09d8-4abf-8ead-38171f13891e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7660-addbbc63-9881-4f2c-b466-f5d326bb1667.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2937-57cbeb7f-de4b-475c-8521-23e28311e673.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4286-58fd4881-43c2-4ffb-90bf-4e578777627a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3032-310a769b-8783-44e3-9496-f64879a61fdb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3992-f5b07dbd-09d8-4abf-8ead-38171f13891e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7660-addbbc63-9881-4f2c-b466-f5d326bb1667.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2937-57cbeb7f-de4b-475c-8521-23e28311e673.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4286-58fd4881-43c2-4ffb-90bf-4e578777627a.jpg , ",
4,Institute of Business Studies & Research,arts-science-colleges,+91 22 49411793,,,,,Plot No. 51 belapur,C.B.D. Belapur,400614,mumbai,India,admissions.ibsar@gmail.com,http://www.ibsar.ac.in,Ruchi,Monday - Saturday: 10 AM - 5 PM,"Business Colleges , B.C.A. Colleges , B.B.A. Colleges , M.B.A. Colleges , M.C.A. Colleges , ","IBSAR is a multi disciplinary business school focusing on actionable business programs. We ensure that our education is at all times relevant to business. We deliver well trained business leaders and managers who are able to influence across organizational boundaries. We are fully committed to high quality research. We continuously invest in research activities and recruitment of academic leaders in fields such as Strategy , OB , Finance , Marketing , Retail , Operations , General Management and IT . IBSAR offers you an outstanding learning environment by facilitating the best learning experience possible. Your learning experience will be influenced by the most recent developments in the field and delivered by experienced teachers, researchers, top management professionals and consultants. We draw on a deep pool of practitioners from a range of organizations. The school has entirely new insights and differentiation strategy to help management aspirants to grow into top ranking global professionals. The training at IBSAR starts from the word go as students have to manage the institute in all respects. Students are involved in admissions, administration, faculty selection, corporate interaction, project selections, internships, placements, various events and live projects. IBSAR TRUST approved and affiliated to Mumbai university and runs MMS/MCA/LLB/B.SC IT./B.SC Computer Science etc. IBSAR also is a leading provider of research and academic support to Tilak Maharastra University.  ",,
5,CMTE - Study Center at SMT. MMK College,arts-science-colleges,+91 22 49432112,,,,,LInking Road,Bandra West,400050,mumbai,India,cmte@ymail.com,http://www.cmte.in,Madhuri,Monday - Saturday: 11 AM - 6 PM,"Business Colleges , Distance Education , Corporate Placement Consultancies , Technician Corporate Placement Consultants , Beauty & Spa Corporate Placement Consultants , M.B.A. Distance Education , Mechanical Engineering Corporate Placement Consultants , IT Engineering Corporate Placement Consultants , B.C.A. Colleges , B.C.S. Colleges , Electrical Engineering Corporate Placement Consultants , Civil Engineering Corporate Placement Consultants , Architect Corporate Placement Consultants , Instrumentation Engineering Corporate Placement Consultants , BPO & Call Centre Corporate Placement Consultants , B.B.A. Colleges , B.B.M. Colleges , FMCG Corporate Placement Consultants , M.B.A. Colleges , PGDM Colleges , M.C.A. Distance Education , Executive BBA Distance Education , Executive MBA Distance Education , P.H.D. Distance Education , PGDHHM Distance Education , PGDMLS Distance Education , PGDCR Distance Education , PGDHIM Distance Education , B.C.A. Distance Education , MSC IT , B.Sc. IT Distance Education , ","CMTE - Study Center at SMT. MMK College, We provide coaching for all boards. We offer B.C.A. Colleges, B.C.S. Colleges, B.B.A. Colleges, B.B.M. Colleges, M.B.A. Colleges, and PGDM Colleges. We make your life better and brighter. Education is a primary ingredient and also a key to success in any profession. CMTE - Study Center at SMT. MMK College is dedicated to providing educational support to its students. It is the pioneer in providing a wide range of learning courses, to the students of CACPT, Commerce, Banking and Mathematics. We have a 100% pass-out results. Contact us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/04-01-2016%2016-16-35-d242fee5-2cb4-4511-a854-4a3eb18b133a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/04-01-2016%2016-16-41-2ec47c20-e6cf-4016-a5be-787be146df1c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/04-01-2016%2016-16-49-6a0d07df-6050-474d-930e-a60f63e9732e.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/04-01-2016%2016-18-23-96ea3125-9cb9-47e5-b6b3-8abd3208f7bb.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/04-01-2016%2016-18-35-ff013430-fe42-4a92-a5f3-d82d87a5dab1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/04-01-2016%2016-18-58-f3a7e888-fa11-4e1f-8b8f-0a182f57665d.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/04-01-2016%2016-16-35-d242fee5-2cb4-4511-a854-4a3eb18b133a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/04-01-2016%2016-16-41-2ec47c20-e6cf-4016-a5be-787be146df1c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/04-01-2016%2016-16-49-6a0d07df-6050-474d-930e-a60f63e9732e.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/04-01-2016%2016-18-23-96ea3125-9cb9-47e5-b6b3-8abd3208f7bb.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/04-01-2016%2016-18-35-ff013430-fe42-4a92-a5f3-d82d87a5dab1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/04-01-2016%2016-18-58-f3a7e888-fa11-4e1f-8b8f-0a182f57665d.png , ","B.C.S. Colleges , B.Sc. IT Distance Education , Beauty & Spa Corporate Placement Consultants , BPO & Call Centre Corporate Placement Consultants , Certification programs , Civil Engineering Corporate Placement Consultants , Correspondence , Degree Programs , Diploma Programs , Electrical Engineering Corporate Placement Consultants , Executive BBA Distance Education , Executive MBA Distance Education , FMCG Corporate Placement Consultants , Instrumentation Engineering Corporate Placement Consultants , IT Engineering Corporate Placement Consultants , M.B.A. Colleges , M.B.A. Distance Education , M.C.A. Distance Education , Mechanical Engineering Corporate Placement Consultants , MSC IT , P.H.D. Distance Education , PGDCR Distance Education , PGDHHM Distance Education , PGDHIM Distance Education , PGDM Colleges , PGDMLS Distance Education , Technician Corporate Placement Consultants , "
6,JK Knowledge Center,arts-science-colleges,+91 22 49433844,,,,,Nadkarni Park,Wadala East,400037,mumbai,India,jkjadhav_kc@rediff.com,http://www.jkjadhav.com,Mahendra Gacche,Monday - Saturday: 10 AM - 6 PM,"B.Com. Colleges , B.Sc. Colleges , B.Ed. Colleges , ","JK Knowledge Center is here in this field since several years. We are dealing with Arts & Science Colleges for B.Com. Colleges, B.Sc. Colleges and B.Ed. Colleges in Mumbai. We are specialized in MMS/ B.Sc. ( IT ), B. Sc(Comp. Sc) , B. Sc (Bio Tech) , B. Com, BMS, B.ED (Women), D.ED, F.Y.J.C, S.Y.J.C (Com. & Sc.).Our motto has always been timely supply, best quality and optimum cost. We are in touch with our customers through quality, performance, service and assistance. Bringing the best of value to our customers, we also care as much about our customers. We look forward to your business and hope you would give us a chance to serve. Contact us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-14-2016%205-12-19%20PM-f638c3fe-cced-4ebf-9392-8cc917cb5198.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-14-2016%205-12-56%20PM-acfcb821-1104-4a44-afd3-4108aec7921d.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-14-2016%205-13-10%20PM-5979f1e9-8289-4cff-bdc5-51d88fc90fb1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-14-2016%205-13-19%20PM-4701c576-51e1-4579-a2c5-93876b847631.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-14-2016%205-13-30%20PM-34f455e5-1dd4-4314-a4e3-287ff9cc927f.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-14-2016%205-13-42%20PM-bd6bf8b4-f5e8-426c-b1dc-9171a5fbd329.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-14-2016%205-13-51%20PM-006fad6f-7064-4202-93e2-ad0a05875df5.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-14-2016%205-14-01%20PM-a298e63b-efa1-4543-8c23-b793dccd1538.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-14-2016%205-12-19%20PM-f638c3fe-cced-4ebf-9392-8cc917cb5198.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-14-2016%205-12-56%20PM-acfcb821-1104-4a44-afd3-4108aec7921d.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-14-2016%205-13-10%20PM-5979f1e9-8289-4cff-bdc5-51d88fc90fb1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-14-2016%205-13-19%20PM-4701c576-51e1-4579-a2c5-93876b847631.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-14-2016%205-13-30%20PM-34f455e5-1dd4-4314-a4e3-287ff9cc927f.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-14-2016%205-13-42%20PM-bd6bf8b4-f5e8-426c-b1dc-9171a5fbd329.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-14-2016%205-13-51%20PM-006fad6f-7064-4202-93e2-ad0a05875df5.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-14-2016%205-14-01%20PM-a298e63b-efa1-4543-8c23-b793dccd1538.png , ",
7,Rizvi Education Society,arts-science-colleges,022 - 26055259, 022 - 26480348, 022 - 26041972, 9869543598, 9757234454,,Bandra West,400050,mumbai,India,nuzza@mail.com,,Farooqui,Monday - Saturday: 9 AM - 6.30 PM,"B.Com. Colleges , B.A. Colleges , ",,,
8,Karmaveer Bhaurao Patil College,arts-science-colleges,022 - 27661210, 022 - 27663723, 9869396929,,,,Vashi,400703,mumbai,India,,http://www.kbpcollegevashi.net,Dr. VS Shivankar,Monday - Saturday: 7.30 AM - 6.30 PM,"B.Com. Colleges , B.Sc. Colleges , B.A. Colleges , M.Sc. Colleges , M.C.A. Colleges , B.Sc. IT Colleges , ",,,"M.Sc. Colleges , "
9,Hashu Advani College of Special Education,arts-science-colleges,022 - 25530451, 022 - 25531041, 022 - 25530696, 9819265464,,#64/65,Chembur,400074,mumbai,India,hac_ccym@yahoo.co.in,http://www.hashuadvanismarak.org,Dr. Asmita,,"B.Ed. Colleges , ",,,
10,Mumbai College of Commerce & Science,arts-science-colleges,022 - 24165137, 9870121446,,,,Knowledge Center,Wadala East,400037,mumbai,India,kc_wadala37@yahoo.co.in,,Vikrant Jadhav,Monday - Saturday: 10 AM - 5 PM,"B.Com. Colleges , B.Sc. Colleges , B.Ed. Colleges , B.Sc. Computer Science Colleges , B.Sc. IT Colleges , ",,,
11,New Career Education Trust,arts-science-colleges,022 - 25440027, 022 - 9892833691, 9892833691, 9323226083,,3rd Floor,Thane West,400601,mumbai,India,ncet_mkuthane@yahoo.com,http://www.mkudde.org,Adesh,,"B.Com. Colleges , B.Sc. Colleges , B.A. Colleges , B.C.A. Colleges , B.C.S. Colleges , M.Com. Colleges , M.A. Colleges , B.Sc. Biotechnology Colleges , ",,,"B.Sc. Colleges , M.A. Colleges , M.Com. Colleges , "
12,Thakur Toonskool Advanced Animation Academy,arts-science-colleges,022 - 65269723, 9833110782,,,,4th Floor,Kandivali East,400101,mumbai,India,,http://www.toonskool.net/,,Monday - Friday: 9.30 AM - 4.30 PM,"Multimedia & Design Training , 2D Animation Training , 3D Modelling Training , Multimedia & Animation Training , B.Sc Animation Colleges , 4D Animation Training , ",,,
