EduID,Name,Main Category,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
4509,Institute of Industrial Designs,engineering-design-training-centres,087 - 3101822, 8590822822,,,,"Anna Tower, East Ford, St. Thomas College Road",Rice Bazaar Road,680005,thrissur,India,custcare.thrissur@iidesign.co.in,http://www.iidesign.co.in,Merin,Monday - Sunday: 9 AM - 8 PM,"ANSYS Training , ANSYS CFD Training , ANSYS Fluent Training , CAD & CAM Training , 3D CAD Training , Solidworks Training , CATIA Training , ","Institute of Industrial Design (IID) is a premium arm of CADD Centre Training Services Pvt Ltd, the pioneers in CAD training since 1988.The design outsourcing business is already growing at a good pace, but the shortage of appropriately skilled labour across many industries is emerging as a significant and complex challenge to India's growth and future. To bridge the skill gap, CADD Centre through its new division  IID will impart advanced training focusing on engineering skills and tools. At IID, we understand the importance of elevating people's skills in adapting to newer challenges and value the returns of investing in technical skill enhancement.IID delivers, industry oriented, domain specific training on key engineering skills. Industries and engineers alike can save considerable cost and time involved in acquiring skills, while existing engineers can upgrade their skills to tune their abilities to a better level. It strives to be a pioneer in providing training on core engineering competencies, and strives to set an unparalleled benchmark in the quality of information passed on to its customers. IID trains and propagates design education and prepares the professionals and visionaries of tomorrow. It seeks to do so by offeringapplication oriented software training in major areas of importance such as automotive, aerospace, reverse engineering, robotics, CFD and Product Lifecycle Management(PLM). Contact us for more details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-7d420b6f-179f-4f61-ba10-239523dea5f3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-5619760d-6ed8-4498-bdf0-f9befdb9ba17.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7-a3683d6b-86f5-4d2f-88d7-2853575fbbf1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/9-e55ffef4-b6ea-4f7c-a53e-fc2daec29c7c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-7d420b6f-179f-4f61-ba10-239523dea5f3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-5619760d-6ed8-4498-bdf0-f9befdb9ba17.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7-a3683d6b-86f5-4d2f-88d7-2853575fbbf1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/9-e55ffef4-b6ea-4f7c-a53e-fc2daec29c7c.jpg , ","Solidworks Training , "
4510,Alpha Building Services,engineering-design-training-centres,0495 - 4014100, 9633412218,,,,Kuthiravattom Link Road,Kuthiravattom,673016,thrissur,India,info@absmep.com,http://www.absmep.com,Niyas,Monday - Saturday: 9 AM - 6 PM,"Engineering Design Training , Autodesk Revit MEP Training , CAD & CAM Training , 3D CAD Training , Autocad Training , Electrical CAD Training , Civil CAD Training , Mechanical Electrical Plumbing (MEP) Training , Revit Architecture Training , Revit structure Training , Mechanical CAD Training , Civil Engineering Job Training , Electrical Engineering Job Training , Mechanical Engineering Job Training , Architect Job Training , HVAC Job Training , MEP Training , ",,"http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ab-abed577f-9d62-45e1-81bb-d09fb5257223.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/bc-3e72ef2a-6ea2-4c45-bd1b-daed0f246cf7.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ab-abed577f-9d62-45e1-81bb-d09fb5257223.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/bc-3e72ef2a-6ea2-4c45-bd1b-daed0f246cf7.JPG , ","3 Months , CAD & CAM Training , Certification programs , Civil Engineering Job Training , Daily Classes , Electrical CAD Training , Electrical Engineering Job Training , Full time , Holiday Classes , HVAC Job Training , Mechanical CAD Training , Mechanical Electrical Plumbing (MEP) Training , Mechanical Engineering Job Training , MEP Training , Part time , Revit Architecture Training , Revit structure Training , Weekend Classes , "
4511,Engineers CADD Centre Pvt. Ltd.,engineering-design-training-centres,+91 40 33153606,,,,,"F - 9, 10,11,12, Eureka Court",Ameerpet,560040,thrissur,India,training@eccindia.org,http://www.eccindia.org,Anand Kumar Reddy,,"Project Management Certification Training , ANSYS Training , Primavera Training , PPM Training , ANSYS CFD Training , Advanced Primavera Training , CAE Training , ANSYS Workbench Training , ANSYS DesignModeler Training , Autodesk Revit MEP Training , CAD & CAM Training , 3D CAD Training , MATLAB Training , Pro E Training , Unigraphic Software Training , Archicad Training , Autocad Training , Electrical CAD Training , Civil CAD Training , CATIA Training , HyperMesh (HM) Training , STAAD Pro Training , ETABS Training , Revit Architecture Training , ","Engineers CADD Centre Pvt. Ltd. is a Premier CAD CAE & Project Management Training Centre established in 1994 with its Headquarters at Ameerpet, Hyderabad, India. ECC has a successful track record of training over 1,00,000 Plus Engineers/Diplomas in various CAD & Skill Development vocational programs. ECC has got an excellent track of placing over 70% of its students and its vocational training programs also helped many Engineers/Architects to start their own consulting firms.Contact us for further.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic1-f5d80ac3-b0c8-45b8-a3f6-df8a777029bb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/pIC2-6cc8778e-5688-47a3-b1d6-189c1a2c329f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic3-86edd66a-f459-4619-9958-9848a500a351.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic5-d42f8cce-50fe-4472-b844-bd2e8ecbf031.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic6-d2876244-3526-46ad-865b-46fca1454162.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic7-1e74a9e9-bf2d-4ef9-9eaf-4a89cc4f158f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic1-f5d80ac3-b0c8-45b8-a3f6-df8a777029bb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/pIC2-6cc8778e-5688-47a3-b1d6-189c1a2c329f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic3-86edd66a-f459-4619-9958-9848a500a351.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic5-d42f8cce-50fe-4472-b844-bd2e8ecbf031.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic6-d2876244-3526-46ad-865b-46fca1454162.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic7-1e74a9e9-bf2d-4ef9-9eaf-4a89cc4f158f.jpg , ","Archicad Training , Autocad Training , Autodesk Revit MEP Training , CAD & CAM Training , CAE Training , CATIA Training , Civil CAD Training , Electrical CAD Training , ETABS Training , HyperMesh (HM) Training , MATLAB Training , PPM Training , Pro E Training , Revit Architecture Training , STAAD Pro Training , Unigraphic Software Training , "
4512,Focuz Infotech,engineering-design-training-centres,9995773140,,,,,"No. 34/1884G, Padmanabha Chambers",Mamangalam,682024,thrissur,India,beena.rozario@focuzinfotech.com,http://www.focuzinfotech.com,Beena Rozario,Monday - Saturday: 9 AM - 7 PM,"Engineering Design Training , Hardware Training , Mobile Development Training , Operating System Training , Programming Languages Training , Robotics Training , Web Technologies Training , Android Application Development Training , Embedded Systems Training , PIC Microcontroller Training , Linux Training , Java & J2EE Training , Mobile Application Development Training , IEEE Computer Projects Training , PHP & MySQL Training , Academic Projects Training , MATLAB Training , VLSI Designing Institutes , ","Focuz Infotech is a fast growing Linux Software company having an Impressive track record in Developing , Implementing and supporting High end Innovative technology solutions right from its take off in 1998.We are a highly recognized national technology company , having our own dedicated R&D and Consulting divisions supported by an excellent blend of visionary consultants consists of Management and technology Professionals, who holds Sheer Confidence , Dedication, Exposure, experience and commitment for inventing and implementing ideal technical solutions. We have a large no of customers from various business domains spread across the country. We are in the technology business to ensure our customers satisfaction, further ,Promoting our innovative products globally through collaborations and determined to grow global. Contact us for more details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-790a8f91-ead8-45d9-9029-fe28e3300334.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-ee3b6ad9-bdfc-4e0f-8953-b3722445b655.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-317e88e5-9e25-4c8b-bc71-fd5777209b60.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6-120f466d-17cf-435f-9d6e-13a717d8e4d1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8-163ac4ea-7987-4c5a-96ca-b16bfc4e951f.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-790a8f91-ead8-45d9-9029-fe28e3300334.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-ee3b6ad9-bdfc-4e0f-8953-b3722445b655.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-317e88e5-9e25-4c8b-bc71-fd5777209b60.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6-120f466d-17cf-435f-9d6e-13a717d8e4d1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8-163ac4ea-7987-4c5a-96ca-b16bfc4e951f.png , ","Linux Training , MATLAB Training , Mobile Application Development Training , PHP & MySQL Training , PIC Microcontroller Training , VLSI Designing Institutes , "
4513,Quest Innovative Solutions Pvt. Ltd.,engineering-design-training-centres,9846070981,,,,,"1st Floor, S.A. Road",Kadavanthra,682020,thrissur,India,mail@qis.co.in,,Manoj,Monday - Saturday: 9 AM - 6 PM,"Engineering Design Training , Hardware Training , Mobile Development Training , Operating System Training , Programming Languages Training , Robotics Training , Web Technologies Training , Android Application Development Training , Advanced C Programming Training , C Sharp (C#) Training , Embedded Systems Training , ASP.Net Training , .Net Training , Linux Embedded Systems Training , PIC Microcontroller Training , Embedded Processors Training , Java & J2EE Training , Mobile Application Development Training , Linux Device Driver Training , RTOS Training , IEEE Computer Projects Training , Live Projects Training , Python Programming Training , PHP & MySQL Training , Real Time Projects Training , Academic Projects Training , MATLAB Training , Advanced JAVA Training , Raspberry Pi Training , ORCAD Training , Advanced PHP Training , ARM Cortex Training , ","Quest Innovative Solutions Pvt. Ltd. is rapidly growing Software Company. Our Team of Consultants, experienced in diverse areas of IT design and development work closely with all our clients. We provide services like Real Estate Management Software, Software for Educational Institutions & Production Units, Customized Billing & Inventory Software, Leads Management Software, etc. Our product development methodology ensures timely delivery of world class software solutions always. QIS constantly strives to create novel solution to a variety of business situation. Our goal is to deliver extraordinary software and services that will empower professional services firms and other relationship-based organizations to compete more effectively and efficiently. We do this by understanding the unique needs of professionals and by tailoring our solutions and services with them in mind. Our motto is to give better solution for your future career. Our services are prompt and solution is infinite. We proud to say our people will give upgrade solution, supporting will be around the clock.  ",,"Android Application Development Training , ARM Cortex Training , ASP.Net Training , C Sharp (C#) Training , Embedded Processors Training , Embedded Systems Training , IEEE Computer Projects Training , Java & J2EE Training , Linux Device Driver Training , Linux Embedded Systems Training , Live Projects Training , MATLAB Training , Mobile Application Development Training , ORCAD Training , PHP & MySQL Training , PIC Microcontroller Training , Python Programming Training , Raspberry Pi Training , Real Time Projects Training , RTOS Training , "
4514,Tritech Design Academy,engineering-design-training-centres,9995450123,,,,,"No. 407W, 2nd Floor, Church Road, Pulimood Buildings",Kalamassery,683104,thrissur,India,tritechtda@gmail.com,http://www.tritechacademy.com,Kaikasi,"Monday - Friday: 8.30 AM - 5.30 PM, Saturday: 8.30 AM - 1.30 PM","Engineering Design Training , Multimedia & Design Training , 3D Studio Max Training , 3D Modelling Training , Autodesk Revit MEP Training , 3D CAD Training , Autocad Training , Electrical CAD Training , Civil CAD Training , Mechanical Electrical Plumbing (MEP) Training , Revit Architecture Training , Fire Fighting Design Training , Plumbing Designing Training , HVAC Job Training , MEP Training , ","Welcome to Tritech Design Academy a unique Design Training Institute specializing in programs tailored for Electrical and Mechanical Engineers for Building Services.We enable engineers to learn and integrate all the latest Design Software to their practical Projects. The much needed work experience is imparted by giving hands on training on live projects and examples straight from the Project Design Offices.Our Panel of trainers and teachers comprise of experienced working professionals with excellent Design know how and expertise on the latest Software tools.We partner with product manufacturers to showcase latest products to the trainees and at the same time enlightening them on methods to be employed for Quality assurance. Contact us for more details.
  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-4da190e3-e526-4bc8-a1f2-cacabddb7e52.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-4da190e3-e526-4bc8-a1f2-cacabddb7e52.jpg , ","1 Year , 2 Months , 3 Months , 6 Months , Civil CAD Training , Daily Classes , Electrical CAD Training , Evening Classes , Fire Fighting Design Training , Full time , HVAC Job Training , Mechanical Electrical Plumbing (MEP) Training , MEP Training , Part time , Plumbing Designing Training , Revit Architecture Training , Weekend Classes , "
4515,BIMIT - CAD & BIM Training Services,engineering-design-training-centres,9388122704,,,,,"2nd Floor, Nadparambil Buildings, Kaloor Junction",Kaloor,682017,thrissur,India,mail2bimit@gmail.com,http://www.bimit.net,Viju Antony,Monday - Saturday: 9 AM - 5 PM,"Engineering Design Training , Multimedia & Design Training , Software Tools Training , Primavera Training , 2D Animation Training , Basic Primavera Training , PPM Training , Advanced Primavera Training , 3D/2D Animation Services , 3D Studio Max Training , Autodesk Inventor Training , Autodesk Revit MEP Training , MS Project Training , CAD & CAM Training , Autocad Training , Electrical CAD Training , Civil CAD Training , CATIA Training , STAAD Pro Training , Mechanical Electrical Plumbing (MEP) Training , Revit Architecture Training , Revit structure Training , Mechanical CAD Training , Electrical Control Panel Design Traning , AutoCad Civil 3D Training , MX Road Design Training , Autodesk InfraWorks Training , HVAC Job Training , MEP Training , ","BIMIT, Cad & Bim Training and Services is a new generation training centre with a focus on the BIM (Building Information Modelling) software Application training and services promotions. BIMIT is an Autodesk Authorised Training Center, Authorised Certification Center as well as Autodesk Academic Adoption Partner based at Kaloor - Ernakulam..
The parent company is M/s Coretech Solutions having it's registered office at Ernakulam and Corporate office at Bangalore. The company is into the CAD and BIM training since 2005, and has conducted academic as well as corporate training in India and abroad. The Middle East Operations are under the brand name of Coretech International based at Muscat.
The training centre is located next to IGNOU campus Kaloor - Ernakulam, and State bus stand, and 12 km from the Cochin (Nedumbassery) International Airport. The new Metro station is coming in 500 mtrs distance. It is inside a calm and quite business location known as Lourde Center with an ample CAR Parking facility and Canteen Facility.
BIM Specialized courses are offered at BIMIT, along with general as well as higher end CAD courses and Project planning and management courses. We offer CAD & BIM software courses in the Civil Engineering, Mechanical Engineering, Electrical Engineering, Architecture. In the Civil Engineering and Architecture, we have courses for various industries like Exterior and Interior Designing, Structural Design and Analysis, Creating Perspectives and Building Animations, Road Designs, Infrastructure Design and Development. In the Mechanical / Manufacturing Engineering, We have courses in Product Design, Plastic Modelling, Advanced Assembly Modelling, Sheet metal design, Frame Generator design, Design of Mechanical components, Finite Element Analysis and MEP Engineering, For the Electrical Engineering sector, We have courses like Electrical CAD, Building Electrical using Revit MEP. We are also offering professional training in the Project Planning and Management courses using world leading Planning software's.
BIMIT is an Autodesk Certification Center, with which we offer Autodesk Certified Professional Exam on the latest versions and all products. We are providing special Orientation training for the candidates and our course curriculum is designed based on the Certification Curriculum of Autodesk.
Our Faculty members are Engineering Graduates with Autodesk Professional Certifications in respective programs. Our Training division is headed by Autodesk Certified Evaluators (ACE) both in Manufacturing and Building industry with a more than 15 years experience in Training and industry.
BIMIT - M/s Coretech Solutions offer Course Completion Certificates for all courses which is recognised by industry. Being an Autodesk ATC, for all the Autodesk Courses, we do provide Autodesk Course Completion Certificate. BIMIT branded, Industry Specific, Student Course Notes and LAB Work books are provided to the student for the systematic Professional Learning.
BIM is an acronym for Building Information Modelling, or Building Information Model. It describes the process of designing a building collaboratively using one coherent system of computer models rather than as separate sets of drawings. Contact us for more details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-12-2015%2016-56-54-5eaebd3e-fecc-45bf-92f3-816e81a454be.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-12-2015%2016-57-02-ae46a221-3225-4a4d-9030-2de721a2b478.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-12-2015%2016-57-08-29a87cfe-c996-499c-a19b-453236af4085.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-12-2015%2016-57-15-3316cd86-e113-4d6a-8266-eab4e7531e26.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-12-2015%2016-57-23-d50763b2-98ff-439b-a358-d8fb54ee80f2.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-12-2015%2016-57-31-e978fceb-bb07-4c23-aa32-f73349a1a757.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-12-2015%2016-56-54-5eaebd3e-fecc-45bf-92f3-816e81a454be.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-12-2015%2016-57-02-ae46a221-3225-4a4d-9030-2de721a2b478.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-12-2015%2016-57-08-29a87cfe-c996-499c-a19b-453236af4085.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-12-2015%2016-57-15-3316cd86-e113-4d6a-8266-eab4e7531e26.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-12-2015%2016-57-23-d50763b2-98ff-439b-a358-d8fb54ee80f2.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-12-2015%2016-57-31-e978fceb-bb07-4c23-aa32-f73349a1a757.png , ","2 Months , 2D Animation Training , 3 Months , 6 Months , Autodesk InfraWorks Training , Autodesk Inventor Training , Autodesk Revit MEP Training , Basic Primavera Training , CAD & CAM Training , CATIA Training , Certification programs , Civil CAD Training , Correspondence , Diploma Programs , Electrical CAD Training , Electrical Control Panel Design Traning , Evening Classes , Full time , HVAC Job Training , Mechanical CAD Training , Mechanical Electrical Plumbing (MEP) Training , MEP Training , MS Project Training , MX Road Design Training , Part time , PPM Training , Revit Architecture Training , Revit structure Training , STAAD Pro Training , Summer Classes , Weekend Classes , "
4516,Cad Centre,engineering-design-training-centres,9349033288, 8129824083,,,,,General Hospital Road,695035,thrissur,India,director@cadcenter.org,http://www.cadcenter.org,Sreejith,"Monday - Friday: 8 AM - 8 PM, Saturday: 8 AM - 6 PM, Sunday: 9 AM - 6 PM","Computer Networking Training , Database Training , Engineering Design Training , Hardware Training , Middleware Training , Mobile Development Training , Multimedia & Design Training , Oracle Training , Programming Languages Training , Software Architecture Training , Software Tools Training , Software Testing Training , Web Technologies Training , SAP Training , Middleware Technologies Training , Advanced C Programming Training , Basic Software Architecture Training , 2D Animation Training , 3D/2D Animation Services , MS Office Training , C, C++ Training , C Sharp (C#) Training , Mobile Application Testing Training , QTP Certification Training , ASP.Net Training , Oracle OAF Training , SAP ABAP Training , .Net Training , DB2 Training , DBA Mainframe Training , Mobile Application Development Training , Embedded C Training , Java & J2EE Training , VB Script Training , A+ Certification Training , CAD & CAM Training , 3D CAD Training , PHP & MySQL Training , Real Time Projects Training , Embedded Applications Training , Oracle OSB Training , Embedded Development Training , PCP Training , Advanced JAVA Training , WAP Training , Advanced C++ Training , Adobe Premiere Training , VLSI Designing Institutes , CSS Training , Oracle Query Tuning Training , Advanced PHP Training , ","Cad Center provides the right learning environment with the expertise obtained from 25 years of service among the engineering sector. At CAD Center, students get professional training as well as true international certification from Autodesk. Inc. U.S.A. Multimedia division of CAD Center named Tweens Multimedia caters people from various fields of the Entertainment industry. Tweens Multimedia aims to provide quality education to enable digital artists to get equipped with the latest tools in computer graphic designing, computer animation, special effects, video editing etc.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/cadcenterlogo-a2bb062b-c7ce-4b81-85c3-e24734072f8a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/cadcenterlogo-a2bb062b-c7ce-4b81-85c3-e24734072f8a.png , ","Adobe Premiere Training , Advanced C Programming Training , Advanced C++ Training , Advanced JAVA Training , Advanced PHP Training , ASP.Net Training , Basic Software Architecture Training , C Sharp (C#) Training , C, C++ Training , CAD & CAM Training , CSS Training , DB2 Training , DBA Mainframe Training , Embedded Applications Training , Embedded C Training , Embedded Development Training , Java & J2EE Training , Middleware Technologies Training , Mobile Application Development Training , Mobile Application Testing Training , MS Office Training , Oracle OAF Training , Oracle OSB Training , Oracle Query Tuning Training , PCP Training , PHP & MySQL Training , QTP Certification Training , Real Time Projects Training , SAP ABAP Training , VB Script Training , VLSI Designing Institutes , WAP Training , "
4517,Venture Software Technologies,engineering-design-training-centres,9497641968,,,,,2nd Floor,Kowdiar,695003,thrissur,India,info@venturesoftwares.org,http://www.venturesoftwares.org,Sumith Krishnan K,Monday - Sunday: 7 AM - 9 PM,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Engineering Design Training , Enterprise Training , Hardware Training , Mobile Development Training , Multimedia & Design Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Robotics Training , Software Architecture Training , Software Tools Training , Software Testing Training , Web Technologies Training , Content Management Software Online Training , Primavera Training , Android Application Development Training , 2D Animation Training , Advanced C Programming Training , Advanced Solaris Training , Web Designing Training , WordPress CMS Online Training , Joomla CMS Online Training , Advanced Primavera Training , Advanced Software Testing Training , AJAX Training , Advanced Robotics Training , Advanced Software Architecture Training , 3D/2D Animation Services , 3D Studio Max Training , Advanced Networking Training , Embedded Systems Training , ASP.Net Training , .Net Training , 3D Modelling Training , Oracle Certification Training , Java Script Training , Adobe Flex Training , Adobe Illustrator Training , ACP Certification Training , A+ Certification Training , MCTS Training , Adobe Photoshop Training , IEEE Computer Projects Training , 3D CAD Training , AdminStudio Packaging Training , Advanced Visual Basic Training , Academic Projects Training , ","Venture Software Technologies, an IT firm can be your partner for developing custom business software. We have been at the forefront of web and mobile application development industry, delivering tailor-made software solutions to clients. Also committed for providing quality software solutions and Job - project - oriented training. Our main areas of specialization are SOFTWARE DEVELOPMENT, WEB APPLICATION DEVELOPMENT, MOBILE APP DEVELOPMENT ,SEO & SEM SERVICE, INTERNSHIP IN LIVE APPS and COURSE PROJECT DEVELOPMENT. . Venture Software Technologies had startup in 2010 founded by three individuals, VENTURE now includes designers, developers, UX engineers, quality assurance specialists, software trainers and business analysts who work in tandem innovating with the latest technologies. We are constantly trying to reach out to our multiplying global clientle through our centers at Trivandrum and Kollam. VENTURE offers a range of creative and customer-focused solutions. Our platform expertise and cross-vertical experience have grown over the years to include an umbrella of services with application development at its core. We uses iterative and agile development methodologies such as SCRUM for application development. By breaking down projects into smaller iterations and deploying working software frequently, we effectively speed up our delivery process. We use web-based project management and collaboration tools such as Trac and Redmine to ensure that our projects stay on track. Clients are given access to these tools so that they remain updated on the project status as we design, develop, test and deliver applications. LOCATION : Kowdiar and Valiyavila, Trivandrum and Vellimon Jn Kundara Kollam.  ",,"3D Printer Training , 3D Studio Max Training , 3D Tracking Training , 3D/2D Animation Services , 3DVIA Composer Training , 4D Animation Training , A+ Certification Training , Abaqus Training , Academic Projects Training , ACE Contact Manager Training , ACP Certification Training , AdminStudio Packaging Training , Adobe Dreamweaver Training , Adobe Flash Training , Adobe Flex Training , Adobe Framemaker Training , Adobe Illustrator Training , Adobe Indesign Training , Adobe Photoshop Training , Adobe Premiere Training , Adobe Robohelp Training , Adobe Shockwave Training , Adobe Soundbooth Training , Advanced Animation Training , Advanced C Programming Training , Advanced C++ Training , Advanced JAVA Training , Advanced Networking Training , Advanced PHP Training , Advanced Primavera Training , Advanced Robotics Training , Advanced SAN Training , Advanced Software Architecture Training , Advanced Software Testing Training , Advanced Solaris Training , Advanced Statistics Training , Advanced VBScript Training , Advanced Visual Basic Training , AJAX Training , Allegro Training , Android Application Development Training , AngularJS Training , ASP.Net Training , Embedded Systems Training , HTML Training , IEEE Computer Projects Training , Java Script Training , Joomla CMS Online Training , JQuery Training , MCTS Training , Oracle Certification Training , Web Designing Training , Word Press Training , WordPress CMS Online Training , "
4518,MARC-D Automation Pvt.Ltd.,engineering-design-training-centres,9745149955,,,,,"Global Tower, Behind Railway Station, Poothole",Poothole,680004,thrissur,India,training@marc-d.com,,Anand T,,"PLC Training , PLC Designing Training , SCADA Training , Industrial Automation Training , Instrumentation Engineering Training , DCS Training , Honeywell DCS Training , Emerson DeltaV DCS Training , HMI Training , Electrical Control Panel Design Traning , ",,,"Industrial Automation Training , Instrumentation Engineering Training , PLC Designing Training , PLC Training , SCADA Training , "
