EduID,Name,Main Category,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
4132,The Presidential School,cbse-schools,0891 - 2700085, 0891 - 2534681,,,,Door No. 50-121-27/1,Seethammadhara,530013,visakhapatnam,India,presidential_ld@rocketmail.com,,Anand,Monday - Saturday: 9 AM - 5 PM,"CBSE High Schools , CBSE Higher Secondary Schools , ",,,"Boarding CBSE Schools , CBSE Day Schools , Regional Language CBSE Schools , School Bus Facility CBSE Schools , Sports Facility CBSE Schools , "
4133,Dr. KKR Gowtham International School,cbse-schools,0891 - 2715199, 0891 - 2716199, 9160444004,,,,L.B. Colony,530017,visakhapatnam,India,,http://www.kkrgowtham.com,C.J. Chako,,"State Board Schools , CBSE Higher Secondary Schools , CBSE Primary Schools , State Board Higher Secondary Schools , State Board Primary Schools , ",,,
4134,Ravindra Bharathi School,cbse-schools,8096699733,,,,,Door No. 30-6-26,Dada Gardens,530020,visakhapatnam,India,,http://www.rbschools.in,,,"CBSE High Schools , CBSE Primary Schools , ",,,
4135,SR Digi School,cbse-schools,0891 - 2547070, 9642822322,,,,"No. 45-51-10,",Akkayyapalem,530016,visakhapatnam,India,,http://www.srdigischool.com,P.L.eelaSreedhar,Monday - Saturday: 8.30 AM - 5 PM,"State Board Schools , CBSE Primary Schools , State Board High Schools , ",,,
4136,SR Digi School,cbse-schools,0891 - 2593594, 9493942552,,,,,Gajuwaka,530026,visakhapatnam,India,,http://www.srdigischool.com,,,"CBSE High Schools , CBSE Primary Schools , ",,,
4137,Narayana IIT Olympiad School,cbse-schools,0891 - 2500237, 8500265711, 9160299261,,,No. 9-21-2,,,visakhapatnam,India,niop.iit@narayanainfo.com,http://www.narayanaolympiadschool.org,Someshwar Rao,Monday - Saturday: 8.30 AM - 5 PM,"ICSE Schools , State Board Schools , CBSE Primary Schools , State Board High Schools , State Board Primary Schools , ICSE Primary Schools , ",,,"CBSE Day Schools , Co-curricular Activities CBSE Schools , Co-Education ICSE Schools , Digital Classroom CBSE Schools , English Medium CBSE Schools , Kindergarten CBSE Schools , School Bus Facility CBSE Schools , Social Service Activity CBSE Schools , Sports Facility CBSE Schools , "
4138,Greenways Academy,cbse-schools,0891 - 2718256,,,,,,Marripalem,530018,visakhapatnam,India,bgowrib@yahoo.com,,B. Gowrishwari,Monday - Sunday : 24 Hrs,"CBSE Primary Schools , ",,,
4139,Sri Satya Sai Vidya Vihar,cbse-schools,0891 - 2552041, 0891 - 2783905,,,,,MVP Colony,530017,visakhapatnam,India,,,Nageshwar Rao,,"State Board Schools , CBSE High Schools , CBSE Primary Schools , ",,,
4140,Sri Prakash Vidya Niketan,cbse-schools,0891 - 2503344, 0891 - 2782585,,,,,Seethammadhara,530013,visakhapatnam,India,,,Suneeta,Monday - Saturday: 8 AM - 6.30 PM,"CBSE High Schools , CBSE Primary Schools , ",,,
4141,Kendriya Vidyalaya,cbse-schools,0891 - 2577136,,,,,"Gandhigram, Nausenabagh",Malkapuram,530005,visakhapatnam,India,pkvno2i@rediffmail.com,,,,,,,
