CITY,CIRCLE,STD
ABHAYAPURI,ASSAM  ,3669  
ABOHAR,PUNJAB  ,1634  
ABU ROAD,RAJASTHAN  ,2974  
ACHALPUR,MAHARASHTRA  ,7223  
ACHAMPET,ANDHRA PRADESH  ,8541  
ACHHNERA,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5613  
ADAMPUR MANDI,HARYANA  ,1669  
ADHAURA,BIHAR & JHARKHAND  ,6180  
ADILABAD,ANDHRA PRADESH  ,8732  
ADIMALY,KERALA  ,4864  
ADONI,ANDHRA PRADESH  ,8512  
ADOOR,KERALA  ,4734  
ADRA,WEST BENGAL & ANDAMAN NIKOBAR  ,3251  
AFZALPUR,KARNATAKA  ,8470  
AGAR,MADHYA PRADESH & CHHATTISGARH  ,7362  
AGARTALA,NORTH EAST  ,381  
AGATHY,KERALA  ,4894  
AGRA,UTTAR PRADESH(WEST) & UTTARAKHAND  ,562  
AHEMDABAD LOCAL,GUJRAT  ,79  
AHERI,MAHARASHTRA  ,7133  
AHMEDNAGAR,MAHARASHTRA  ,241  
AHMEDPUR,MAHARASHTRA  ,2381  
AHORE,RAJASTHAN  ,2978  
AHWA,GUJRAT  ,2631  
AINAPUR,KARNATAKA  ,8339  
AIZAWAL-I,NORTH EAST  ,389  
AIZWAL-II (SERCHIP),NORTH EAST  ,3838  
AJAIGARH,MADHYA PRADESH & CHHATTISGARH  ,7730  
AJARA,MAHARASHTRA  ,2323  
AJMER,RAJASTHAN  ,145  
AJNALA,PUNJAB  ,1858  
AKBARPUR,UTTAR PRADESH(EAST)  ,5111  
AKBARPUR-I (AKBARPUR),UTTAR PRADESH(EAST)  ,5271  
AKBARPUR-II (JALALPUR),UTTAR PRADESH(EAST)  ,5275  
AKHNOOR,JAMMU & KASHMIR  ,1924  
AKKALKOT,MAHARASHTRA  ,2181  
AKLERA,RAJASTHAN  ,7431  
AKOLA,MAHARASHTRA  ,724  
AKOLE,MAHARASHTRA  ,2424  
AKOT,MAHARASHTRA  ,7258  
ALAMPUR,ANDHRA PRADESH  ,8502  
ALAND,KARNATAKA  ,8477  
ALATHUR,KERALA  ,4922  
ALIBAGH,MAHARASHTRA  ,2141  
ALIGANJ (GANJDUNDWARA),UTTAR PRADESH(WEST) & UTTARAKHAND  ,5740  
ALIGARH,UTTAR PRADESH(WEST) & UTTARAKHAND  ,571  
ALIPURDUAR,WEST BENGAL & ANDAMAN NIKOBAR  ,3564  
ALIRAJPUR,MADHYA PRADESH & CHHATTISGARH  ,7394  
ALLAGADDA,ANDHRA PRADESH  ,8519  
ALLAHABAD,UTTAR PRADESH(EAST)  ,532  
ALLEPPEY,KERALA  ,477  
ALMORA,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5962  
ALONG,NORTH EAST  ,3783  
ALOT,MADHYA PRADESH & CHHATTISGARH  ,7410  
ALUR,KARNATAKA  ,8170  
ALUR,ANDHRA PRADESH  ,8523  
ALWAR,RAJASTHAN  ,144  
AMAGAON,MAHARASHTRA  ,7189  
AMALAPURAM,ANDHRA PRADESH  ,8856  
AMALNER,MAHARASHTRA  ,2587  
AMANGALLU,ANDHRA PRADESH  ,8545  
AMARPATAN,MADHYA PRADESH & CHHATTISGARH  ,7675  
AMARPUR,BIHAR & JHARKHAND  ,6420  
AMARWADA,MADHYA PRADESH & CHHATTISGARH  ,7167  
AMB,HIMACHAL PRADESH  ,1976  
AMBAD,MAHARASHTRA  ,2483  
AMBAH,MADHYA PRADESH & CHHATTISGARH  ,7538  
AMBALA,HARYANA  ,171  
AMBASA,NORTH EAST  ,3826  
AMBASAMUDRAM,TAMILNADU  ,4634  
AMBEJOGAI,MAHARASHTRA  ,2446  
AMBER (CHOMU),RAJASTHAN  ,1423  
AMBIKAPUR,MADHYA PRADESH & CHHATTISGARH  ,7774  
AMET,RAJASTHAN  ,2908  
AMETHI,UTTAR PRADESH(EAST)  ,5368  
AMINI,KERALA  ,4891  
AMLAGORA,WEST BENGAL & ANDAMAN NIKOBAR  ,3227  
AMLAREN (DAWKI),NORTH EAST  ,3653  
AMOD,GUJRAT  ,2641  
AMRAVATI,MAHARASHTRA  ,721  
AMRELI,GUJRAT  ,2792  
AMRITSAR,PUNJAB  ,183  
AMROHA,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5922  
ANAKAPALLE,ANDHRA PRADESH  ,8924  
ANAMALAI,TAMILNADU  ,4253  
ANAND,GUJRAT  ,2692  
ANANDAPUR,ORISSA  ,6731  
ANANTAPUR,ANDHRA PRADESH  ,8554  
ANANTNAG,JAMMU & KASHMIR  ,1932  
ANDAMAN ISLANDS,WEST BENGAL & ANDAMAN NIKOBAR  ,3192  
ANDOLE (JOGIPET),ANDHRA PRADESH  ,8450  
ANDROTH,KERALA  ,4893  
ANEKAL,KARNATAKA  ,8110  
