EduID,Name,Main Category,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
53573,Softcad World,engineering-design-training-centres,0674 - 2397949, 9668555701, 8270136591,,,"Plot No. A/1, Unit 7",Surya Nagar,751003,bhubaneswar,India,connect2us@softcadworld.com,http://www.softcadworld.com,Shantiswarup Mahapatra,Monday - Saturday: 7 AM - 9 PM,"Software Development Services , Production House , Engineering Design Training , Multimedia & Design Training , Web Technologies Training , ANSYS Training , Web Designing Training , ANSYS CFD Training , 3D/2D Animation Services , 3D Studio Max Training , CAE Training , Architectural Desktop Training , Autodesk Revit MEP Training , Adobe Photoshop Training , Autodesk MAYA Training , CAD & CAM Training , 3D CAD Training , CorelDRAW Training , Del CAM Training , Delcam Software Training , Video Editing Services , Graphic Designing Training , Mastercam Training , SEO Training , Multimedia & Animation Training , Pro E Training , Solidworks Training , Fashion Designing Training , Interior Design Training , Autocad Training , Electrical CAD Training , Civil CAD Training , CATIA Training , Plant Design Piping Training , HyperMesh (HM) Training , STAAD Pro Training , Mechanical Electrical Plumbing (MEP) Training , CAD & CAM NX Training , Project Management Certification Training , CAD Pro-Mechanism Training , CREO Training , Revit Architecture Training , Revit structure Training , Personality Development Training , Industrial Skill Training , Fire Fighting Design Training , Modular Kitchen Design Training , Aircraft Body Design Training , Automobile Body Design Training , Civil Engineering Job Training , Jewellery Designing Job Training , Digital Marketing Course , Electrical Engineering Job Training , ","Softcad World is a premiere CAD CAM CAE training institute of Odisha & is situated in Bhubaneswar. It is established in 2008 and is managed by ""India International Education Trust (IIET)"". IIET is a not for profit organisation which was primarily focussed to impart educational services to the youth brigade of the state to bring them at par with the national level and also to promote Indian students to match the exact skills of their international counterparts.
Education has spanned deep into the roots only through the use of modern technology and with large use of computers, software and internet has made it possible to improve its penetration much faster than before.
IIET has been a fore-runner in bridging the gap between demand and supply of quality man-power to various sectors. In a humble way, it started its first education venture in the name of ""The Softcad World"", to impart training to the youth empowering them with the latest tools using computer technology. Presently, the training institute operates from IIET's registered address near governor house in Bhubaneswar.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/award-ca916a99-3e49-4afa-854f-8c769ea88c72.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/interactive-computer-lab-69be0e92-246b-43cf-ad7b-279d675831cd.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/is-373130d5-175c-4110-9682-98b3844d9d1f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/award-ca916a99-3e49-4afa-854f-8c769ea88c72.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/interactive-computer-lab-69be0e92-246b-43cf-ad7b-279d675831cd.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/is-373130d5-175c-4110-9682-98b3844d9d1f.jpg , ","ANSYS CFD Training , Apparel Designing Course , Architect Job Training , Architectural Desktop Training , Autocad Training , Autodesk MAYA Training , Autodesk Revit MEP Training , Automobile Body Design Training , CAD & CAM NX Training , CAD & CAM Training , CAD Pro-Mechanism Training , CAE Training , CATIA Training , Civil CAD Training , Civil Engineering Job Training , CorelDRAW Training , CREO Training , Del CAM Training , Delcam Software Training , Digital Marketing Course , Diploma in Interior Designing Training , Diploma in Jewellery Designing Training , Diploma in Textile Designing Training , Electrical CAD Training , Electrical Engineering Job Training , Fashion Designing Training , Fire Fighting Design Training , Graphic Designing Training , HVAC Job Training , HyperMesh (HM) Training , Industrial Skill Training , Interior Design Training , Jewellery Designing Job Training , Land Surveying Job Training , Mastercam Training , Mechanical Electrical Plumbing (MEP) Training , Mechanical Engineering Job Training , Modular Kitchen Design Training , Multimedia & Animation Training , Personality Development Training , Plant Design Piping Training , PLM Software Services , Pro E Training , Project Management Certification Training , Revit Architecture Training , Revit structure Training , SEO Training , Software Engineering Training , Solidworks Training , STAAD Pro Training , Video Editing Services , Web Designing Training , "
53574,Institute of Advance Network Technology - IANT,engineering-design-training-centres,9090666501,,,,,"No. 11/A, 2nd Floor",Bhubaneshwar,751001,bhubaneswar,India,iantbhubaneswar@gmail.com,http://www.iantbhubaneswar.com,Rajesh Agarwal,Monday - Saturday: 7 AM - 7 PM,"Business Intelligence & Analytics Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Ethical Hacking Training , Hardware Training , Microsoft Training , Mobile Development Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Software Tools Training , Software Testing Training , Web Technologies Training , Cloud Computing Training , CompTIA Training , Red Hat Training , Chip Level Service Training ( Laptop & Desktop ) , Ethical Hacker Training , Android Application Development Training , Advanced C Programming Training , Red Hat Cloud Training , CompTIA A+ Training , RHCVA Training , RHCSS Training , CompTIA Security+ Training , Cloud Administration Training , Advanced Software Testing Training , C, C++ Training , MS Office Training , Computer Hacking Forensic Investigation , Chip Level Repair Course , Basic Networking Training , Advanced Networking Training , MCSA Certification Training , CCNP Certification Training , ASP.Net Training , CompTIA Network+ Training , RHCA Training , RHCE Training , .Net Training , Unix Training , MCITP Certification Training , VMWare/Virtualisation Training , MCSE Certification Training , Advanced MS Excel Training , RedHat OpenStack Training , Windows 2008 Server Certification Training , CCNA Certification Training , N+ Certification Training , ","IANT is  Indias No.1 IT Training Institute for Hardware, Networking , Ethical Hacking  and Cyber Security and No.1 training partner of CompTIA, Redhat, and EC-Council in India. It  is a prestigious premier Institute providing job guarantee career courses and short term courses. We  provide international certifications at lowest price in India. Our training programs are highly specialized, practical and relevant to the industry to make students employable.Contact      Mr. Ram
  ",,"1 Year Programs , 2 Weeks Programs , 3 Months Programs , Advanced Networking Training , Advanced PHP Training , Advanced Software Testing Training , Advanced Visual Basic Training , Android Application Development Training , Architectural Visualization Training , ASP.Net Training , Basic Networking Training , C, C++ Training , CA Programs , CCNA Certification Training , CCNP Certification Training , Childrens Programs , Chip Level Repair Course , Chip Level Service Training ( Laptop & Desktop ) , Cloud Administration Training , College Students Programs , CompTIA A+ Training , CompTIA Network+ Training , CompTIA Security+ Training , Computer Hacking Forensic Investigation , Corporate Training Programs , DHTML Training , Ethical Hacker Training , Govt. Staff Programs , HTML Training , Linux Administration Training , MCITP Certification Training , MCSA Certification Training , MCSE Certification Training , MS Office Training , N+ Certification Training , Oracle 11g DBA Training , Oracle AIA Training , Placement Service Programs , Professionals Programs , R Programming Language Training , Red Hat Cloud Training , RedHat OpenStack Training , RHCA Training , RHCE Training , RHCSA Training , RHCSS Training , RHCVA Training , SQL Server Training , Tally Training , Unix Training , VMWare/Virtualisation Training , Windows 2008 Server Certification Training , XHTML Training , "
53575,Frameboxx,engineering-design-training-centres,9337476780,,,,,"Plot No.- B-12,",Sahid Nagar,751001,bhubaneswar,India,bhubneshwar@frameboxx.in,http://www.frameboxx.in,,,"Multimedia & Design Training , Multimedia & Design Online Training , 3D Animation Online Training , 2D Animation Training , 3D/2D Animation Services , 3D Studio Max Online Training , 3D Studio Max Training , 3D Modelling Training , Toon Boom Animation Training , Adobe Illustrator Training , Adobe Photoshop Training , Autodesk MAYA Training , CorelDRAW Training , 3D CAD Training , Flash Action Effects Training , Graphic Designing Training , Multimedia & Animation Training , Sound Forge Training , Diploma Visual Effects (VFX) Training , Adobe Premiere Training , 3D Tracking Training , Audio & Video Editing Training , Adobe Framemaker Training , Adobe Indesign Training , DTP Training , Adobe Robohelp Training , 4D Animation Training , NUKE Compositing Training , 3D Movie Maker Training , 3DVIA Composer Training , Adobe Dreamweaver Training , Adobe Soundbooth Training , Adobe Captivate Training , Adobe CQ5 Training , Adobe Director Training , Adobe PageMaker Training , Adobe Shockwave Training , Advanced Animation Training , 3D Printer Training , Adobe Flash Training , ","Frameboxx Animation & Visual Effects is a versatile conglomerate with a focus on providing high end media and entertainment training & related services. Started in 2007 by a team of management and technical evangelists with over ten years of experience in the Animation & Visual effects production & training domain, Frameboxx offers a wide array of training programs aimed at producing high quality trained manpower to fuel lndia's Media & Entertainment industry. Ever since our inception, we've expanded our presence to over fifty state of the art training studios spread across India.  ",,"3D Printer Training , 3D Studio Max Online Training , 3D Studio Max Training , 3D Tracking Training , 3D/2D Animation Services , 3DVIA Composer Training , 4D Animation Training , Adobe Captivate Training , Adobe CQ5 Training , Adobe Director Training , Adobe Dreamweaver Training , Adobe Flash Training , Adobe Framemaker Training , Adobe Illustrator Training , Adobe Indesign Training , Adobe PageMaker Training , Adobe Photoshop Training , Adobe Premiere Training , Adobe Robohelp Training , Adobe Shockwave Training , Adobe Soundbooth Training , Advanced Animation Training , Audio & Video Editing Training , Autodesk MAYA Training , CorelDRAW Training , Diploma Visual Effects (VFX) Training , DTP Training , Flash Action Effects Training , Graphic Designing Training , Multimedia & Animation Training , NUKE Compositing Training , Sound Forge Training , Toon Boom Animation Training , "
53576,Engineers CADD Centre Pvt. Ltd.,engineering-design-training-centres,+91 40 33153606,,,,,"F - 9, 10,11,12, Eureka Court",Ameerpet,560040,bhubaneswar,India,training@eccindia.org,http://www.eccindia.org,Anand Kumar Reddy,,"Project Management Certification Training , ANSYS Training , Primavera Training , PPM Training , ANSYS CFD Training , Advanced Primavera Training , CAE Training , ANSYS Workbench Training , ANSYS DesignModeler Training , Autodesk Revit MEP Training , CAD & CAM Training , 3D CAD Training , MATLAB Training , Pro E Training , Unigraphic Software Training , Archicad Training , Autocad Training , Electrical CAD Training , Civil CAD Training , CATIA Training , HyperMesh (HM) Training , STAAD Pro Training , ETABS Training , Revit Architecture Training , ","Engineers CADD Centre Pvt. Ltd. is a Premier CAD CAE & Project Management Training Centre established in 1994 with its Headquarters at Ameerpet, Hyderabad, India. ECC has a successful track record of training over 1,00,000 Plus Engineers/Diplomas in various CAD & Skill Development vocational programs. ECC has got an excellent track of placing over 70% of its students and its vocational training programs also helped many Engineers/Architects to start their own consulting firms.Contact us for further.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic1-f5d80ac3-b0c8-45b8-a3f6-df8a777029bb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/pIC2-6cc8778e-5688-47a3-b1d6-189c1a2c329f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic3-86edd66a-f459-4619-9958-9848a500a351.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic5-d42f8cce-50fe-4472-b844-bd2e8ecbf031.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic6-d2876244-3526-46ad-865b-46fca1454162.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic7-1e74a9e9-bf2d-4ef9-9eaf-4a89cc4f158f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic1-f5d80ac3-b0c8-45b8-a3f6-df8a777029bb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/pIC2-6cc8778e-5688-47a3-b1d6-189c1a2c329f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic3-86edd66a-f459-4619-9958-9848a500a351.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic5-d42f8cce-50fe-4472-b844-bd2e8ecbf031.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic6-d2876244-3526-46ad-865b-46fca1454162.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic7-1e74a9e9-bf2d-4ef9-9eaf-4a89cc4f158f.jpg , ","Archicad Training , Autocad Training , Autodesk Revit MEP Training , CAD & CAM Training , CAE Training , CATIA Training , Civil CAD Training , Electrical CAD Training , ETABS Training , HyperMesh (HM) Training , MATLAB Training , PPM Training , Pro E Training , Revit Architecture Training , STAAD Pro Training , Unigraphic Software Training , "
53577,CINET Computer,engineering-design-training-centres,8908205606,,,,,#S-28,Nayapalli,751012,bhubaneswar,India,info@cinet.in,http://www.cinet.co.in,Abhijeet,Monday – Saturday: 7:00 am - 8:30 pm,"Content Management Software Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Programming Languages Training , Software Tools Training , Web Technologies Training , Web Designing Training , C, C++ Training , MS Office Training , Documentum Training , C Sharp (C#) Training , DBA Mainframe Training , VB Script Training , MS Project Training , CAD & CAM Training , 3D CAD Training , Web Logic Training , XHTML Training , DSP Training , Archicad Training , Autocad Training , Electrical CAD Training , Civil CAD Training , ORCAD Training , ","CINET Infotech is a company that provides professional customized solutions in web and software development. We deliver premium solutions for a wide range of business throughout India and around the world. We work with a wide range of clients in our endeavor to provide them cost effective and profitable solutions. At CINET Infotech, we have a dedicated and experienced team of computer professionals. Our niche lies in the fact that we thoroughly understand todays technologies to help you accomplish your business goals. Contact us now.
  ",,"CAD & CAM Training , Civil CAD Training , DBA Mainframe Training , Documentum Training , DSP Training , Electrical CAD Training , MS Office Training , MS Project Training , ORCAD Training , VB Script Training , Web Designing Training , Web Logic Training , XHTML Training , "
53578,NIIT,engineering-design-training-centres,0674 - 2547368, 9861270710,,,,"No. 610,Ground Floor",Sahid Nagar,751007,bhubaneswar,India,,http://www.niit.com,,,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Content Management Software Training , Database Training , Engineering Design Training , Enterprise Training , Ethical Hacking Training , Hardware Training , Microsoft Training , Middleware Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Software Tools Training , Web Technologies Training , Ethical Hacker Training , Chip Level Service Training ( Laptop & Desktop ) , CCSP Certification Training , MS Exchange Training , MS Office Training , CCVP Certification Training , C, C++ Training , Chip Level Repair Course , Oracle Fusion Middleware Training , Documentum Training , Data Warehousing Training , MS BI SSIS Training , JBOSS Middleware Training , C Sharp (C#) Training , CCNP Certification Training , CCIE Certification Training , Linux Training , .Net Training , Oracle Certification Training , MS BI SSRS Training , Juniper Certification Training , MCSE Certification Training , Oracle 10g DBA Training , CCNA Certification Training , MCTS Training , A+ Certification Training , Oracle Application Training , N+ Certification Training , CAD & CAM Training , MATLAB Training , Citrix Training , Tally Training , ",,,"CCIE Certification Training , CCNA Certification Training , CCNP Certification Training , CCSP Certification Training , CCVP Certification Training , Chip Level Repair Course , Chip Level Service Training ( Laptop & Desktop ) , Citrix Training , Data Warehousing Training , Documentum Training , Ethical Hacker Training , JBOSS Middleware Training , Juniper Certification Training , Linux Training , MATLAB Training , MCSE Certification Training , MCTS Training , MS BI SSIS Training , MS BI SSRS Training , MS Exchange Training , MS Office Training , N+ Certification Training , Oracle 10g DBA Training , Oracle Application Training , Oracle Certification Training , Oracle Fusion Middleware Training , Tally Training , "
53579,Baftek Infosys Pvt. Ltd.,engineering-design-training-centres,0674 - 2310456,,,,,,Kalpana Square,751001,bhubaneswar,India,,,Beswajit,,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Red Hat Training , Cognos Certification Training , Database Management Training , Oracle BPM Training , Project Management Training , Basic Software Testing Training , Web Designing Training , Advanced Software Testing Training , C, C++ Training , Basic Networking Training , MS Office Training , Oracle ADF Training , MS Certification Training , Data Warehousing Training , Hyperion Training , MS BI SSIS Training , CCNP Certification Training , Embedded Systems Training , Oracle OAF Training , Synon Training , Advanced Networking Training , SAP ABAP Training , SAP APO Training , Linux Training , IBM AS/400 Training , Automation Testing Training , .Net Training , RHCE Training , Oracle Finance Training , Linux Embedded Systems Training , CCIE Certification Training , MS BI SSAS Training , MS BI SSRS Training , GIMS ACHNP Certification Training , ",,,"Autocad Training , Automation Testing Training , Base SAS Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , CCIE Certification Training , CCNA Certification Training , CCNP Certification Training , Civil CAD Training , Cognos Certification Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , GIMS ACHNP Certification Training , Hyperion Training , IBM AS/400 Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Manual Testing Training , MCSE Certification Training , MicroStrategy Training , MS BI SSAS Training , MS BI SSIS Training , MS BI SSRS Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OBIEE Certification Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , QlikView Designer Training , QlikView Developer Training , RHCE Training , RHCT Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Synon Training , Tableau Training , Technical Writing Training , TM1 Data Integrator Training , Value Stream Mapping Training , Web Designing Training , Websphere (Portal, MQ & MB) Training , "
53580,Bdps Software Ltd.,engineering-design-training-centres,0674 - 2542239, 9437176863,,,,,Saheed Nagar,751007,bhubaneswar,India,,,S. K Dash,,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Red Hat Training , Cognos Certification Training , Database Management Training , Oracle BPM Training , Project Management Training , Basic Software Testing Training , Web Designing Training , Advanced Software Testing Training , C, C++ Training , Basic Networking Training , MS Office Training , Oracle ADF Training , MS Certification Training , Data Warehousing Training , Hyperion Training , MS BI SSIS Training , CCNP Certification Training , Embedded Systems Training , Oracle OAF Training , Synon Training , Advanced Networking Training , SAP ABAP Training , SAP APO Training , Linux Training , IBM AS/400 Training , Automation Testing Training , .Net Training , RHCE Training , Oracle Finance Training , Linux Embedded Systems Training , CCIE Certification Training , MS BI SSAS Training , MS BI SSRS Training , GIMS ACHNP Certification Training , ",,,"Autocad Training , Automation Testing Training , Base SAS Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , CCIE Certification Training , CCNA Certification Training , CCNP Certification Training , Civil CAD Training , Cognos Certification Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , GIMS ACHNP Certification Training , Hyperion Training , IBM AS/400 Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Manual Testing Training , MCSE Certification Training , MicroStrategy Training , MS BI SSAS Training , MS BI SSIS Training , MS BI SSRS Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OBIEE Certification Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , QlikView Designer Training , QlikView Developer Training , RHCE Training , RHCT Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Synon Training , Tableau Training , Technical Writing Training , TM1 Data Integrator Training , Value Stream Mapping Training , Web Designing Training , Websphere (Portal, MQ & MB) Training , "
53581,Datapro,engineering-design-training-centres,0674 - 2544045,,,,,,Saheed Nagar,751007,bhubaneswar,India,,,Subhendu Pattanayak,,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Red Hat Training , Cognos Certification Training , Database Management Training , Oracle BPM Training , Project Management Training , Basic Software Testing Training , Web Designing Training , Advanced Software Testing Training , C, C++ Training , Basic Networking Training , MS Office Training , Oracle ADF Training , MS Certification Training , Data Warehousing Training , Hyperion Training , MS BI SSIS Training , CCNP Certification Training , Embedded Systems Training , Oracle OAF Training , Synon Training , Advanced Networking Training , SAP ABAP Training , SAP APO Training , Linux Training , IBM AS/400 Training , Automation Testing Training , .Net Training , RHCE Training , Oracle Finance Training , Linux Embedded Systems Training , CCIE Certification Training , MS BI SSAS Training , MS BI SSRS Training , GIMS ACHNP Certification Training , ",,,"Autocad Training , Automation Testing Training , Base SAS Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , CCIE Certification Training , CCNA Certification Training , CCNP Certification Training , Civil CAD Training , Cognos Certification Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , GIMS ACHNP Certification Training , Hyperion Training , IBM AS/400 Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Manual Testing Training , MCSE Certification Training , MicroStrategy Training , MS BI SSAS Training , MS BI SSIS Training , MS BI SSRS Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OBIEE Certification Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , QlikView Designer Training , QlikView Developer Training , RHCE Training , RHCT Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Synon Training , Tableau Training , Technical Writing Training , TM1 Data Integrator Training , Value Stream Mapping Training , Web Designing Training , Websphere (Portal, MQ & MB) Training , "
53582,I.T. Kids,engineering-design-training-centres,0674 - 2595197, 0674 - 2595932,,,,,Bapuji Nagar,751009,bhubaneswar,India,,,Sabiha Sultana,,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Red Hat Training , Cognos Certification Training , Database Management Training , Oracle BPM Training , Project Management Training , Basic Software Testing Training , Web Designing Training , Advanced Software Testing Training , C, C++ Training , Basic Networking Training , MS Office Training , Oracle ADF Training , MS Certification Training , Data Warehousing Training , Hyperion Training , MS BI SSIS Training , CCNP Certification Training , Embedded Systems Training , Oracle OAF Training , Synon Training , Advanced Networking Training , SAP ABAP Training , SAP APO Training , Linux Training , IBM AS/400 Training , Automation Testing Training , .Net Training , RHCE Training , Oracle Finance Training , Linux Embedded Systems Training , CCIE Certification Training , MS BI SSAS Training , MS BI SSRS Training , GIMS ACHNP Certification Training , ",,,"Autocad Training , Automation Testing Training , Base SAS Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , CCIE Certification Training , CCNA Certification Training , CCNP Certification Training , Civil CAD Training , Cognos Certification Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , GIMS ACHNP Certification Training , Hyperion Training , IBM AS/400 Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Manual Testing Training , MCSE Certification Training , MicroStrategy Training , MS BI SSAS Training , MS BI SSIS Training , MS BI SSRS Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OBIEE Certification Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , QlikView Designer Training , QlikView Developer Training , RHCE Training , RHCT Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Synon Training , Tableau Training , Technical Writing Training , TM1 Data Integrator Training , Value Stream Mapping Training , Web Designing Training , Websphere (Portal, MQ & MB) Training , "
