EduID,Name,Main Category,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
49875,Baba Automation,engineering-design-training-centres,9456778440,,,,,"No. 834, Gurudev Palace",Khyora,208024,kanpur,India,babaautomation@gmail.com,http://www.babaautomation.com,Shrawan Kumar,Monday - Sunday: 9 AM - 7 PM,"PPM Training , PLC Training , PLC Designing Training , SCADA Training , Electrical CAD Training , Renewable Energy Training , Industrial Automation Training , Mechatronics Training , Instrumentation Engineering Training , DCS Training , Smartplant Instrumentation Training , ","BABA Automation is Kanpur first automation training institute is an ISO 9001 2008 certified, technology driven company offering wide range of training modules in the field of automation. We offer a wide range of innovative industrial automation training in KANPUR region encompassing a wide array of topics which are in sync with the industry requirement. Baba Automation is technology driven institute offering wide range of training modules in the field of automation. We know the difficulties which professionals face in production, projects, maintenance, services, design, application engineering due to lack of practical knowledge. This course designed for working professionals offers practical experience on Allen Bradley/ Siemens / Mitsubishi / Schneider PLCS, SCADA Sotware. Call us to know more about us.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/BabaAtmn-1-8915557e-88de-45fd-8a69-61facde649bc.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/BabaAtmn-2-9702ce87-e56d-4a1b-8216-74ac7ed059a8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/BabaAtmn-3-50eb97ff-a123-4774-92cd-31994a14fd55.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/BabaAtmn-4-17253770-400a-480f-a4ab-d2f68e32a04b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/BabaAtmn-6-cd41d79f-e5be-4887-84f0-45f4a8b63c67.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/BabaAtmn-1-8915557e-88de-45fd-8a69-61facde649bc.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/BabaAtmn-2-9702ce87-e56d-4a1b-8216-74ac7ed059a8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/BabaAtmn-3-50eb97ff-a123-4774-92cd-31994a14fd55.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/BabaAtmn-4-17253770-400a-480f-a4ab-d2f68e32a04b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/BabaAtmn-6-cd41d79f-e5be-4887-84f0-45f4a8b63c67.jpg , ","Mechatronics Training , PLC Training , PPM Training , Renewable Energy Training , SCADA Training , Smartplant Instrumentation Training , "
49876,Engineers CADD Centre Pvt. Ltd.,engineering-design-training-centres,+91 40 33153606,,,,,"F - 9, 10,11,12, Eureka Court",Ameerpet,560040,kanpur,India,training@eccindia.org,http://www.eccindia.org,Anand Kumar Reddy,,"Project Management Certification Training , ANSYS Training , Primavera Training , PPM Training , ANSYS CFD Training , Advanced Primavera Training , CAE Training , ANSYS Workbench Training , ANSYS DesignModeler Training , Autodesk Revit MEP Training , CAD & CAM Training , 3D CAD Training , MATLAB Training , Pro E Training , Unigraphic Software Training , Archicad Training , Autocad Training , Electrical CAD Training , Civil CAD Training , CATIA Training , HyperMesh (HM) Training , STAAD Pro Training , ETABS Training , Revit Architecture Training , ","Engineers CADD Centre Pvt. Ltd. is a Premier CAD CAE & Project Management Training Centre established in 1994 with its Headquarters at Ameerpet, Hyderabad, India. ECC has a successful track record of training over 1,00,000 Plus Engineers/Diplomas in various CAD & Skill Development vocational programs. ECC has got an excellent track of placing over 70% of its students and its vocational training programs also helped many Engineers/Architects to start their own consulting firms.Contact us for further.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic1-f5d80ac3-b0c8-45b8-a3f6-df8a777029bb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/pIC2-6cc8778e-5688-47a3-b1d6-189c1a2c329f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic3-86edd66a-f459-4619-9958-9848a500a351.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic5-d42f8cce-50fe-4472-b844-bd2e8ecbf031.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic6-d2876244-3526-46ad-865b-46fca1454162.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic7-1e74a9e9-bf2d-4ef9-9eaf-4a89cc4f158f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic1-f5d80ac3-b0c8-45b8-a3f6-df8a777029bb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/pIC2-6cc8778e-5688-47a3-b1d6-189c1a2c329f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic3-86edd66a-f459-4619-9958-9848a500a351.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic5-d42f8cce-50fe-4472-b844-bd2e8ecbf031.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic6-d2876244-3526-46ad-865b-46fca1454162.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic7-1e74a9e9-bf2d-4ef9-9eaf-4a89cc4f158f.jpg , ","Archicad Training , Autocad Training , Autodesk Revit MEP Training , CAD & CAM Training , CAE Training , CATIA Training , Civil CAD Training , Electrical CAD Training , ETABS Training , HyperMesh (HM) Training , MATLAB Training , PPM Training , Pro E Training , Revit Architecture Training , STAAD Pro Training , Unigraphic Software Training , "
49877,Sofcon India Pvt. Ltd.,engineering-design-training-centres,9838834288, 9838834288,,,,"2nd Floor, Deopuri Plaza",Faizabad Road,226002,kanpur,India,lucknow@sofcontraining.com,http://www.sofcontraining.com,Saurabh Singh,Monday - Sunday: 9 AM - 8 PM,"Engineering Design Training , Hardware Training , Operating System Training , Robotics Training , Basic Robotics Training , Microcontroller Training , Embedded Systems Training , Linux Embedded Systems Training , PIC Microcontroller Training , Linux Training , Embedded Processors Training , Embedded C Training , Embedded Robotics Training , Autodesk Inventor Training , Linux Device Driver Training , RTOS Training , Autodesk Revit MEP Training , Robot Building Training , Embedded Programming Training , Robot Programming Training , Live Projects Training , 3D CAD Training , Embedded Applications Training , Embedded Controller Training , MATLAB Training , PLC Training , Arduino Training , SystemVerilog Training , PLC Designing Training , Raspberry Pi Training , SCADA Training , VLSI Designing Institutes , Autocad Training , Electrical CAD Training , Plant Design Piping Training , Industrial Automation Training , Mechatronics Training , Instrumentation Engineering Training , DCS Training , Honeywell DCS Training , Revit Architecture Training , Mechanical CAD Training , HMI Training , Electrical Control Panel Design Traning , Building Automation System Training , ","Sofcon is established in the year 1995 and providing excellence in the field of Technical Training. It is an ISO 9001-2008 certified company affiliated and funded by NSDC (National Skill Development Corporation of India). It provides PLC training in Delhi and gives 100% placement assistance. Our goal is to be the Brand bridging the gap between Industry & Academia to inspire innovation, learning and creativity. Sofcon is one of the most Prestigious Training institute in the field of Automation, Embedded, IBMS and VLSI in India.  We have an experience of over 2 decades and having placement tie-up with leading automation/ embedded service providers, process/manufacturing and Electronics industries. We have fully equipped practical training labs with latest facilities throughout India. We have well qualified Faculties having rich industry background.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/+91%2098388%2034288%2020151222_182500-e52f2df8-8d59-4d6a-8683-db676efdaa0d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/06-01-2016%2010-47-26-8b9e8f2b-5376-47d8-9766-43cee428853d.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/06-01-2016%2010-48-24-e57c231d-5944-4e84-9cbf-57cda0565711.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/06-01-2016%2010-48-37-1d0fd4f6-7f76-404c-9ab9-74c1e43b561e.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/06-01-2016%2010-48-43-7621dc07-8444-4fea-a572-04f711f07b12.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/06-01-2016%2010-49-07-b5cd593b-c207-4fe1-80b5-2769beb29627.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/06-01-2016%2010-49-20-769fe036-a9ed-430c-87eb-f200150c21dc.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/+91%2098388%2034288%2020151222_182500-e52f2df8-8d59-4d6a-8683-db676efdaa0d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/06-01-2016%2010-47-26-8b9e8f2b-5376-47d8-9766-43cee428853d.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/06-01-2016%2010-48-24-e57c231d-5944-4e84-9cbf-57cda0565711.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/06-01-2016%2010-48-37-1d0fd4f6-7f76-404c-9ab9-74c1e43b561e.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/06-01-2016%2010-48-43-7621dc07-8444-4fea-a572-04f711f07b12.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/06-01-2016%2010-49-07-b5cd593b-c207-4fe1-80b5-2769beb29627.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/06-01-2016%2010-49-20-769fe036-a9ed-430c-87eb-f200150c21dc.png , ","Basic Robotics Training , Building Automation System Training , DCS Training , Electrical CAD Training , Electrical Control Panel Design Traning , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Processors Training , Embedded Programming Training , Embedded Robotics Training , Embedded Systems Training , HMI Training , Honeywell DCS Training , Industrial Automation Training , Instrumentation Engineering Training , Linux Device Driver Training , Linux Embedded Systems Training , Linux Training , Live Projects Training , MATLAB Training , Mechanical CAD Training , Mechatronics Training , Microcontroller Training , PIC Microcontroller Training , Plant Design Piping Training , PLC Designing Training , PLC Training , Raspberry Pi Training , Revit Architecture Training , Robot Building Training , Robot Programming Training , RTOS Training , SCADA Training , SystemVerilog Training , VLSI Designing Institutes , "
49878,NIIT,engineering-design-training-centres,0512 - 6552710, 0512 - 6552477, 9235440906,,,Shop No. 7/118,Swaroop Nagar,208002,kanpur,India,info@niit.com,http://www.niit.com,Govind,,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Ethical Hacking Training , Hardware Training , Microsoft Training , Middleware Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Software Tools Training , Web Technologies Training , Ethical Hacker Training , Chip Level Service Training ( Laptop & Desktop ) , CCSP Certification Training , MS Exchange Training , MS Office Training , CCVP Certification Training , C, C++ Training , Chip Level Repair Course , Oracle Fusion Middleware Training , Data Warehousing Training , MS BI SSIS Training , JBOSS Middleware Training , C Sharp (C#) Training , CCNP Certification Training , CCIE Certification Training , Linux Training , .Net Training , Oracle Certification Training , MS BI SSRS Training , Juniper Certification Training , MCSE Certification Training , Oracle 10g DBA Training , CCNA Certification Training , MCTS Training , A+ Certification Training , Oracle Application Training , N+ Certification Training , CAD & CAM Training , MATLAB Training , Citrix Training , Tally Training , ",,,"CCIE Certification Training , CCNA Certification Training , CCNP Certification Training , CCSP Certification Training , CCVP Certification Training , Chip Level Repair Course , Chip Level Service Training ( Laptop & Desktop ) , Citrix Training , Data Warehousing Training , Ethical Hacker Training , JBOSS Middleware Training , Juniper Certification Training , Linux Training , MATLAB Training , MCSE Certification Training , MCTS Training , MS BI SSIS Training , MS BI SSRS Training , MS Exchange Training , MS Office Training , N+ Certification Training , Oracle 10g DBA Training , Oracle Application Training , Oracle Certification Training , Oracle Fusion Middleware Training , Tally Training , "
49879,Maya Academy of Advanced Cinematics (MAAC),engineering-design-training-centres,0512 - 3074704, 0512 - 3074705, 0512 - 3074706, 9336902664,,No. 117/N/29,Kakadeo,208025,kanpur,India,kanpur@maacmail.com,http://www.animationpundit.com,Ranu Msihra,All days: 24 hours,"Multimedia & Design Training , Web Technologies Training , 2D Animation Training , Web Designing Training , 3D/2D Animation Services , 3D Studio Max Training , 3D Modelling Training , Autodesk Inventor Training , Autodesk Revit MEP Training , CAD & CAM Training , Autodesk MAYA Training , 3D CAD Training , Graphic Designing Training , Multimedia & Animation Training , 3D Tracking Training , Archicad Training , Autocad Training , Electrical CAD Training , Civil CAD Training , ORCAD Training , Revit Architecture Training , ",We have been in this service from the last several years. Contact us for more details.  ,,"2D Animation Training , Archicad Training , Autocad Training , Autodesk Inventor Training , Autodesk MAYA Training , Autodesk Revit MEP Training , CAD & CAM Training , Civil CAD Training , Electrical CAD Training , Graphic Designing Training , Multimedia & Animation Training , ORCAD Training , Revit Architecture Training , Web Designing Training , "
49880,NIIT,engineering-design-training-centres,9616882288,,,,,"No. 209, 2nd Floor",Harjinder Nagar,208007,kanpur,India,niitlalbangla@gmail.com,http://www.niit.com,,,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Content Management Software Training , Database Training , Engineering Design Training , Enterprise Training , Ethical Hacking Training , Hardware Training , Microsoft Training , Middleware Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Software Tools Training , Web Technologies Training , Ethical Hacker Training , Chip Level Service Training ( Laptop & Desktop ) , CCSP Certification Training , MS Exchange Training , MS Office Training , CCVP Certification Training , C, C++ Training , Chip Level Repair Course , Oracle Fusion Middleware Training , Documentum Training , Data Warehousing Training , MS BI SSIS Training , JBOSS Middleware Training , C Sharp (C#) Training , CCNP Certification Training , CCIE Certification Training , Linux Training , .Net Training , Oracle Certification Training , MS BI SSRS Training , Juniper Certification Training , MCSE Certification Training , Oracle 10g DBA Training , CCNA Certification Training , MCTS Training , A+ Certification Training , Oracle Application Training , N+ Certification Training , CAD & CAM Training , MATLAB Training , Citrix Training , Tally Training , ",,,".Net Training , A+ Certification Training , CCNP Certification Training , CCSP Certification Training , CCVP Certification Training , Chip Level Repair Course , Chip Level Service Training ( Laptop & Desktop ) , Citrix Training , Data Warehousing Training , Documentum Training , Ethical Hacker Training , JBOSS Middleware Training , Juniper Certification Training , Linux Training , MATLAB Training , MCSE Certification Training , MCTS Training , MS BI SSIS Training , MS BI SSRS Training , MS Exchange Training , MS Office Training , N+ Certification Training , Oracle 10g DBA Training , Oracle Application Training , Oracle Certification Training , Oracle Fusion Middleware Training , Tally Training , "
49881,Acadamy of Computers & Electronics,engineering-design-training-centres,,,,,,,Swaroop Nagar,208002,kanpur,India,,,,,"Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Database Management Training , Oracle BPM Training , Basic Software Testing Training , Web Designing Training , Project Management Training , MS Office Training , Advanced Software Testing Training , Basic Networking Training , MS Certification Training , C, C++ Training , Oracle ADF Training , Data Warehousing Training , Embedded Systems Training , Oracle OAF Training , Advanced Networking Training , SAP ABAP Training , SAP APO Training , Linux Training , Automation Testing Training , .Net Training , Oracle Finance Training , Linux Embedded Systems Training , Embedded C Training , Oracle Certification Training , Java & J2EE Training , SAP BI Training , PMP Certification Training , SAP BO Training , Oracle UCM Training , Embedded QT Training , Oracle 9i Training , Sun Certification Training , Manual Testing Training , SAP BW Training , SAP CRM Training , MS CIT Training , Oracle ASCP Training , Embedded Programming Training , Embedded Database Training , CAD & CAM Training , Oracle OCA Training , ",,,"Autocad Training , Automation Testing Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , Civil CAD Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Manual Testing Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Technical Writing Training , Web Designing Training , "
49882,Computer Career Academy,engineering-design-training-centres,,,,,,,Pandu Nagar,208005,kanpur,India,,,,,"Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Database Management Training , Oracle BPM Training , Basic Software Testing Training , Web Designing Training , Project Management Training , MS Office Training , Advanced Software Testing Training , Basic Networking Training , MS Certification Training , C, C++ Training , Oracle ADF Training , Data Warehousing Training , Embedded Systems Training , Oracle OAF Training , Advanced Networking Training , SAP ABAP Training , SAP APO Training , Linux Training , Automation Testing Training , .Net Training , Oracle Finance Training , Linux Embedded Systems Training , Embedded C Training , Oracle Certification Training , Java & J2EE Training , SAP BI Training , PMP Certification Training , SAP BO Training , Oracle UCM Training , Embedded QT Training , Oracle 9i Training , Sun Certification Training , Manual Testing Training , SAP BW Training , SAP CRM Training , MS CIT Training , Oracle ASCP Training , Embedded Programming Training , Embedded Database Training , CAD & CAM Training , Oracle OCA Training , ",,,"Autocad Training , Automation Testing Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , Civil CAD Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Manual Testing Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Technical Writing Training , Web Designing Training , "
49883,D T S Institute of Computer Science,engineering-design-training-centres,,,,,,,Jajmau,208010,kanpur,India,,,,,"Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Database Management Training , Oracle BPM Training , Basic Software Testing Training , Web Designing Training , Project Management Training , MS Office Training , Advanced Software Testing Training , Basic Networking Training , MS Certification Training , C, C++ Training , Oracle ADF Training , Data Warehousing Training , Embedded Systems Training , Oracle OAF Training , Advanced Networking Training , SAP ABAP Training , SAP APO Training , Linux Training , Automation Testing Training , .Net Training , Oracle Finance Training , Linux Embedded Systems Training , Embedded C Training , Oracle Certification Training , Java & J2EE Training , SAP BI Training , PMP Certification Training , SAP BO Training , Oracle UCM Training , Embedded QT Training , Oracle 9i Training , Sun Certification Training , Manual Testing Training , SAP BW Training , SAP CRM Training , MS CIT Training , Oracle ASCP Training , Embedded Programming Training , Embedded Database Training , CAD & CAM Training , Oracle OCA Training , ",,,"Autocad Training , Automation Testing Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , Civil CAD Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Manual Testing Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Technical Writing Training , Web Designing Training , "
49884,I.O.C.S. Computer Education,engineering-design-training-centres,,,,,,#A 117/469,Pandu Nagar,208005,kanpur,India,,,,,"Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Database Management Training , Oracle BPM Training , Basic Software Testing Training , Web Designing Training , Project Management Training , MS Office Training , Advanced Software Testing Training , Basic Networking Training , MS Certification Training , C, C++ Training , Oracle ADF Training , Data Warehousing Training , Embedded Systems Training , Oracle OAF Training , Advanced Networking Training , SAP ABAP Training , SAP APO Training , Linux Training , Automation Testing Training , .Net Training , Oracle Finance Training , Linux Embedded Systems Training , Embedded C Training , Oracle Certification Training , Java & J2EE Training , SAP BI Training , PMP Certification Training , SAP BO Training , Oracle UCM Training , Embedded QT Training , Oracle 9i Training , Sun Certification Training , Manual Testing Training , SAP BW Training , SAP CRM Training , MS CIT Training , Oracle ASCP Training , Embedded Programming Training , Embedded Database Training , CAD & CAM Training , Oracle OCA Training , ",,,"Autocad Training , Automation Testing Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , Civil CAD Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Manual Testing Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Technical Writing Training , Web Designing Training , "
