EduID,Name,Main Category,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
52017,CADD Centre,engineering-design-training-centres,9918902145,,,,,"B-1/3, Ravindrapuri Road,",Lanka,221005,varanasi,India,up.varanasi@caddcentre.com,,Punit Mishra,Monday - Saturday: 9 AM - 6 PM,"Engineering Design Training , Hardware Training , Multimedia & Design Training , Operating System Training , Oracle Training , Software Testing Training , Web Technologies Training , 2D Animation Training , 3D/2D Animation Services , 3D Studio Max Training , Linux Developer Courses , Linux Training , Linux Embedded Systems Training , Automation Testing Training , .Net Training , Java Script Training , PCB designing Training , Linux Device Driver Training , Autodesk Inventor Training , Autodesk Revit MEP Training , CAD & CAM Training , Autodesk MAYA Training , 3D CAD Training , Pro E Training , Linux Administration Training , Autocad Training , CATIA Training , STAAD Pro Training , CAD & CAM NX Training , Linux Cluster Training , CAD Pro-Mold Training , AutoCad Civil 3D Training , ","CADD CENTRE Our main focus areas are Software Training and Software Development. Accord started with the ambitious aim of providing QUALITY training to Students and Corporate. We are integrated as an organization of talented trainers having extensive expertise in all facets of providing quality training. With ten years of experience in software testing training, Accord provides quality training with industry best curriculum. Testing course provided in CADD CENTREd will cover Manual Testing and Automation Testing tools syllabus. Accord has successful record of placing software testing course completed students in many IT companies. The placement support is provided by an exclusive placement department. Clients who have signature Memorandum of Understanding with CADD CENTRE campus interview and recruit the students. CADD CENTRE has successfully established more than 300 client tie-up for placement.We has successful track record of completing many corporate training in advance syllabus of QTP and Selenium. CADD CENTRE will be the best institute to provide quality training in software testing. Contact us for more details.  ",,"AutoCad Civil 3D Training , Autocad Training , Autodesk Inventor Training , Autodesk MAYA Training , Autodesk Revit MEP Training , Automation Testing Training , CAD & CAM NX Training , CAD & CAM Training , CAD Pro-Mold Training , CATIA Training , Java Script Training , Linux Administration Training , Linux Cluster Training , Linux Developer Courses , Linux Device Driver Training , Linux Embedded Systems Training , Linux Training , PCB designing Training , Pro E Training , STAAD Pro Training , "
52018,Live Wire,engineering-design-training-centres,9554951458,,,,,"B-1/3, Ravindrapuri Road",Lanka,221005,varanasi,India,puneetsm@gmail.com,,Punit Mishra,Monday - Saturday: 9 AM - 6 PM,"Engineering Design Training , Multimedia & Design Training , Networking & Cisco Training , Web Technologies Training , Cloud Computing Training , 3D/2D Animation Services , 3D Studio Max Training , 3D Modelling Training , .Net Training , VMWare/Virtualisation Training , Vmware Cloud Training , CCNA Certification Training , CAD & CAM Training , 3D CAD Training , MATLAB Training , PLC Training , PLC Designing Training , SCADA Training , VLSI Designing Institutes , 3D Tracking Training , 3D Movie Maker Training , 3DVIA Composer Training , 3D Printer Training , CAD & CAM NX Training , CAD NASTRAN Training , CAD Pro-Mechanism Training , CAD Pro-Mold Training , ","Live Wire Our main focus areas are Software Training and Software Development. Accord started with the ambitious aim of providing QUALITY training to Students and Corporate. We are integrated as an organization of talented trainers having extensive expertise in all facets of providing quality training. With ten years of experience in software testing training, Live Wire provides quality training with industry best curriculum. Testing course provided in Live Wire will cover Manual Testing and Automation Testing tools syllabus. Live Wire has successful record of placing software testing course completed students in many IT companies. The placement support is provided by an exclusive placement department. Clients who have signature Memorandum of Understanding with Accord conduct campus interview and recruit the students. Live Wire has successfully established more than 300 client tie-up for placement.We has successful track record of completing many corporate training in advance syllabus of QTP and Selenium. Accord Info Matrix will be the best institute to provide quality training in software testing. Contact us for more details  ",,"3D Studio Max Training , 3D Tracking Training , 3D/2D Animation Services , 3DVIA Composer Training , CAD & CAM NX Training , CAD & CAM Training , CAD NASTRAN Training , CAD Pro-Mechanism Training , CAD Pro-Mold Training , CCNA Certification Training , MATLAB Training , PLC Designing Training , PLC Training , SCADA Training , VLSI Designing Institutes , Vmware Cloud Training , VMWare/Virtualisation Training , "
52019,Engineers CADD Centre Pvt. Ltd.,engineering-design-training-centres,+91 40 33153606,,,,,"F - 9, 10,11,12, Eureka Court",Ameerpet,560040,varanasi,India,training@eccindia.org,http://www.eccindia.org,Anand Kumar Reddy,,"Project Management Certification Training , ANSYS Training , Primavera Training , PPM Training , ANSYS CFD Training , Advanced Primavera Training , CAE Training , ANSYS Workbench Training , ANSYS DesignModeler Training , Autodesk Revit MEP Training , CAD & CAM Training , 3D CAD Training , MATLAB Training , Pro E Training , Unigraphic Software Training , Archicad Training , Autocad Training , Electrical CAD Training , Civil CAD Training , CATIA Training , HyperMesh (HM) Training , STAAD Pro Training , ETABS Training , Revit Architecture Training , ","Engineers CADD Centre Pvt. Ltd. is a Premier CAD CAE & Project Management Training Centre established in 1994 with its Headquarters at Ameerpet, Hyderabad, India. ECC has a successful track record of training over 1,00,000 Plus Engineers/Diplomas in various CAD & Skill Development vocational programs. ECC has got an excellent track of placing over 70% of its students and its vocational training programs also helped many Engineers/Architects to start their own consulting firms.Contact us for further.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic1-f5d80ac3-b0c8-45b8-a3f6-df8a777029bb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/pIC2-6cc8778e-5688-47a3-b1d6-189c1a2c329f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic3-86edd66a-f459-4619-9958-9848a500a351.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic5-d42f8cce-50fe-4472-b844-bd2e8ecbf031.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic6-d2876244-3526-46ad-865b-46fca1454162.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Pic7-1e74a9e9-bf2d-4ef9-9eaf-4a89cc4f158f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic1-f5d80ac3-b0c8-45b8-a3f6-df8a777029bb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/pIC2-6cc8778e-5688-47a3-b1d6-189c1a2c329f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic3-86edd66a-f459-4619-9958-9848a500a351.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic5-d42f8cce-50fe-4472-b844-bd2e8ecbf031.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic6-d2876244-3526-46ad-865b-46fca1454162.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Pic7-1e74a9e9-bf2d-4ef9-9eaf-4a89cc4f158f.jpg , ","Archicad Training , Autocad Training , Autodesk Revit MEP Training , CAD & CAM Training , CAE Training , CATIA Training , Civil CAD Training , Electrical CAD Training , ETABS Training , HyperMesh (HM) Training , MATLAB Training , PPM Training , Pro E Training , Revit Architecture Training , STAAD Pro Training , Unigraphic Software Training , "
52020,Sofcon India Pvt. Ltd.,engineering-design-training-centres,7704003025,,,,,"No. 20/B, 2nd Floor, Hasimpura Road",Kamlanagar,211002,varanasi,India,allahabad@sofcontraining.com,http://www.sofcontraining.com,Anubhav Singh,Monday - Saturday: 9 AM - 8 PM,"Engineering Design Training , Hardware Training , Operating System Training , Robotics Training , Basic Robotics Training , Microcontroller Training , Embedded Systems Training , Linux Embedded Systems Training , PIC Microcontroller Training , Linux Training , Embedded Processors Training , Embedded C Training , Embedded Robotics Training , Autodesk Inventor Training , Linux Device Driver Training , RTOS Training , Autodesk Revit MEP Training , Robot Building Training , Embedded Programming Training , Robot Programming Training , Live Projects Training , 3D CAD Training , Embedded Applications Training , Embedded Controller Training , MATLAB Training , PLC Training , Arduino Training , SystemVerilog Training , PLC Designing Training , Raspberry Pi Training , SCADA Training , VLSI Designing Institutes , Autocad Training , Electrical CAD Training , Plant Design Piping Training , Industrial Automation Training , Mechatronics Training , Instrumentation Engineering Training , DCS Training , Honeywell DCS Training , Revit Architecture Training , Mechanical CAD Training , HMI Training , Electrical Control Panel Design Traning , Building Automation System Training , ","Sofcon is established in the year 1995 and providing excellence in the field of Technical Training. It is an ISO 9001-2008 certified company affiliated and funded by NSDC (National Skill Development Corporation of India). It provides PLC training in Delhi and gives 100% placement assistance. Our goal is to be the Brand bridging the gap between Industry & Academia to inspire innovation, learning and creativity. Sofcon is one of the most Prestigious Training institute in the field of Automation, Embedded, IBMS and VLSI in India. We have an experience of over 2 decades and having placement tie-up with leading automation/ embedded service providers, process/manufacturing and Electronics industries. We have fully equipped practical training labs with latest facilities throughout India. We have well qualified Faculties having rich industry background.  ",,"Basic Robotics Training , Building Automation System Training , DCS Training , Electrical CAD Training , Electrical Control Panel Design Traning , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Processors Training , Embedded Programming Training , Embedded Robotics Training , Embedded Systems Training , HMI Training , Honeywell DCS Training , Industrial Automation Training , Instrumentation Engineering Training , Linux Device Driver Training , Linux Embedded Systems Training , Linux Training , Live Projects Training , MATLAB Training , Mechanical CAD Training , Mechatronics Training , Microcontroller Training , PIC Microcontroller Training , Plant Design Piping Training , PLC Designing Training , PLC Training , Raspberry Pi Training , Revit Architecture Training , Robot Building Training , Robot Programming Training , RTOS Training , SCADA Training , SystemVerilog Training , VLSI Designing Institutes , "
52021,Designo Academy of Design & Animation,engineering-design-training-centres,7388444148,,,,,"3rd Floor, Englishya Line",Station Road,221002,varanasi,India,designo4u@gmail.com,http://www.designo4u.com,Rajan Chaturvedi,Monday - Saturday: 7.30 AM - 7 PM,"Coaching & Tuitions , Computer Networking Training , Database Training , Engineering Design Training , Multimedia & Design Training , Programming Languages Training , Software Tools Training , Web Technologies Training , MBA Part Time Distance Education , Database Management Training , Advanced C Programming Training , Web Designing Training , C, C++ Training , MS Office Training , M.B.A. Distance Education , C Sharp (C#) Training , Advanced Networking Training , M.Sc. TQM Distance Education , .Net Training , M.Sc. Physics Distance Education , Java & J2EE Training , Advanced MS Excel Training , M.Sc. Botany Distance Education , Java Script Training , M.Sc. Zoology Distance Education , CAD & CAM Training , Web Logic Training , CorelDRAW Training , PHP & MySQL Training , Java Beans Training , M.Sc. Chemistry Distance Education , M.C.A. Distance Education , MS Access Training , Advanced JAVA Training , Web 2.0 Training , Advanced C++ Training , B.A Distance Education , B.Com Distance Education , Electrical CAD Training , M.Com Distance Education , Web Development Training , Advanced PHP Training , M.A. Distance Education , BCA Distance Education , Advanced Animation Training , CAD & CAM NX Training , CAD NASTRAN Training , CAD Pro-Mechanism Training , Spoken English Classes , B.Tech. Distance Education , B.C.A. Distance Education , MSC IT , B.Sc. IT Distance Education , ","Designo Academy of Design & Animation is an ISO 9001:2008 CERTIFIED ORGANIZATION . It is the best Professional computer training center in Varanasi. Designo is the better place for graphics designing, Web Designing, Programming, Multimedia, Hardware & Networking etc. Apart from that, it provides Software, Web Development Services, Domain Registration, web hosting services. It's Primiay Focus goes to Provide Professional carrier and job related skills that required for any people or organization. Quality is the main thing that Designo Provides. Designo is Committed to Students Satisfaction we have created a very friendly learning environment with the latest computer hardware and software technologies. Whether you are new to the computer industry or are looking to improve your skill, we have the best courses for you. Designo is an effective Institute for students to provide training and skill development for all entrepreneurs.  ",,".Net Training , 1 Month Program , 1 Year Program , 3 Months Program , 6 Months Program , Advanced Networking Training , Advanced PHP Training , B.A Distance Education , B.C.A. Distance Education , B.Com Distance Education , B.Sc. IT Distance Education , B.Tech. Distance Education , BCA Distance Education , C Sharp (C#) Training , C, C++ Training , CAD & CAM NX Training , CAD & CAM Training , CAD NASTRAN Training , CAD Pro-Mechanism Training , Classroom Tuitions , CorelDRAW Training , Daily Classes , Database Management Training , Electrical CAD Training , Java & J2EE Training , Java Beans Training , Java Script Training , M.A. Distance Education , M.B.A. Distance Education , M.C.A. Distance Education , M.Com Distance Education , M.Sc. Botany Distance Education , M.Sc. Chemistry Distance Education , M.Sc. Physics Distance Education , M.Sc. TQM Distance Education , M.Sc. Zoology Distance Education , MBA Part Time Distance Education , More than Rs.20000 , MS Access Training , MS Office Training , MSC IT , PHP & MySQL Training , Rs.1000-Rs.5000 , Short Term , Spoken English Classes , Web 2.0 Training , Web Designing Training , Web Development Training , Web Logic Training , "
52022,Seed Infotech Ltd.,engineering-design-training-centres,0542 - 3205766, 7379044447, 7379344442,,,"No. 38/1, 3rd Floor, Arjun Complex, Mahmoorganj",Mahmoorganj,560040,varanasi,India,varanasi@seedinfotech.com,http://www.alpransoftware.com,Sahu Kumar,Monday - Saturday: 10 AM - 7 PM,"Mobile Application Providers , Certification Courses Training , Computer Networking Training , Engineering Design Training , Hardware Training , Mobile Development Training , Programming Languages Training , Software Tools Training , Software Testing Training , Web Technologies Training , Oracle Online Training , Web Technologies Online Training , Content Management Software Online Training , Android Application Development Training , Advanced C Programming Training , Web Designing Training , Oracle Developer Online Training , Basic Software Testing Training , WordPress CMS Online Training , Joomla CMS Online Training , Advanced Software Testing Training , MS Office Training , C, C++ Training , iPhone Development Training , Basic Networking Training , Advanced Networking Training , Mobile Application Testing Training , C Sharp (C#) Training , ASP.Net Training , PHP Online Training , Oracle 9i DBA Online Training , ExpressionEngine CMS Online Training , Automation Testing Training , .Net Training , Mobile Gaming & E-Learning Diploma Training , Mobile Application Development Training , Embedded C Training , Oracle 11i Financial Online Training , Advanced MS Excel Training , A+ Certification Training , Oracle DBA Online Training , Basic Language Training , CAD & CAM Training , PHP & MySQL Training , Advanced Visual Basic Training , Java Beans Training , Oracle ERP Online Training , Oracle CRM Online Training , Embedded Development Training , WAP Training , Advanced JAVA Training , XHTML Training , Web 2.0 Training , ","Seed Infotech Ltd. In the year 2004 we established IRDA accredited agents training institute (ATI) for Insurance agents mandatory pre-licensing training. Over the last fourteen years we have trained more than 50,000 agents for various private insurers of the country,In the past one year we have trained hundreds of students in various Job Roles under Skill India Mission under the Pradhan Mantri Kaushal Vikas Yojana. Students have benefitted from the scheme and have secured handsome job for themselves. We envisage training thousands others in the current financial year & collaborate big time in making India skillful & contributing our bit in building a strong India.  ",,".Net Training , 2D Website , 3D Website , Advanced Networking Training , Advanced PHP Training , Advanced Software Testing Training , Advanced Visual Basic Training , Advanced Web Design Training , Android Application Development Training , ASP.Net Training , AutoCad Civil 3D Training , Autocad Training , Automation Testing Training , Basic Language Training , Basic Networking Training , Basic Software Testing Training , Bluehost , C Sharp (C#) Training , C, C++ Training , CAD & CAM NX Training , CAD & CAM Training , CAD NASTRAN Training , CAD Pro-Mechanism Training , Cloud Computing Service , CMS Website , Coldfusion , Content Development Service , Corporate Website Service , CSS Website , Data Base Registration Service , Delphi , Embedded C Training , Embedded Development Training , Erlang , ExpressionEngine CMS Online Training , Fatcow , Fortran , Gimp Website , Go , Gripe Website , Grunge Website , Hostgator , Inmotion , Ipage , iPhone Development Training , Java Beans Training , Joomla CMS Online Training , Justhost , Lisp , Lua , Mac , Magento Website , Mambo Website , Matlab , Mobile Application Development Training , Mobile Application Testing Training , Mobile Gaming & E-Learning Diploma Training , MS Office Training , Multimedia Website , Ocaml , Opencart , Oracle 11i Financial Online Training , Oracle 9i DBA Online Training , Oracle 9i Online Training , Oracle CRM Online Training , Oracle DBA Online Training , Oracle Developer Online Training , Oracle ERP Online Training , Oracle OCA Online Training , Oracle SQL Online Training , Oracle Sun Storage Online Training , Pascal , Perl , Personal Website Service , PHP & MySQL Training , PHP Online Training , Private Virtual Server Service , Ruby , Sas , Scala , Scheme , Scratch , SWiSH Website , WAP Training , Web 2.0 Training , Web Design Services , Web Designing Training , Web Development Training , Website Maintenance AMC Service , Word Press Training , WordPress CMS Online Training , XHTML Training , Zen Cart Website , "
52023,SCED School of Technologies,engineering-design-training-centres,9335953671,,,,,"Office No. 3C, 4th Floor",Bhelupura,221005,varanasi,India,ai.scedsot@gmail.com,,Ahmad Imam,Monday - Saturday: 8 AM - 8 PM,"Administration Training , Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Software Tools Training , Software Testing Training , Web Technologies Training , 2D Animation Training , Advanced C Programming Training , Web Designing Training , C, C++ Training , Advanced Software Testing Training , 3D/2D Animation Services , M.B.A. Distance Education , Linux Developer Courses , Advanced Networking Training , ASP.Net Training , .Net Training , Linux Embedded Systems Training , Linux Training , Advanced MS Excel Training , CCNA Certification Training , Linux Device Driver Training , Windows 2008 Server Certification Training , Autodesk MAYA Training , CorelDRAW Training , Web Logic Training , Oracle 11g DBA Training , PGDCA Courses , Advanced JAVA Training , XHTML Training , Advanced C++ Training , Linux Administration Training , Autocad Training , B.A Distance Education , Word Press Training , B.Com Distance Education , M.Com Distance Education , Civil CAD Training , Web Development Training , Tally Training , BBA Distance Education , BCA Distance Education , Advanced Animation Training , Linux Cluster Training , CAD Pro-Mold Training , AutoCad Civil 3D Training , ",SCED School of Technologies is offering Management education programs and has candidates from various industrial sector and top MNCs. Ours is one of the very few prestigious institutes in India running an educational company registered with Ministry of Corporate Affairs as Corporate University (Autonomous Status). It is accredited by IAOU international accreditation and we are operating as a corporate university registered in India and running with foreign collaboration. Contact us.  ,,"Advanced C++ Training , Advanced JAVA Training , Advanced MS Excel Training , Advanced Networking Training , Advanced Software Testing Training , ASP.Net Training , AutoCad Civil 3D Training , Autocad Training , Autodesk MAYA Training , B.A Distance Education , B.C.A. Distance Education , B.Com Distance Education , B.Sc. IT Distance Education , B.Tech. Distance Education , BBA Distance Education , BCA Distance Education , C, C++ Training , CAD Pro-Mold Training , CCNA Certification Training , Civil CAD Training , CorelDRAW Training , Linux Administration Training , Linux Cluster Training , Linux Developer Courses , Linux Device Driver Training , Linux Embedded Systems Training , Linux Training , M.B.A. Distance Education , M.Com Distance Education , Oracle 11g DBA Training , PGDCA Courses , Tally Training , Web Designing Training , Web Development Training , Web Logic Training , Windows 2008 Server Certification Training , Word Press Training , XHTML Training , "
52024,B.C.I.S. Infotech,engineering-design-training-centres,9889278704,,,,,"S-17/331-N, 1st Floor Parshav Kunj",Maldahiya,221002,varanasi,India,bcisvns@gmail.com,,Rakesh Kumar Chaurasia,Monday - Saturday: 9 AM - 6 PM,"Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Hardware Training , Multimedia & Design Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , 2D Animation Training , Database Management Training , Advanced C Programming Training , C, C++ Training , APMG Training , IBM AIX Certification Training , AJAX Training , ASP.Net Training , C Sharp (C#) Training , .Net Training , Java & J2EE Training , Advanced MS Excel Training , Apple OS Training , Embedded QT Training , Adobe Flex Training , L2 & L3 Protocol Training , JSF Training , CCDA Training , A+ Certification Training , Embedded Database Training , JMeter Testing Training , CAD & CAM Training , Altera FPGA Training , Database Testing Training , HADOOP Training , Appium Training , Graphic Designing Training , Advanced JAVA Training , Advanced C++ Training , DHTML Training , Diploma Visual Effects (VFX) Training , HP-UX Administration Training , JSP Training , IT Infrastructure Library (ITIL) Training , Electrical CAD Training , Civil CAD Training , Adobe Robohelp Training , 4D Animation Training , Advanced PHP Training , Industrial Automation Training , Abaqus Training , Adobe CQ5 Training , ","BCIS(Banaras Computer Information Society) is a non-profitable registered society under Act 21,1860 was established in the year 2007 in Varanasi. The community is entirely dedicated towards development of IT coming from rural. To accomplish its vision, Society has come up with B.C.I.S. Infotech Premier Technical Institution within the rural environment in the several districts like- Varanasi, Deoria, Mau, Gazipur, Gorakhpur, Mirzapur, Bhadohi, Allahabad, Jaunpur, Ballia, Kushinagar, Azamgarh and much more.  ",,"Abaqus Training , Adobe CQ5 Training , Adobe Director Training , Adobe Flex Training , Adobe Robohelp Training , Advanced C Programming Training , Advanced C++ Training , Advanced JAVA Training , Advanced MS Excel Training , Advanced PHP Training , AJAX Training , Altera FPGA Training , ANSA Training , APMG Training , Appium Training , Apple OS Training , ASP.Net Training , C Sharp (C#) Training , C, C++ Training , CAD & CAM NX Training , CAD & CAM Training , CCDA Training , Civil CAD Training , CREO Training , Database Management Training , Database Testing Training , DCS Training , DHTML Training , Diploma Visual Effects (VFX) Training , Electrical CAD Training , Embedded Database Training , Embedded QT Training , Emerson DeltaV DCS Training , FDMEE Training , Graphic Designing Training , HADOOP Training , HP-UX Administration Training , IBM AIX Certification Training , Industrial Automation Training , IT Infrastructure Library (ITIL) Training , Java & J2EE Training , JMeter Testing Training , JSF Training , JSP Training , L2 & L3 Protocol Training , "
52025,Maya Academy of Advanced Cinematics (MAAC),engineering-design-training-centres,0512 - 3074704, 0512 - 3074705, 0512 - 3074706, 9336902664,,No. 117/N/29,Kakadeo,208025,varanasi,India,kanpur@maacmail.com,http://www.animationpundit.com,Ranu Msihra,All days: 24 hours,"Multimedia & Design Training , Web Technologies Training , 2D Animation Training , Web Designing Training , 3D/2D Animation Services , 3D Studio Max Training , 3D Modelling Training , Autodesk Inventor Training , Autodesk Revit MEP Training , CAD & CAM Training , Autodesk MAYA Training , 3D CAD Training , Graphic Designing Training , Multimedia & Animation Training , 3D Tracking Training , Archicad Training , Autocad Training , Electrical CAD Training , Civil CAD Training , ORCAD Training , Revit Architecture Training , ",We have been in this service from the last several years. Contact us for more details.  ,,"2D Animation Training , Archicad Training , Autocad Training , Autodesk Inventor Training , Autodesk MAYA Training , Autodesk Revit MEP Training , CAD & CAM Training , Civil CAD Training , Electrical CAD Training , Graphic Designing Training , Multimedia & Animation Training , ORCAD Training , Revit Architecture Training , Web Designing Training , "
52026,G.T Computer Hardware Engineering College,engineering-design-training-centres,0542 - 2404139,,,,,,Maldahiya,221002,varanasi,India,,,,,"Business Intelligence & Analytics Training , Certification Courses Training , Computer Networking Training , Database Training , Engineering Design Training , Enterprise Training , Hardware Training , Microsoft Training , Multimedia & Design Training , Networking & Cisco Training , Operating System Training , Oracle Training , Programming Languages Training , Project Management Certification Training , Software Tools Training , Software Testing Training , Web Technologies Training , Six Sigma Certification Training , SAP Training , Red Hat Training , Cognos Certification Training , Database Management Training , Oracle BPM Training , Project Management Training , Basic Software Testing Training , Web Designing Training , Advanced Software Testing Training , MS Office Training , Basic Networking Training , C, C++ Training , Oracle ADF Training , MS Certification Training , Data Warehousing Training , Hyperion Training , MS BI SSIS Training , Embedded Systems Training , Oracle OAF Training , Advanced Networking Training , CCNP Certification Training , Synon Training , SAP ABAP Training , SAP APO Training , Automation Testing Training , CCIE Certification Training , IBM AS/400 Training , .Net Training , RHCE Training , Linux Training , Oracle Finance Training , Linux Embedded Systems Training , MS BI SSAS Training , MS BI SSRS Training , Embedded C Training , Oracle Certification Training , RHCT Training , Java & J2EE Training , ",,,"Archicad Training , Autocad Training , Automation Testing Training , Base SAS Training , Basic Networking Training , Basic Software Testing Training , C, C++ Training , CAD & CAM Training , CCIE Certification Training , CCNA Certification Training , CCNP Certification Training , Civil CAD Training , Cognos Certification Training , Data Warehousing Training , Database Management Training , Electrical CAD Training , Embedded Applications Training , Embedded C Training , Embedded Controller Training , Embedded Database Training , Embedded Development Training , Embedded Hardware Training , Embedded Programming Training , Embedded QT Training , Embedded Systems Training , GIMS ACHNP Certification Training , Hyperion Training , IBM AS/400 Training , IEEE Computer Projects Training , Java & J2EE Training , Linux Embedded Systems Training , Linux Training , Live Projects Training , Manual Testing Training , MCSE Certification Training , MicroStrategy Training , MS BI SSAS Training , MS BI SSIS Training , MS BI SSRS Training , MS Certification Training , MS CIT Training , MS Office Training , Multimedia & Animation Training , OBIEE Certification Training , OPM Training , Oracle 9i Training , Oracle ADF Training , Oracle AIA Training , Oracle Apps DBA Training , Oracle ASCP Training , Oracle BPM Training , Oracle Business Intelligence Training , Oracle Certification Training , Oracle Data Guard Training , Oracle Finance Training , Oracle OAF Training , Oracle OCA Training , Oracle OSB Training , Oracle OTM Training , Oracle PL Training , Oracle RAC Training , Oracle SQL Training , Oracle UCM Training , ORCAD Training , PMP Certification Training , Project Management Training , QlikView Designer Training , QlikView Developer Training , RHCE Training , RHCT Training , Rich Internet Applications Training , SAP ABAP Training , SAP APO Training , SAP BI Training , SAP BO Training , SAP BODS Training , SAP BPC Training , SAP BW Training , SAP CRM Training , SAP EHS Training , SAP EP Training , SAP ERP Training , SAP EWM Training , SAP FICO Training , SAP FSCM Training , SAP Functional Modules Training , SAP GTS Training , SAP HANA Training , SAP HR Training , SAP IS Banking Training , SAP IS Oil & Gas Training , SAP IS Retail Training , SAP IS Utilities Training , SAP MDM Training , SAP MM Training , SAP Netweaver Training , SAP PM Training , SAP PP Training , SAP Real Estate Training , SAP Technical Modules Training , SAP Testing Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Sun Certification Training , Synon Training , Tableau Training , Technical Writing Training , TM1 Data Integrator Training , Value Stream Mapping Training , Web Designing Training , Websphere (Portal, MQ & MB) Training , "
