EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
196126,Cochin International Language Academy,0484 - 2983555, 9496160179, 9961596480,,,"4th Floor, INKEL Tower 1, Angamaly South",Angamaly,683573,cochin,India,cilaielts@gmail.com,http://www.cilakerala.com,Sojan Mathew,"Monday - Friday: 9 AM - 5 PM, Saturday: 9 AM - 3.30 PM","Corporate Training Providers , Competitive Exams Online Coaching , Language Online Training , IELTS Online Coaching , Spoken English Online Training , Spoken English Classes , IELTS Coaching , TOEFL Coaching , Spoken English Training (Corporate) , ","Cochin International Language Academy (CILA) is an international institution for English Language Training and Teacher Training. We create international opportunities for English Language teachers in Non-English Speaking regions such as Western Europe, Central / Eastern Europe, Asia, Latin America, Middle East / North Africa and Sub-Saharan Africa. We also provide English Language training to students who wish to study or work abroad particularly in an English speaking country. Cochin International Language Academy (Cila) is owned and managed by Js Training Solutions Private Limited, a company registered and incorporated under the Companies Act, 1956. CILA is located in Angamaly, near to the Cochin International airport. It is only 2 minutes drive to the Angamaly Railway station. The School is managed by native English speakers from the UK and Canada with multiple years of experience in teaching English. We provide variety of courses such as the Trinity Cert. TESOL for English Teachers to become a qualified English teacher to speakers of other languages, IELTS for those who wish to work or study abroad, Business English, Spoken English for Adults, Spoken English for Children and even 1 to 1 Skype sessions. Our teachers are well qualified and trained to teach English using the modern methods. Students enjoy learning English in our centre. Two of our teachers are former IELTS examiners and have worked in countries around the world such as the UK, Canada and in the Middle East. So you can be confident that your learning is 100% correct. So, CILA becomes your first choice to learn and teach the English Language. Contact us for more details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/cila%2520building-85294eb3-133e-4afd-b71a-ce8730a1f954-faca71a7-1502-4f27-9a80-72e026c1c809.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2221-c0ac6d3a-d4b3-4856-930d-43a8e9bdae3e-b498ab47-2505-405a-b5b7-6830e57e7e7c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8420-4587d7d6-8f27-4926-8342-b62aa71dd820-ed1b9c77-92ab-43eb-8773-f5fb32fcfa93.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5176-cb3c0e85-85c4-42e3-9ed7-239d7cbf7c04-dafd3b8d-ff48-4030-b1be-506bc9c61d41.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8868-47667ab2-36bd-4984-a9e2-fce328633dd2-3bba0a99-4822-45e5-be8e-340852aaad45.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6378-21aa505b-5198-4136-9ae3-4cdee9601827-d2df78ef-7da5-4818-b4d9-5bac3c8955fe.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8898-3e35eeeb-5c45-480b-b2ac-08edf1096f15-b464142c-8dcb-4a57-9513-3090c4b712f7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7521-0ab10d71-bcf4-4334-9cd0-00c534c745c4-f9320ba0-176c-4a90-ac23-5227a52862b3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/9171-5f60937c-fc27-43b9-9cc9-8ba7afd1aad9-531897fc-41cf-47fb-b664-d4fcac77a21e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5158-3723f89c-14cb-4575-b009-89358a406e58-6eecc599-c8ab-4f78-927c-8f6f81837f8b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/cila%2520building-85294eb3-133e-4afd-b71a-ce8730a1f954-faca71a7-1502-4f27-9a80-72e026c1c809.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2221-c0ac6d3a-d4b3-4856-930d-43a8e9bdae3e-b498ab47-2505-405a-b5b7-6830e57e7e7c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8420-4587d7d6-8f27-4926-8342-b62aa71dd820-ed1b9c77-92ab-43eb-8773-f5fb32fcfa93.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5176-cb3c0e85-85c4-42e3-9ed7-239d7cbf7c04-dafd3b8d-ff48-4030-b1be-506bc9c61d41.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8868-47667ab2-36bd-4984-a9e2-fce328633dd2-3bba0a99-4822-45e5-be8e-340852aaad45.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6378-21aa505b-5198-4136-9ae3-4cdee9601827-d2df78ef-7da5-4818-b4d9-5bac3c8955fe.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8898-3e35eeeb-5c45-480b-b2ac-08edf1096f15-b464142c-8dcb-4a57-9513-3090c4b712f7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7521-0ab10d71-bcf4-4334-9cd0-00c534c745c4-f9320ba0-176c-4a90-ac23-5227a52862b3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/9171-5f60937c-fc27-43b9-9cc9-8ba7afd1aad9-531897fc-41cf-47fb-b664-d4fcac77a21e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5158-3723f89c-14cb-4575-b009-89358a406e58-6eecc599-c8ab-4f78-927c-8f6f81837f8b.jpg , ",
196127,Robomate Plus,18002100009,,,,,All Offline & Online Courses Available,Mulund West,400036,cochin,India,robomateleads@mteducare.com,,Mehek Khan,Monday - Saturday: 9 AM - 8 PM,,"MT EduCare Ltd, we believe in facilitating an environment to excel in studies. We offer world class infrastructure in addition to curriculum taught by the subject matter experts of the highest caliber backed by well  researched content and customized evaluation systems. Our interactive and new age methodologies not only make learning as an enjoyable experience but also create motivated and energetic students ready to excel in their exams.. Contact us for further details.  ",,
196128,T.I.M.E. Pvt. Ltd.,9895232052,,,,,"Time Institute, Bethseda Building",Palarivattom,682016,cochin,India,cochin@time4education.com,http://www.time4education.com,Swaroop Menon,Monday - Sunday: 9 AM - 7 PM,"Common Management Aptitude Test (CMAT) Coaching , Engineering EAMCET Coaching , CAT Coaching , School Tuitions for Math, Physics, Chemistry , B.B.A. Entrance Coaching , GRE Coaching , SAT Coaching , Medical Entrance Coaching , Banking Tuitions , MBA & BBA Coaching , IELTS Coaching , TOEFL Coaching , GMAT Coaching , MCA Entrance Coaching , BCA Entrance Exam Coaching , MCA Entrance Exam Coaching , JEE Advanced Coaching , School Tuitions for Biology , ","T.I.M.E. Pvt. Ltd. gives highest value to our customers requirements and does everything possible to provide them complete satisfaction. We are a conscious, compassionate and high-principled the needs comprehensively, fast and efficiently. We provide services in Banking Tuitions, CAT Coaching, Common Management Aptitude Test (CMAT) Coaching, GMAT Coaching, GRE Coaching, IELTS & TOEFL Coaching, IES Coaching, MBA & BBA Coaching, MCA Entrance Coaching and SAT Coaching. Contact us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-11-2015%2015-09-27-e2adbf4e-efa5-4856-bfd5-6b1b16ba7f06.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-11-2015%2015-09-46-02f67a95-5a5b-4228-8ee8-dfed8d5a69c4.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-11-2015%2015-09-59-5e1db376-155f-478e-a7d9-9550fc0c126a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/24-11-2015%2015-10-06-bbaa6d94-88bf-4ac2-9bb5-62e7728785b9.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-11-2015%2015-09-27-e2adbf4e-efa5-4856-bfd5-6b1b16ba7f06.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-11-2015%2015-09-46-02f67a95-5a5b-4228-8ee8-dfed8d5a69c4.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-11-2015%2015-09-59-5e1db376-155f-478e-a7d9-9550fc0c126a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/24-11-2015%2015-10-06-bbaa6d94-88bf-4ac2-9bb5-62e7728785b9.png , ","Classroom Tuitions , Daily Classes , Engineering EAMCET Coaching , Evening Classes , GMAT Coaching , GRE Coaching , Holiday Classes , IELTS Coaching , JEE Advanced Coaching , MBA & BBA Coaching , MCA Entrance Coaching , MCA Entrance Exam Coaching , Medical Entrance Coaching , SAT Coaching , School Tuitions for Biology , School Tuitions for Math, Physics, Chemistry , Summer Classes , TOEFL Coaching , Weekend Classes , "
196129,International Student Way,0484 - 4024422, 9447464508, 8098000088,,,"Ground Floor, Kerala NGO Union Building",Pallimukku,682016,cochin,India,baby.m@isw-india.com,http://www.isw-india.com,Hamsavardhiny,Monday - Sunday: 10 AM - 8 PM,"PTE Coaching , Common Management Aptitude Test (CMAT) Coaching , Spoken English Classes , ACT Exam Coaching , GRE Coaching , SAT Coaching , IELTS Coaching , TOEFL Coaching , GMAT Coaching , MAT coaching , Language Development Coaching , Placement Training , Aptitude Training , TANCET Entrance Coaching , TNPSC Entrance Coaching , KMAT Coaching , XAT Entrance Coaching , ","We are a UK and India based global talent solutions and consulting company specialized in Training, Employability skills and Student Counseling for admission in colleges and universities in India and international countries. We are part of London based educational institute and associated with various colleges and universities in USA, Canada, UK, Europe, Singapore, Malaysia, New Zealand and Australia. All under one roof, our service includes preparing perspectives students for international education through our specialized language trainer, assist them for international education across the world, guiding on availability of scholarships / financial assistance for international education and placement assistant to succeed their career path during and post study. Contact us for your needs  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Ph6-70598dc5-2691-4886-bb63-bd950c7c45a7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Ph5-f634d151-769a-4e05-930a-467c0ca43b4e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Ph4-dd2700b0-7d3d-4392-a671-cf3dac815a11.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Ph3-15c91243-0833-4cb2-ab54-5e4237c753cf.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Ph8-6c3d7ecb-449c-4e86-bf89-fea2ce7f3c3a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Ph2-b9c89742-eeee-40f9-a0b7-acb24664a11b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Fl6-4f302b04-ce6c-4d17-9acf-7d79a7a15c1b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Fl5-6fb1839c-41dc-4d96-b2c5-172f9e036437.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Fl4-dd9a2292-4e43-4838-9568-c91a7b260702.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Fl3-fd92bc5d-f770-44a6-8477-70feea523f34.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-Fl1-381a7535-835e-4f65-8e47-2ba4fd4559b8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ISW-F2-710d678f-0a52-42da-a0c7-97877db34050.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Ph6-70598dc5-2691-4886-bb63-bd950c7c45a7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Ph5-f634d151-769a-4e05-930a-467c0ca43b4e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Ph4-dd2700b0-7d3d-4392-a671-cf3dac815a11.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Ph3-15c91243-0833-4cb2-ab54-5e4237c753cf.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Ph8-6c3d7ecb-449c-4e86-bf89-fea2ce7f3c3a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Ph2-b9c89742-eeee-40f9-a0b7-acb24664a11b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Fl6-4f302b04-ce6c-4d17-9acf-7d79a7a15c1b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Fl5-6fb1839c-41dc-4d96-b2c5-172f9e036437.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Fl4-dd9a2292-4e43-4838-9568-c91a7b260702.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Fl3-fd92bc5d-f770-44a6-8477-70feea523f34.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-Fl1-381a7535-835e-4f65-8e47-2ba4fd4559b8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ISW-F2-710d678f-0a52-42da-a0c7-97877db34050.jpg , ","ACT Exam Coaching , Aptitude Training , Classroom Tuitions , Common Management Aptitude Test (CMAT) Coaching , Daily Classes , MAT coaching , Placement Training , PTE Coaching , SAT Coaching , Spoken English Classes , Summer Classes , TANCET Entrance Coaching , TNPSC Entrance Coaching , TOEFL Coaching , XAT Entrance Coaching , "
196130,Sterling Institute,0484 - 6057575, 9995779058, 9846213659,,,"No. 44/70A,  Amina Building, Lissie Junction",S.R.M. Road,683518,cochin,India,info@sterlingielts.com,http://www.sterlingielts.com,Sasidaran,Monday - Saturday: 7.30 AM - 7.30 PM,"PTE Coaching , Spoken English Classes , IELTS Coaching , ","Our vision is to create a society where English speaking capability can be harnessed by each and every individual to increase his/her potential to succeed in their professional and personal life. We seek to liberate the person from his inability to communicate the global language, English. Our mission is to synchronize education with human excellence, to promote self-development and creativity, in a stress free atmosphere and to emphasize on providing a high quality modern and sophisticated learning environment. Contact us for more details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ab-1332ca31-ba95-48d5-816c-761d752f4121.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/bc-ad0c8cd9-813f-41fb-8039-247afb0c1a77.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/cd-e212f9c8-55c2-4dce-9d17-d1c2c51f2318.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-f3f69aca-b942-4806-b3cc-ce8902489e1b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-14b49f3c-b695-44bf-b51a-647c15f3b3d9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-634f68e4-f0c4-4eed-b519-36b5bb5dc170.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-851837d4-dc79-4104-849a-057ccf995e14.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6-8470e0c4-fe94-4bde-a4ef-5acc1de7540e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7-6521cade-ac83-478f-a2e7-d87d000f78a0.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-5-2016%204-37-39%20PM-41c7dfa2-95e9-494e-a195-c4131d2d450d.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-5-2016%204-38-04%20PM-72ff2bbf-451f-4bd5-81fc-bd3c551be409.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ab-1332ca31-ba95-48d5-816c-761d752f4121.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/bc-ad0c8cd9-813f-41fb-8039-247afb0c1a77.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/cd-e212f9c8-55c2-4dce-9d17-d1c2c51f2318.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-f3f69aca-b942-4806-b3cc-ce8902489e1b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-14b49f3c-b695-44bf-b51a-647c15f3b3d9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-634f68e4-f0c4-4eed-b519-36b5bb5dc170.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-851837d4-dc79-4104-849a-057ccf995e14.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6-8470e0c4-fe94-4bde-a4ef-5acc1de7540e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7-6521cade-ac83-478f-a2e7-d87d000f78a0.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-5-2016%204-37-39%20PM-41c7dfa2-95e9-494e-a195-c4131d2d450d.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-5-2016%204-38-04%20PM-72ff2bbf-451f-4bd5-81fc-bd3c551be409.png , ","Classroom Tuitions , Daily Classes , Evening Classes , Holiday Classes , Online Tuitions , Rs.1000-Rs.5000 , Rs.5000-Rs.10000 , "
196131,Career Launcher,0484 - 4055700, 9962981646,,,,"No. 39/4083A, Sannidhi Road",Ravipuram,682016,cochin,India,cochin@careerlauncher.com,http://www.careerlauncher.com,Thimmaiah,Monday - Sunday: 9 AM - 8 PM,"Law Entrance Coaching , LSAT Entrance Coaching , AILET Entrance Coaching , CLAT Entrance Coaching , IPS Entrance Exam Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , Common Management Aptitude Test (CMAT) Coaching , UPSC Coaching , Commerce Tuitions (11th & 12th STD) , IBPS Bank Interview Coaching , PSU Entrance Coaching , CAT Coaching , IAS Entrance Coaching , Hotel Management Entrance Coaching , ACT Exam Coaching , GRE Coaching , SAT Coaching , SSC JE Entrance Coaching , Banking Tuitions , MBA & BBA Coaching , Insurance Exam Coaching , IELTS Coaching , TOEFL Coaching , GMAT Coaching , SBI PO Training , MAT coaching , MCA Entrance Coaching , Placement Training , Aptitude Training , Online School Coaching Classes , BCA Entrance Exam Coaching , MCA Entrance Exam Coaching , B.Com Entrance Exam Coaching , IBPS Bank Exam Coaching , Online Tutoring for Schools & Colleges , Online Test Series for Exam , Online CAT Preparation Coaching , Vedic Maths Coaching , KMAT Coaching , XAT Entrance Coaching , ","Career Launcher, Asias leading education service provider with presence in over 130 locations across India, Middle East and the United States. Career Launcher provides coaching for following courses like Aptitude Training, Banking Tuition's,  CLAT Coaching, GATE Coaching, GMAT, GRE/SAT, CAT, CACPT, Law Entrance, MBA/BBA, Online Test Series, Placement Training and Online Tutoring. For more details contact us.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-f0436aa8-1785-452f-a372-b161e9f9544b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-546ab07c-5bcd-4a23-8d63-1a279b866fee.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-fbfcc41a-b86e-45fe-b5bf-a766595c3a2e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-76032634-ad0f-4e33-a9c7-600dacd5b3be.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-985f1c60-bbd9-498e-bf14-77d75ec69676.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-f0436aa8-1785-452f-a372-b161e9f9544b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-546ab07c-5bcd-4a23-8d63-1a279b866fee.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-fbfcc41a-b86e-45fe-b5bf-a766595c3a2e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-76032634-ad0f-4e33-a9c7-600dacd5b3be.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-985f1c60-bbd9-498e-bf14-77d75ec69676.jpg , ","BCA Entrance Exam Coaching , CAT Coaching , CLAT Entrance Coaching , Commerce Tuitions (11th & 12th STD) , Common Management Aptitude Test (CMAT) Coaching , GMAT Coaching , GRE Coaching , Hotel Management Entrance Coaching , IAS Entrance Coaching , IBPS Bank Exam Coaching , IBPS Bank Interview Coaching , IELTS Coaching , Insurance Exam Coaching , IPS Entrance Exam Coaching , KMAT Coaching , LSAT Entrance Coaching , MAT coaching , MBA & BBA Coaching , MCA Entrance Coaching , MCA Entrance Exam Coaching , Online CAT Preparation Coaching , Online School Coaching Classes , Online Test Series for Exam , Online Tutoring for Schools & Colleges , Placement Training , PSU Entrance Coaching , RRB Entrance Exam Coaching , SAT Coaching , SBI PO Training , SSC Entrance Exam Coaching , SSC JE Entrance Coaching , TOEFL Coaching , UPSC Coaching , Vedic Maths Coaching , XAT Entrance Coaching , "
196132,Career Launcher India Pvt. Ltd.,0484 - 2425888, 9962981646,,,,"2nd Floor, Padamugal",Kakkanad,682030,cochin,India,cochin@careerlauncher.com,http://www.careerlauncher.com,Vinod,Monday - Sunday: 9 AM - 8 PM,"Law Entrance Coaching , LSAT Entrance Coaching , AILET Entrance Coaching , CLAT Entrance Coaching , IPS Entrance Exam Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , Common Management Aptitude Test (CMAT) Coaching , UPSC Coaching , Commerce Tuitions (11th & 12th STD) , IBPS Bank Interview Coaching , PSU Entrance Coaching , CAT Coaching , IAS Entrance Coaching , Hotel Management Entrance Coaching , ACT Exam Coaching , GRE Coaching , SAT Coaching , SSC JE Entrance Coaching , Banking Tuitions , MBA & BBA Coaching , Insurance Exam Coaching , IELTS Coaching , TOEFL Coaching , GMAT Coaching , SBI PO Training , MAT coaching , MCA Entrance Coaching , Placement Training , Aptitude Training , Online School Coaching Classes , BCA Entrance Exam Coaching , MCA Entrance Exam Coaching , B.Com Entrance Exam Coaching , IBPS Bank Exam Coaching , Online Tutoring for Schools & Colleges , Online Test Series for Exam , Online CAT Preparation Coaching , Vedic Maths Coaching , KMAT Coaching , XAT Entrance Coaching , ","Career Launcher, Asias leading education service provider with presence in over 130 locations across India, Middle East and the United States. Career Launcher provides coaching for following courses like Aptitude Training, Banking Tuition's, CLAT Coaching, GATE Coaching, GMAT, GRE/SAT, CAT, CACPT, Law Entrance, MBA/BBA, Online Test Series, Placement Training and Online Tutoring. For more details contact us.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-d6d39ef0-950c-4640-ae77-1403bcc89012.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-92d03d9c-e731-401b-bde4-7a2f4914f581.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6-251d44ba-625e-475d-847a-b00900376b39.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-d6d39ef0-950c-4640-ae77-1403bcc89012.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-92d03d9c-e731-401b-bde4-7a2f4914f581.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6-251d44ba-625e-475d-847a-b00900376b39.jpg , ","BCA Entrance Exam Coaching , CAT Coaching , CLAT Entrance Coaching , Commerce Tuitions (11th & 12th STD) , Common Management Aptitude Test (CMAT) Coaching , GMAT Coaching , GRE Coaching , Hotel Management Entrance Coaching , IAS Entrance Coaching , IBPS Bank Exam Coaching , IBPS Bank Interview Coaching , IELTS Coaching , Insurance Exam Coaching , IPS Entrance Exam Coaching , KMAT Coaching , LSAT Entrance Coaching , MAT coaching , MBA & BBA Coaching , MCA Entrance Coaching , MCA Entrance Exam Coaching , Online CAT Preparation Coaching , Online School Coaching Classes , Online Test Series for Exam , Online Tutoring for Schools & Colleges , Placement Training , PSU Entrance Coaching , RRB Entrance Exam Coaching , SAT Coaching , SBI PO Training , SSC Entrance Exam Coaching , SSC JE Entrance Coaching , TOEFL Coaching , UPSC Coaching , Vedic Maths Coaching , XAT Entrance Coaching , "
196133,Winspire Academy,0484 - 4011313, 9645000092,,,,Perandoor Road,Kaloor,682017,cochin,India,info.winspireacademy@gmail.com,,Sather Ali,"Sunday: 10.00 AM - 02.00 PM, Monday - Friday: 07.00 AM - 08.30 PM, Saturday: 09.00 AM - 05.00 PM","Corporate Training Providers , Language Training , Big Data Analytics Online Training , Arabic Language Training , R Analytics Online Training , French Language Training , German Language Training , Italian Language Training , Japanese Language Training , Korean Language Training , Mandarin Chinese Language Training , Russian Language Training , Spanish Language Training , Urdu Language Training , Malayalam Language Training , PTE Coaching , Foreign Languages Coaching , Spoken English Classes , IELTS Coaching , TOEFL Coaching , Corporate Accent Training , Corporate Communication Skills Training , Corporate Competency Training , Interpersonal Skills Training , Management Skills Training , Personality Development Training , Soft Skills Training , Spoken English Training (Corporate) , Voice Modulation Training , ","Winspire Academy is here in this field from the past several years. We undertake Tuition's  for Foreign Languages Coaching, IELTS & TOEFL Coaching, Spoken English Classes, Language Development Coaching, French Classes, Arabic Classes, Soft Skill Training , Corporate Training, Accent Training, MOH DHA HAAD Prometric,  Corporate Training Providers.For more details kindly contact us.  ",,"French Language Training , German Language Training , IELTS Coaching , Interpersonal Skills Training , Italian Language Training , Japanese Language Training , Korean Language Training , Malayalam Language Training , Management Skills Training , Mandarin Chinese Language Training , Personality Development Training , PTE Coaching , R Analytics Online Training , Russian Language Training , Soft Skills Training , Spanish Language Training , Spoken English Classes , Spoken English Training (Corporate) , TOEFL Coaching , Urdu Language Training , Voice Modulation Training , "
196134,ISC  Indian School of Commerce,080436 91443,,,,,"4th Floor, Lakshmi Narayan Complex",Vasanth Nagar,560052,cochin,India,admissions@isc.edu.in,http://www.isc.edu.in,Swetha,Monday - Sunday: 9 AM - 5 PM,"ACCA Training , CIMA Certification Coaching , International Financial Reporting Standards (IFRS) Coaching , ","ISC Indian School of Commerce is an initiative of ISDC - International Skill Development Corporation (A Company Registered under the Companies Act of England and Wales, 2006) which has taken over the operations of leading Indian Education Company called Shadwells. It imparts Education of International Standard through holistic approach, producing exorbitant quality output to cater the current professional demand. ISC extends complete education solution setting it apart as the forefront Education Company first of its kind in India. The portfolio of services capitalizes in new generation programs catering the education and employment habitat. ISC' rigorous cutting edge training of the students creates a definitive winning mark depicted of its kind in the new generation course environment at various educational platforms. Its core competency is sharpening the student's output, also empowering education service providers and Institutions with effectiveness to manifest. ISC bridges the gap between the Knowledge starving and the resources with optimal delivery of Quality Education.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-644f13fc-125a-4d93-9255-b99fb921cf3a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-644f13fc-125a-4d93-9255-b99fb921cf3a.jpg , ","6 Months Program , Classroom Tuitions , Daily Classes , "
196135,Rabindranath Athri - Soft Skill Initiatives,9995449763,,,,,"Divya, Chilavanoor Road",Kadavanthra,682020,cochin,India,athri.mentor@gmail.com,,Rabindranath Athri,Monday - Sunday : 24 Hrs,"Spoken English Classes , Language Development Coaching , ","Rabindranath Athri - Soft Skill Initiatives is here into this field from past Several  years. We are providing services such as Professional Communication English, Plus 2 Empowering Topic All in 30 Plus Days, Language Development and Spoken EnglishClasses.We are well known for our services in the market and are happy to have you as our customer. Our bondage with you will always be ever-cherishing. We welcome you to experience the exemplary service of ours. Contact us for further details.  ",,
