EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
172956,Smart Prep Education Pvt. Ltd.,+91 11 40468499,,,,,"No. A39, First Floor, Guru Virjanand Marg",Vikaspuri,110018,delhi,India,digital@smartprepindia.com,http://www.smartprepindia.com,Nitin Jain,Monday - Sunday: 9 AM - 8 PM,"Law Entrance Coaching , SET Entrance Coaching , LSAT Entrance Coaching , AILET Entrance Coaching , CLAT Entrance Coaching , LLB Entrance Exam , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , CAT Coaching , B.B.A. Entrance Coaching , Hotel Management Entrance Coaching , Banking Tuitions , Mass Communication Training , MBA & BBA Coaching , SBI PO Training , MAT coaching , CET Entrance Coaching , BCA Entrance Exam Coaching , B.Com Entrance Exam Coaching , IBPS Bank Exam Coaching , NCHMCT JEE Coaching , BFIA Coaching , BJMC Coaching , XAT Entrance Coaching , ","Smart Prep Education Pvt. Ltd. : The SmartPrep Methodology ensure you all get the best preparation for competitive testing. Our methodology help you Learning MethodologyUnderstand concepts better and master each topic
Practice regularly,Regular assessment, feedback and remedial steps so you constantly improve your performance through the coursesmart diagnostic test1) Smart Diagnostic Test  The Smart Diagnostic Test  our answer to all traditional ways of student assessment  will be performed once you enroll to a course. Here, our experts will comprehensively analyse your skills, discover your strengths and weaknesses specific to the course/subject you have opted for. This helps you know where you stand and how you can sharpen your skills, in the right way.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-208c8f06-c0d8-4e6f-b21e-30ea22c7a439.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-c1dff6ca-21b8-49ba-b886-1a8973dc61ec.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-b425244c-e538-40bc-bb31-fc574367fd8b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-f5bf3832-f9c6-4617-9e20-9139e672a19a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-7525dc18-3072-4ecf-b642-2215b7dea9da.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6-9046b527-0b47-460a-a768-b7570499c0c5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-208c8f06-c0d8-4e6f-b21e-30ea22c7a439.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-c1dff6ca-21b8-49ba-b886-1a8973dc61ec.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-b425244c-e538-40bc-bb31-fc574367fd8b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-f5bf3832-f9c6-4617-9e20-9139e672a19a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-7525dc18-3072-4ecf-b642-2215b7dea9da.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6-9046b527-0b47-460a-a768-b7570499c0c5.jpg , ","BFIA Coaching , BJMC Coaching , CAT Coaching , CET Entrance Coaching , Classroom Tuitions , CLAT Entrance Coaching , Daily Classes , Hotel Management Entrance Coaching , IBPS Bank Exam Coaching , LLB Entrance Exam , LSAT Entrance Coaching , Mass Communication Training , MAT coaching , MBA & BBA Coaching , NCHMCT JEE Coaching , RRB Entrance Exam Coaching , SBI PO Training , SET Entrance Coaching , SSC Entrance Exam Coaching , Summer Classes , XAT Entrance Coaching , "
172957,Success Mantra,+91 11 41123982,,,,,"A-1/89, 2nd Floor, Raja Tower",Laxmi Nagar,110092,delhi,India,successmantraclasses@gmail.com,http://www.successmantra.com,Poonam,Monday - Sunday: 9.30 AM - 6.30 PM,"Law Entrance Coaching , SET Entrance Coaching , AILET Entrance Coaching , CLAT Entrance Coaching , LLB Entrance Exam , SSC Entrance Exam Coaching , CTET Coaching , B.B.A. Entrance Coaching , Hotel Management Entrance Coaching , DMRC Entrance Coaching , Mass Communication Training , MBA & BBA Coaching , BCA Entrance Exam Coaching , B.Com Entrance Exam Coaching , DSSB Coaching , ","Over the years Success Mantra Foundation has helped many students like you realize their goals of a successful banking career. However, you should realize that while we are the enablers, it is you who has to be the driving force behind your success, while we at Success Mantra are going to be the catalysts. We have carefully prepared the study material which is updated as per the latest examination pattern and it is suitable not only for Bank exams but also for others competitive examinations like Banking, SSC Entrance Exam, MBA/BBA, CAT, DSSB, IAS, CLAT, Law, TGT/PGT/PRT, CTET, UPTET, HTET, Bank PO, B.EL.ED., Polytechnic (CET), BBA, BBS, MAT, Delhi Police, BCA, B.Ed., DSSSB, Clerk, Railways, BJMC and NIFT. Contact us for further details.CTET,UPTET, HTET, BBA Coaching, Railways Coaching, NIFT Coaching, Railways Coaching, BJMC Coaching, BCA Coaching, MAT Coaching & DSSSB Coaching.1. U-109, Laxmi Nagar Metro Station Vikas Marg Shakarpur,
Laxmi Nagar,Delhi,1100922.K-74,2nd Floor, Sharma Classes, West Patel Nagar,Delhi-110008.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6-d37d6841-03ce-42fa-bc9e-1f28a4ab5665.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6-d37d6841-03ce-42fa-bc9e-1f28a4ab5665.JPG , ","CTET Coaching , DMRC Entrance Coaching , DSSB Coaching , Hotel Management Entrance Coaching , LLB Entrance Exam , Mass Communication Training , MBA & BBA Coaching , SET Entrance Coaching , SSC Entrance Exam Coaching , "
172958,BST Competitive Classes,+91 11 41136934,,,,,"1st Floor, No. 4",Pitampura,110034,delhi,India,rohitjee2008@gmail.com,http://www.bharatsofttech.com,Kumar,Monday - Sunday: 9.30 AM - 6.30 PM,"UGC Net Coaching , PGT, TGT & PRT Coaching , UGC Net Management Coaching , UGC Net Commerce Coaching , UGC Net Economics Coaching , UGC Net English Literature Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , Common Management Aptitude Test (CMAT) Coaching , CTET Coaching , B.B.A. Entrance Coaching , DMRC Entrance Coaching , Banking Tuitions , MBA & BBA Coaching , SBI PO Training , Aptitude Training , CET Entrance Coaching , M.Com Entrance Exam Coaching , M.A English Coaching , IBPS Bank Exam Coaching , DSSB Coaching , ","""BST Competitive Classes"" was established with the sacred objective of imparting quality education to the students of various competitive examinations such as SSC (GL/+2/ML), Delhi police, CDS, CPF(Assistant Commandant), NDA, IAS, Bank (PO/CLERK), LIC, NICL, IB, BA (LLB), BBA (LLB), BBA, B.ED, BCA Entrance Exam at a reasonable rate. The core members of BST team adopted innovative, meticulous and extremely lucid methods of teaching supplemented by self developed conceptual tricks and techniques. Slowly but steadily the name BST spread amongst the students and students from far off places flocked to study at BST. Today BST equipped with all modern amenities to provide the students a conducive and comfortable environment for distraction free discussion. Contact us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1775-27034ae6-4ef1-456b-be08-e4a2b5038989-db628743-cc38-48ba-b03e-72826d14c594.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1332-1674c06b-4b8f-49f7-b1e6-14ade46b1c6a-f5c71dff-5de0-4c47-94f5-d21fe878237a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7960-94770a8c-092a-4952-b14e-efa81f74cbd3-ea1f13b7-3366-496c-a471-7c7852693f11.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1600-20a642b6-7353-48b7-96f4-e66cae0d744d-ba275dc5-9140-463e-84cf-f3c50ab6558a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7186-5d101016-1b30-4cb8-b0c3-3f0231d3fda4-6b3dac7f-8ba4-4c13-b139-78dc1ae3959c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8259-a0fa4ed4-266d-40c4-9f51-17cb9f093f02-edb89a7b-5db1-49bb-a49d-a4b8d6c52bda.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1775-27034ae6-4ef1-456b-be08-e4a2b5038989-db628743-cc38-48ba-b03e-72826d14c594.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1332-1674c06b-4b8f-49f7-b1e6-14ade46b1c6a-f5c71dff-5de0-4c47-94f5-d21fe878237a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7960-94770a8c-092a-4952-b14e-efa81f74cbd3-ea1f13b7-3366-496c-a471-7c7852693f11.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1600-20a642b6-7353-48b7-96f4-e66cae0d744d-ba275dc5-9140-463e-84cf-f3c50ab6558a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7186-5d101016-1b30-4cb8-b0c3-3f0231d3fda4-6b3dac7f-8ba4-4c13-b139-78dc1ae3959c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8259-a0fa4ed4-266d-40c4-9f51-17cb9f093f02-edb89a7b-5db1-49bb-a49d-a4b8d6c52bda.jpg , ","1 Month Program , 1 Week Program , 1 Year Program , 2 Weeks Programs , 3 Months Program , 6 Months Program , Classroom Tuitions , CTET Coaching , Daily Classes , DMRC Entrance Coaching , DSSB Coaching , Evening Classes , IBPS Bank Exam Coaching , M.A English Coaching , M.Com Entrance Exam Coaching , MBA & BBA Coaching , RRB Entrance Exam Coaching , SBI PO Training , Short Term , SSC Entrance Exam Coaching , UGC Net Commerce Coaching , UGC Net Economics Coaching , UGC Net English Literature Coaching , UGC Net Management Coaching , "
172959,University Foundations,9717861242, 9599280790,,,,"No.501, 5th Floor",Patel Nagar,110008,delhi,India,prachi.anand@universityfoundations.com,http://www.universityfoundations.com,Prachi Anand,Sunday - Saturday: 9 AM - 6 PM,"Coaching & Tuitions , Immigration Consultants , Overseas Engineering Education Consultants , Canada Immigration Consultants , USA Education Consultants , UK Education Consultants , Australia Education Consultants , Canada Education Consultants , New Zealand Education Consultants , Australia South Pacific Immigration Consultants , Cyprus Education Consultants , Overseas MBA Education Consultants , Overseas Medical Education Consultants , Overseas Journalism Education Consultants , Singapore Education Consultants , IELTS Coaching , TOEFL Coaching , Ireland Education Consultants , ","University Foundations provides information regarding higher education in various countries such as Canada, Australia, USA, Ireland, New Zealand, Cyprus and Singapore.Using our expertise and vast experience we can identify the most suitable university for each student. We are the stepping-stones to their future and we  remember that our success is directly linked to their success.Most of our counsellor  have worked or  studied abroad. Further our counsellor have travelled abroad & have been trained by international experts to guide students professionally in selecting the right course at the ideal university.A million results are useless unless you find the One that makes your search worthwhile. For us it is not about how many but who and why. Whether youre looking for people or company, we can find you the One.. Contact us for further details.  ",,"1 Month Program , 1 Week Program , 1 Year Program , 2 Weeks Programs , 3 Months Program , 6 Months Program , Classroom Tuitions , Cyprus Education Consultants , Daily Classes , Evening Classes , Holiday Classes , Ireland Education Consultants , New Zealand Education Consultants , Overseas Engineering Education Consultants , Overseas Journalism Education Consultants , Overseas MBA Education Consultants , Overseas Medical Education Consultants , Short Term , Singapore Education Consultants , Summer Classes , TOEFL Coaching , UK Education Consultants , USA Education Consultants , Weekend Classes , "
172960,Jamboree Education Pvt. Ltd.,011 - 64642519, 8512875575,,,,"No. L92/3, Cell House, 3rd Floor,",Adchini,110017,delhi,India,response@jamboreeindia.com,http://www.jamboreeindia.com,Alka Kumari,Monday - Sunday: 10 AM - 8 PM,"GRE Coaching , SAT Coaching , GMAT Coaching , ","Jamboree is the oldest institute in India and the best of its kind, which offers comprehensive classroom preparation programs for tests such as GMAT, GRE, SAT, TOEFLTM and IELTS. Jamboree centres are present in 14 cities of India and in Dubai, Abu Dhabi and Kathmandu . Each centre follows a uniform curriculum and has outstanding faculty, all of whom are trained in our head office. Each centre offers the same teaching standards and syllabus.At Jamboree, the most trusted name in India for education abroad, we help you give shape to your career and dreams. Founded in 1993, Jamboree attempted to fill the information gap on education abroad. Back then, the only information available on education abroad was through friends and family living or studying abroad. Thus, only a small percentage of interested students had access to information. Jamboree attempted to fill this information gap. Now when we in 'Team Jamboree' reflect on the past few years, we see thousands of our students on the thresholds of careers that would not have been possible without the right guidance at the right time.Jamboree, known for its thorough research and professionalism, is a one-stop shop for education abroad.Jamboree makes the entire process of studying abroad, from preparing to actually joining a foreign university, a smooth process. In recent years, the inclusion of several value-added services such as discounted couriers, educational loans and pre-departure orientation has made Jamboree Education Pvt. Ltd. a one-stop solution centre for all your study abroad requirements.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-25-2015%202-31-35%20PM-e4ffae51-f322-4eb1-b941-078e85bfb7d6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-25-2015%202-31-51%20PM-69584e34-3576-4dbc-b330-316180cd54b6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/15-07-2015-15-34-08_Jamboree%20SAT%20Seminar%20Nepal2-dcb05cec-0a6d-4b93-8ff1-56cae8975dc8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/15-07-2015-15-34-08_Jamboree%20SAT%20Seminar%20Nepal3-b53fe987-da35-4fad-bec2-b9b1041322e6.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/15-07-2015-15-34-08_Jamboree%20SAT%20Seminar%20Nepal4-2e467050-7848-4d11-ac15-25190fa27e8c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/29-06-2015-14-48-37_SAT%20Mumbai%20Seminar1-782af334-2a4d-45b7-9467-326bd4e48278.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/29-06-2015-14-48-37_SAT%20Mumbai%20Seminar2-37390dd6-7132-4275-bd8b-9a87ee44ed3a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/29-06-2015-14-48-37_SAT%20Mumbai%20Seminar3-1a69bc66-0c0b-4b15-9b51-fad2a246698e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/29-06-2015-14-48-37_SAT%20Mumbai%20Seminar4-bdffae7d-31b7-43cb-8ffc-6c950369c958.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/jamboree-logo-49775d49-0b3d-449c-a6f6-9e4795023858.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-25-2015%202-31-35%20PM-e4ffae51-f322-4eb1-b941-078e85bfb7d6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-25-2015%202-31-51%20PM-69584e34-3576-4dbc-b330-316180cd54b6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/15-07-2015-15-34-08_Jamboree%20SAT%20Seminar%20Nepal2-dcb05cec-0a6d-4b93-8ff1-56cae8975dc8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/15-07-2015-15-34-08_Jamboree%20SAT%20Seminar%20Nepal3-b53fe987-da35-4fad-bec2-b9b1041322e6.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/15-07-2015-15-34-08_Jamboree%20SAT%20Seminar%20Nepal4-2e467050-7848-4d11-ac15-25190fa27e8c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/29-06-2015-14-48-37_SAT%20Mumbai%20Seminar1-782af334-2a4d-45b7-9467-326bd4e48278.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/29-06-2015-14-48-37_SAT%20Mumbai%20Seminar2-37390dd6-7132-4275-bd8b-9a87ee44ed3a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/29-06-2015-14-48-37_SAT%20Mumbai%20Seminar3-1a69bc66-0c0b-4b15-9b51-fad2a246698e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/29-06-2015-14-48-37_SAT%20Mumbai%20Seminar4-bdffae7d-31b7-43cb-8ffc-6c950369c958.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/jamboree-logo-49775d49-0b3d-449c-a6f6-9e4795023858.jpg , ",
172961,JD Institute of Fashion Technology,+91 11 39647135,,,,,J1/164,Rajouri Garden,110027,delhi,India,jdrajourigarden@gmail.com,,Pramod,Monday - Saturday: 9.30 AM - 5.30 PM,"Job Training , Fashion Designing Training , Interior Design Training , Jewellery Designing Job Training , Diploma in Interior Designing Training , Diploma in Jewellery Designing Training , Diploma in Textile Designing Training , Diploma in Fashion Designing Coaching , ","Founded in 1988, The Indian Fashion Industry is still in its infancy, as compared to its counterparts worldwide. This fashion industry already recognizes JD Institute as an expert at educating and promoting resourceful individuals who have gone forward to leave their distinct mark on the Global Fashion scene. With over 20,000 successful graduates- numerous Design Professionals employed by recognized brands worldwide, a promising number of successful fashion entrepreneurs, and the cradle from where established names like Rocky S, Shane & Falguni, Reza, Gaurav Chabra, Urvashi Kaur, Maheka Mirpuri, Nitin- Isha, Niket Mishra originated, JD Institute's reputation is set in solid stone. Always in the spotlight, JD collaborated with Wills Lifestyle India Fashion Week, 2011 as their Institutional partner to receive rave reviews.Courses:Fashion Designing Courses--  1Year /  2Year /  3Year
Interior Designing Courses ....   1Year /  2Year /  3Year
Jewelry Designing Courses...6 month Course  ",,"1 Year , 6 Months , Daily Classes , Diploma Programs , Full time , Interior Design Training , Jewellery Designing Job Training , Part time , "
172962,Teachwell Professional Studies Institute Pvt. Ltd.,+91 11 33236811,,,,,"BRANCHES AT ROHINI,PITAMPURA,GTB NAGAR,TILAK NAGAR,PATEL NAGAR",Rohini,110085,delhi,India,sulekha@teachwell.co.in,http://www.teachwell.co.in,Neha,Monday - Saturday: 10 AM - 7 PM,"UGC Net Coaching , Law Entrance Coaching , UGC Net Management Coaching , SET Entrance Coaching , KLSAT Entrance Coaching , ULSAT Entrance Coaching , UGC Net Commerce Coaching , LSAT Entrance Coaching , AILET Entrance Coaching , UGC Net Economics Coaching , UGC Net History Coaching , CLAT Entrance Coaching , LLB Entrance Exam , UGC Net English Literature Coaching , SSC Entrance Exam Coaching , PTE Coaching , UGC Net Sociology Coaching , UGC Net Hindi Coaching , UGC Net Political Science Coaching , UGC Net Social Work Coaching , Common Management Aptitude Test (CMAT) Coaching , UGC Net Computer Science Coaching , CTET Coaching , IAS Entrance Coaching , B.B.A. Entrance Coaching , Hotel Management Entrance Coaching , GRE Coaching , SAT Coaching , NIFT/NID/CEED/FDDI Training , Banking Tuitions , Mass Communication Training , IELTS Coaching , TOEFL Coaching , GMAT Coaching , SBI PO Training , MAT coaching , MCA Entrance Coaching , Fashion Design Entrance Coaching , Aptitude Training , MCA Entrance Exam Coaching , B.A English Coaching , M.A English Coaching , IBPS Bank Exam Coaching , BFIA Coaching , BJMC Coaching , SSB & NDA Coaching , DSSB Coaching , ","Teachwell has proved to be a facilitator par excellence for the student fraternity and their guardians. Filled with customized and excellent material for aspiring candidates, for various purposes such as classroom coaching and admission, Teachwell has turned thousands of dreams into reality. Blessed with expert academicians and educators, Teachwell has proved to be one of the most reliable sources of information and knowledge up gradation for students. Built upon solid foundations of integrity and commitment to education, Teachwell has received a phenomenal response in the past few years.Teachwell provides a 'total solution' to its students right from selection of right course and destination to career.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-a9e9588c-ce04-4477-87f9-2023f0a3516b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-a9e9588c-ce04-4477-87f9-2023f0a3516b.jpg , ","AILET Entrance Coaching , Aptitude Training , B.A English Coaching , B.B.A. Entrance Coaching , Banking Tuitions , BFIA Coaching , BJMC Coaching , Classroom Tuitions , CLAT Entrance Coaching , Common Management Aptitude Test (CMAT) Coaching , CTET Coaching , Daily Classes , DSSB Coaching , Evening Classes , IBPS Bank Exam Coaching , IELTS Coaching , KLSAT Entrance Coaching , LLB Entrance Exam , LSAT Entrance Coaching , M.A English Coaching , Mass Communication Training , MAT coaching , MCA Entrance Coaching , MCA Entrance Exam Coaching , NIFT/NID/CEED/FDDI Training , PTE Coaching , SAT Coaching , SBI PO Training , SET Entrance Coaching , SSB & NDA Coaching , SSC Entrance Exam Coaching , TOEFL Coaching , UGC Net Commerce Coaching , UGC Net Computer Science Coaching , UGC Net Economics Coaching , UGC Net English Literature Coaching , UGC Net Hindi Coaching , UGC Net History Coaching , UGC Net Management Coaching , UGC Net Political Science Coaching , UGC Net Social Work Coaching , UGC Net Sociology Coaching , ULSAT Entrance Coaching , "
172963,Tathastu Education Pvt. Ltd.,+91 11 40496767,,,,,,G.T.B. Nagar,110009,delhi,India,info@tathastugmat.com,http://www.tathastugmat.com,Devender Kumar,Monday - Sunday: 8 AM - 8 PM,"GMAT Coaching , ","Tathastu Education Pvt. Ltd. has massive experience in this business. Our motto has always been timely service, best quality and optimum cost. We are in touch with our customers through quality, performance, service and assistance. Bringing the best of value to our customers, we also care as much about our customers. We value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. We provide GMAT Coaching. Contact us for further details  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/13-01-2016%2012-45-47-057de68e-8e3d-46d7-b735-8d6d12ab4c74.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/13-01-2016%2012-46-01-0db6cc7c-e023-4857-a3d0-44d499257e62.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/13-01-2016%2012-45-47-057de68e-8e3d-46d7-b735-8d6d12ab4c74.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/13-01-2016%2012-46-01-0db6cc7c-e023-4857-a3d0-44d499257e62.png , ","1 Month Program , 1 Week Program , 1 Year Program , 2 Weeks Programs , 3 Months Program , 6 Months Program , Classroom Tuitions , Daily Classes , Evening Classes , Summer Classes , Weekend Classes , "
172964,Developing Success,+91 11 41136841,,,,,"A13, Ground Floor, Plot No. 6, RBC",Nangal Raya,110046,delhi,India,developingsuccessinstitute@gmail.com,http://www.developingsuccess.in,Nitin Jain,Monday - Saturday: 10 AM - 6 PM,"IPS Entrance Exam Coaching , MPPSC Entrance Exam Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , MPSC Coaching , UPSC Coaching , IAS Entrance Coaching , DMRC Entrance Coaching , Banking Tuitions , PCS Entrance Coaching , SBI PO Training , IBPS Bank Exam Coaching , SSB & NDA Coaching , TNPSC Entrance Coaching , ","A vision of empowering youth to realize their dreams, grooming them to unleash their latent talent and achieve worthy goals led to the foundation of Developing Success. An Academy imparting value based personal education in an interactive environment was established by Mr. Nitin Jain. Ten years down the lane, we have been able to impart quality education to our aspiring students who have gone ahead to carve a niche in the society. We give wings to their dreams and let them soar high to the zenith of success. Call us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-54-35-97758d1a-2e88-4bf2-b7fa-ec56e0462288.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-55-00-40dc57ea-b565-432d-9aa2-13812ebc5c5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-55-34-8e174e45-a612-493b-a551-670806666fdc.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-56-10-c35b64a9-5795-4be5-b695-b5ca160ea800.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-56-26-6d8fbe51-440d-42a6-9198-e16af16d760a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-56-54-f90b1c52-576c-4a45-bfbe-a616b3efec91.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-57-08-059cc3b0-b02a-4867-8f34-f5832537142e.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-57-34-bc74c9f4-ac11-49d5-bbd5-a3113c44b8c3.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-01-2016%2015-58-13-df3cc4e4-8bab-444d-8f49-616ee4213877.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-54-35-97758d1a-2e88-4bf2-b7fa-ec56e0462288.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-55-00-40dc57ea-b565-432d-9aa2-13812ebc5c5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-55-34-8e174e45-a612-493b-a551-670806666fdc.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-56-10-c35b64a9-5795-4be5-b695-b5ca160ea800.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-56-26-6d8fbe51-440d-42a6-9198-e16af16d760a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-56-54-f90b1c52-576c-4a45-bfbe-a616b3efec91.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-57-08-059cc3b0-b02a-4867-8f34-f5832537142e.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-57-34-bc74c9f4-ac11-49d5-bbd5-a3113c44b8c3.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-01-2016%2015-58-13-df3cc4e4-8bab-444d-8f49-616ee4213877.png , ","1 Year Program , Banking Tuitions , Classroom Tuitions , Daily Classes , MPSC Coaching , PCS Entrance Coaching , RRB Entrance Exam Coaching , SBI PO Training , SSB & NDA Coaching , SSC Entrance Exam Coaching , TNPSC Entrance Coaching , UPSC Coaching , "
172965,Academy of Fashion & Art,+91 11 41134943,,,,,"FD4, 3rd Floor",Pitampura,110034,delhi,India,afaindia@gmail.com,http://www.afaindia.com,Pankaj,Monday - Sunday: 9 AM - 7 PM,"B.Arch Coaching Classes , NIFT/NID/CEED/FDDI Training , NATA Coaching , Fashion Design Entrance Coaching , Architecture Entrance Coaching , ","Academy of Fashion And Art was incorporated in 2007, with a main objective of imparting world class training programme to meet the demands of students who are aspiring for NIFT NID,MIT,Pearl,GD Goenka Symbiosis, Sristhi, College of Art and other Art and Design Entrance Exams across India and abroad. In pursuit of which, Academy of Fashion and Art has to its credit a team of outstanding and dedicated faculty members, State-of-the-art infrastructure and winning methodology that provides comprehensive and systematic guidance to students who aspire for nothing but the best. Today, AFA has become synonymous with quality coaching for Design Entrance Exams across India. AFA has been consistently producing Top Rankers in NIFT/NID/PEARL/DCA and other design entrance exams in India every year.Our expertise in the trainning, more than 1,000 selections in various Design Entrance Exams., a network of over 6 centres across India, collective annual student base of more than 800 students every year and above all, trust of parents, has made us a household name for focused and quality coaching for NIFT/NID.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/10-6a83a9d4-c57e-4386-93c0-ed3fd21c52c7.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-6f1b8c6d-b53c-49b2-852b-5913b9ee177b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-7d56d01b-b346-4a60-ae44-11a762d02595.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/9-f8aa43f2-289d-4a25-b11f-43a65aa10652.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/10-6a83a9d4-c57e-4386-93c0-ed3fd21c52c7.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-6f1b8c6d-b53c-49b2-852b-5913b9ee177b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-7d56d01b-b346-4a60-ae44-11a762d02595.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/9-f8aa43f2-289d-4a25-b11f-43a65aa10652.png , ","1 Month Program , 1 Week Program , 1 Year Program , 2 Weeks Programs , 3 Months Program , 6 Months Program , Classroom Tuitions , Daily Classes , Evening Classes , Holiday Classes , Online Tuitions , Short Term , Summer Classes , Weekend Classes , "
