EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
165440,Kautilya Academy,+91 731 3368914,,,,,"No. 4, Professors Colony",Manorama Ganj,452001,indore,India,kautilyaacademy@gmail.com,http://www.kautilyaacademy.com,Shridhant Joshi,"Monday - Saturday: 8 AM - 7 PM, Sunday: 8 AM - 1 PM","IPS Entrance Exam Coaching , MPPSC Entrance Exam Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , UPSC Coaching , IBPS Bank Interview Coaching , IAS Entrance Coaching , SSC JE Entrance Coaching , Banking Tuitions , PCS Entrance Coaching , SBI PO Training , SSB & NDA Coaching , ","Kautilya Academy is setting new milestones of success in competitive exams by imparting guidance through scientific training and quality preparation; it has become synonym to success.
The Academy trains candidates not only for administrative service of union and state public service commission, challenging exams like SI, CI but also for lower subordinate level exams like Bank P.O. SSC, Railway, NDA/CDS and NET/SLET.
Kautilya Academy believes in ""YOUR Hard Work, OUR guidance and Success for ALL"" and imparts training in a scientific way for sure success of the aspirant. Not only Social Science, Public Administration, Sociology, History, Geography but difficult subjects like Economics, Hindi Literature, Criminology, Law, Botany and Zoology are also taught here which are taught nowhere under the same roof in the state. Correspondence is available for students living in remote areas or distant places. The Library at the Institute is laced with all facilities. Computerized Study Material helps in crossing obstacles and gaining relevant knowledge. This is the reason that academy has set new milestones in the terms of selection. The Academy has given over 350 administrative officers, deputy collectors and DSPs, thereby, resulting in an overall selection of more than 3500 candidates
We provide large number of facilities under the same roof for the aspirants so that they can bring laurels to their country, society and family. You can also be benefitted by Specialists of the Academy by obtaining free of cost guidance and career counseling.
  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-c1c2dd48-ef57-410b-bcaf-6a9116854c9c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-bc4abce9-d8f6-49af-a2bd-3ae3c2cacea9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-cae49ff3-baaf-4239-a032-a0d740a11009.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-ce1c92cc-5f18-4efc-94e1-863197c63e74.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-c1c2dd48-ef57-410b-bcaf-6a9116854c9c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-bc4abce9-d8f6-49af-a2bd-3ae3c2cacea9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-cae49ff3-baaf-4239-a032-a0d740a11009.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-ce1c92cc-5f18-4efc-94e1-863197c63e74.jpg , ","PCS Entrance Coaching , RRB Entrance Exam Coaching , SBI PO Training , SSB & NDA Coaching , SSC Entrance Exam Coaching , SSC JE Entrance Coaching , UPSC Coaching , "
165441,Optimus,+91 731 3368915,,,,,No. 401,Y.N. Road,452003,indore,India,anuj_bansal1989@yahoo.com,,Anuj,Monday - Sunday : 24 Hrs,"Common Management Aptitude Test (CMAT) Coaching , IBPS Bank Interview Coaching , CAT Coaching , School Tuitions for All Subjects , Spoken English Classes , Banking Tuitions , CBSE Tuitions for English , CBSE Tuitions for Maths , IB Maths Tuitions , MAT coaching , Language Development Coaching , Placement Training , Aptitude Training , ICSE Maths Tuitions , 10th STD Tuitions , 9th STD Tuitions , Online CAT Preparation Coaching , XAT Entrance Coaching , ","Optimus  holds several years of knowledge in the industry and possess prominent professionals who can provide you with the best coaching. We are providing Coaching & Tuition for Online CATPreparation Coaching  and CAT Coaching in Indore city. We are known for our quality services, competitive prices and customer satisfaction. Contact us for further details. We welcome you to experience the exemplary service of ours.....  ",,"CBSE Tuitions for English , CBSE Tuitions for Maths , Common Management Aptitude Test (CMAT) Coaching , IB Maths Tuitions , IBPS Bank Interview Coaching , ICSE Maths Tuitions , Language Development Coaching , MAT coaching , Online CAT Preparation Coaching , Placement Training , School Tuitions for All Subjects , Spoken English Classes , XAT Entrance Coaching , "
165442,A Team Commerce Academy,+91 731 3368470,,,,,"No. BG-271, Scheme No. 54, Opposite Simi‘s Bakery",Vijay Nagar,452010,indore,India,sabharwalgorav@gmail.com,,Gaurav,Monday - Saturday: 10.30 AM - 7 PM,"CACPT Coaching , Commerce Tuitions (11th & 12th STD) , CS Coaching , School Tuitions for Accounts, Finance, Statistics , Chartered Accountant Coaching , Economics Coaching Classes (11th & 12th STD) , Advanced Economics Coaching Classes (College level and above) , IGCSE Economics 11th & 12th , IGCSE Accounts 11th & 12th , 10th STD Tuitions , 9th STD Tuitions , ","A Team Commerce Academy is a known for its quality services and timelines since 2013. We address your needs with utmost care and ensure your satisfaction. Coaching for 10th STD Tuitions, 9th STD Tuitions, Advanced Economics Coaching Classes (College level and above), CACPT Coaching, Chartered Accountant Coaching, Commerce Tuitions (11th & 12th STD), CS Coaching, Economics Coaching Classes (11th & 12th STD), IGCSE Accounts 11th & 12th, IGCSE Economics 11th & 12th, School Tuitions for Accounts, Finance, Statistics, Etc. Contact us.  ",,"Classroom Tuitions , Commerce Tuitions (11th & 12th STD) , CS Coaching , Daily Classes , Economics Coaching Classes (11th & 12th STD) , Evening Classes , IGCSE Accounts 11th & 12th , IGCSE Economics 11th & 12th , School Tuitions for Accounts, Finance, Statistics , "
165443,Pace IIT  & Medical,+91 731 3368961,,,,,"No. 3-A, Residency Area, Geeta Bhawan Square",Manorama Ganj,452001,indore,India,indore@iitianspace.com,http://www.iitianspace.com,Pawan Kumar Singh,Monday - Saturday: 9 AM - 10 PM,"Big Data Analytics Online Training , Engineering Tuitions , Law Entrance Coaching , R Analytics Online Training , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , LSAT Entrance Coaching , Automotive Engineering Tuitions , Civil Engineering Tuitions , Architectural Engineering Tuitions , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , Environmental Engineering Tuitions , Materials Science Engineering Tuitions , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , Medical EAMCET Coaching , Engineering EAMCET Coaching , IIT Engineering Entrance Coaching , Medical Entrance Coaching , 2nd Year PUC Coaching , IIT JAM Coaching , GMAT Coaching , MAT coaching , 1st Year PUC Coaching , AIEEE Coaching , AIPMT Coaching , JEE Advanced Coaching , IIT-JEE Coaching , AMIE Coaching , AMAESI Coaching , Pre-Medical Test (PMT) Entrance Coaching , All India Common Entrance Examination (AICEE) Coaching , ","Pace IIT & Medical for Learning has immense experience in this business. We provide coaching for all boards. Our motto is to provide the best teaching to the students. We have a huge list of impressive success of students. We promise a better future for your children in higher education and knowledge. We make your life better and brighter. Education is a primary ingredient and also a key to success in any profession. With a booming economy and a young population, there is a tremendous need for the quality education to equip this population with skills to handle assignments that spring from such a growing economy like ours. Contact us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-33bc3c05-51e4-4794-85ef-754b90c037c1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/9-ec3ac565-2640-4d46-8798-f5f130bbcfc0.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-33bc3c05-51e4-4794-85ef-754b90c037c1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/9-ec3ac565-2640-4d46-8798-f5f130bbcfc0.jpg , ","AIPMT Coaching , All India Common Entrance Examination (AICEE) Coaching , AMAESI Coaching , AMIE Coaching , Architectural Engineering Tuitions , Automotive Engineering Tuitions , Biomechanical Engineering Tuitions , Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Chemical Engineering Tuitions , Civil Engineering Tuitions , Daily Classes , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering EAMCET Coaching , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , Evening Classes , Genetic Engineering Tuitions , GMAT Coaching , Holiday Classes , IIT Engineering Entrance Coaching , IIT JAM Coaching , IIT-JEE Coaching , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , JEE Advanced Coaching , LSAT Entrance Coaching , MAT coaching , Materials Science Engineering Tuitions , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Medical EAMCET Coaching , Medical Entrance Coaching , Microelectronic Engineering Tuitions , Online Tuitions , Pre-Medical Test (PMT) Entrance Coaching , R Analytics Online Training , Robotics Engineering Tuitions , Software Engineering Tuitions , Summer Classes , Telecommunication Engineering Tuitions , Weekend Classes , "
165444,Maheshwari Institute of Careers & Research,+91 731 3368916,,,,,3rd Floor,Palasia,452001,indore,India,info@maheshwariinstitute.com,http://www.maheshwariinstitute.com,Sumith Maheshwari,Monday - Saturday: 10.30 AM - 7.30 PM,"Corporate Training Providers , Equity Research Coaching , FRM Coaching , Technical Analysis Coaching , Certified Financial Planner (CFP) Coaching , Placement Training , Share Marketing Training , Certified Public Accountant (CPA) Coaching , US CPA Coaching , Financial Modeling Course Training , Chartered Financial Analyst (CFA) Coaching , Stock Market Training , International Financial Reporting Standards (IFRS) Coaching , ","Maheshwari Institute of Careers &amp; Research has been set up to impart practical-based-training to candidates, with the sole aim of increasing their employability and providing them an extra edge in currently fierce job scenario. We believe that through continued and dedicated training we can create highly motivated and committed individuals who have the desire to excel. We aim to train students to make them highly competitive and achievers in all spheres of life. We provide coaching such as Chartered Financial Analyst (CFA) Coaching, Equity Research Coaching and Equity Research &amp; Financial Modeling. Contact us for more details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/sulkha_placement_screen-d86ab161-cad3-4bca-ac5b-9693226c7012.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/sulkha_cover_screen-44cbb557-fe03-4579-99da-a9fe5305a174.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/sulkha_results_screen-186bfdbf-9d76-4c1f-b9c9-3f5279afe6be.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/sulkha_placement_screen-d86ab161-cad3-4bca-ac5b-9693226c7012.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/sulkha_cover_screen-44cbb557-fe03-4579-99da-a9fe5305a174.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/sulkha_results_screen-186bfdbf-9d76-4c1f-b9c9-3f5279afe6be.png , ","Certified Financial Planner (CFP) Coaching , Certified Public Accountant (CPA) Coaching , Chartered Financial Analyst (CFA) Coaching , Classroom Tuitions , Share Marketing Training , Stock Market Training , Technical Analysis Coaching , US CPA Coaching , "
165445,INCISIVE,+91 731 3368963,,,,,"102, Alankar Point, Geeta Bhavan Square",South Tukoganj,452001,indore,India,info@incisivehrt.com,http://www.incisivehrt.com,Mohit Khurana,,"Job Training , Corporate Training Providers , Big Data Analytics Online Training , R Analytics Online Training , NLP Training , Spoken English Classes , Music & Dance & Arts Classes , IELTS Coaching , TOEFL Coaching , Call Center & BPO Training , Corporate Communication Skills Training , Corporate Competency Training , Interpersonal Skills Training , Management Skills Training , Corporate Outbound Training , Corporate Outsource Training , Personality Development Training , Selling Skills Training , Soft Skills Training , Spoken English Training (Corporate) , Stress Management Training , Team Building Training , Time Management Training , Train the Trainer , Voice Modulation Training , Language Development Coaching , Placement Training , Aptitude Training , Corporate Visual Communication Training , ","Why follow if you have the potential to Lead? Discover the leader within you at Incisive. Do you wish to stand apart from the Crowd? Do you wish to lead wherever you go? If yes! Incisive is the destination where you ought to be. At incisive you are sure to discover your better self- Confident, vibrant and magnetic. Come and fulfill your aspirations with Incisive! Ours is a prestigious and highly esteemed academic training institute. We have been conducting training programs for Colleges, Technical Institutions, Schools, Corporate Sector & individuals for more than 5 years. We specialize in Spoken English in Indore, Personality Development Coaching in Indore, Voice & Accent Training in Indore, GD/PI classes in Indore, IELTS Coaching In Indore, IELTS exam In Indore, IELTS Preparation In Indore, Online IELTS classes In Indore, Study Abroad Consultants In Indore, Study In UK in Indore, Study In Canada In Indore, Study in Australia In Indore. Branch address -5 B, Samachar Bhawan Press complex behind dainik bhaskar ab road  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-87556892-9412-4806-8d5a-7a7c9ef90a85.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-297312cc-efdd-4756-965c-3c04e5d0e21f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1212592-Logo-7c2a1b5d-6112-470b-9bb3-1aca6b6b3513.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-87556892-9412-4806-8d5a-7a7c9ef90a85.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-297312cc-efdd-4756-965c-3c04e5d0e21f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1212592-Logo-7c2a1b5d-6112-470b-9bb3-1aca6b6b3513.jpg , ","Corporate Outsource Training , Corporate Visual Communication Training , IELTS Coaching , Interpersonal Skills Training , Language Development Coaching , Management Skills Training , Music & Dance & Arts Classes , NLP Training , Personality Development Training , Placement Training , R Analytics Online Training , Selling Skills Training , Soft Skills Training , Spoken English Classes , Spoken English Training (Corporate) , Stress Management Training , Team Building Training , Time Management Training , TOEFL Coaching , Train the Trainer , Voice Modulation Training , "
165446,Robomate Plus,18002100009,,,,,All Offline & Online Courses Available,Mulund West,400036,indore,India,robomateleads@mteducare.com,,Mehek Khan,Monday - Saturday: 9 AM - 8 PM,,"MT EduCare Ltd, we believe in facilitating an environment to excel in studies. We offer world class infrastructure in addition to curriculum taught by the subject matter experts of the highest caliber backed by well  researched content and customized evaluation systems. Our interactive and new age methodologies not only make learning as an enjoyable experience but also create motivated and energetic students ready to excel in their exams.. Contact us for further details.  ",,
165447,Crystal College - Genext Computer,+91 731 3368922,,,,,"No. 6, 1st Floor",Sudama Nagar,452009,indore,India,deburathore@gmail.com,,Devendra Singh Rathore,Monday - Sunday: 8 AM - 10 PM,"Coaching & Tuitions , Computer Networking Training , Mobile Development Training , Programming Languages Training , Software Tools Training , Android Application Development Training , C, C++ Training , Basic Networking Training , MS Office Training , M.B.A. Distance Education , Advanced Networking Training , Java & J2EE Training , M.C.A. Distance Education , Certified Public Accountant (CPA) Distance Education , Spoken English Classes , Online Homeopathy Distance Education , Chartered Financial Analyst (CFA) Distance Education , Executive BBA Distance Education , M.Tech. Distance Education , IT Program Distance Education , B.Tech. Distance Education , DBM ADBM Distance Education , Executive MBA Distance Education , M.Sc. Visual Communications Distance Education , Certified Financial Management Distance Education , P.H.D. Distance Education , PGDHHM Distance Education , PGDMLS Distance Education , PGDCR Distance Education , PGDHIM Distance Education , B.Ed. Distance Education , LLB Distance Education , B.C.A. Distance Education , MSC IT , Online MBA , B.Sc. IT Distance Education , Open School for 10th class , ",Crystal College - Genext Computer is an ISO 9001:2008 Institute which is providing its services in computer and spoken English from 10 years in Indore. More than 80% students are placed in branded originations. Center is providing their facilities at 4 locations in Indore which is convenient to students. Atmosphere is healthy and friendly. We give Individual attenuation to everyone. Its Director is Mr. Devendra Singh Rathore who is a professional software developer and educationist.  ,,"1 Year , 2 Years , 6 Months , B.Tech. Distance Education , Basic Networking Training , C, C++ Training , Certification programs , Certified Financial Management Distance Education , Certified Public Accountant (CPA) Distance Education , Chartered Financial Analyst (CFA) Distance Education , Contact Classes , Correspondence , DBM ADBM Distance Education , Degree Programs , Diploma Programs , Executive BBA Distance Education , Executive MBA Distance Education , IT Program Distance Education , Java & J2EE Training , LLB Distance Education , M.B.A. Distance Education , M.C.A. Distance Education , M.Sc. Visual Communications Distance Education , M.Tech. Distance Education , More than 2 Years , MS Office Training , MSC IT , Online , Online Homeopathy Distance Education , Online MBA , Open School for 10th class , P.H.D. Distance Education , PGDCR Distance Education , PGDHHM Distance Education , PGDHIM Distance Education , PGDMLS Distance Education , Spoken English Classes , "
165448,Maa Tutorial,+91 731 3368893,,,,,Mahanagar Press,A.B. Road,452001,indore,India,maatutorial@gmail.com,http://www.maatutorial.com,Pankaj Bhatt,Monday - Sunday: 10 AM - 7 PM,"Defence/Police Exam Coaching , Law Entrance Coaching , Naval Academy Exam Coaching , SET Entrance Coaching , KLSAT Entrance Coaching , CDS Exam Coaching , CISF Exam Coaching , ULSAT Entrance Coaching , LSAT Entrance Coaching , CRPF Exam Coaching , BSF Exam Coaching , AILET Entrance Coaching , CLAT Entrance Coaching , ITBP Exam Coaching , CPF Exam Coaching , LLB Entrance Exam , IPS Entrance Exam Coaching , MPPSC Entrance Exam Coaching , Army Coaching , Navy Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , Indian Air Force Exam Coaching , Sainik School Entrance Coaching , RIMC Exam Coaching , MP SI Coaching , Sub Inspector Exam Coaching , Physics Tuitions (11th & 12th) , AFCAT Coaching , ACC Coaching , TA Coaching , UPSC Coaching , Commerce Tuitions (11th & 12th STD) , BAMS Coaching , BHMS Coaching , PSU Entrance Coaching , IAS Entrance Coaching , School Tuitions for Math, Physics, Chemistry , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , Spoken English Classes , Polytechnic Entrance Coaching , SSC JE Entrance Coaching , NIFT/NID/CEED/FDDI Training , Banking Tuitions , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , Fashion Design Entrance Coaching , CET Entrance Coaching , 10th STD Tuitions , B.Com Coaching , IIT-JEE Coaching , 9th STD Tuitions , SSB & NDA Coaching , DSSB Coaching , ","Maa Tutorial: If you're aspiring for a distinguished career in INDIAN ARMED FORCES, POLICE SERVICES, you can't do better than joining MAA TUTORIAL, a peerless, pioneering institution offering a very challenging and attractive career for Indian youth (both men and women).
Established in MAY 2000, MAA TUTORIAL specializes in coaching the potential aspirant on all aspects including written examinations for INDIAN DEFENSE SERVICES, POLICE SERVICES, SSB INTERVIEW & GENERAL INTERVIEWS under one roof, there by preparing young boys & girls to become Commissioned Officer in the Armed Forces and best performing officers in different sectors.
  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-00-34-cc5ac1c9-c8e8-4820-84d1-febba65fb387.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-00-56-20a5614e-bfb3-4803-8cdf-ff8507fbbaed.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-01-08-78ac1153-60e4-4e66-a618-c929fc48f9a6.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-01-22-100751b1-aa53-4e76-877b-6ee608012663.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-01-35-d415f125-e7ec-4682-81a0-08742017b5ba.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-02-04-13b11b6b-d4f7-4d18-995a-f56be73c290f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-02-18-80e434f4-87f6-461b-97a9-23b0f356ce34.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-02-27-ab6c3983-b2ca-4f4f-b593-b228ee3fcae2.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-02-35-862fa91d-3011-4f54-a9eb-127723b43ca5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-02-45-b0a08879-119b-4898-b3be-4201cc07a37f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-02-59-bf07cec5-7241-4140-8661-db2903914951.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-03-07-f9a83722-4d0e-453e-a5cd-ba605975127e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/05-11-2015%2013-03-20-bead1ab3-c70b-4b7d-bdef-c3a714863b35.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-00-34-cc5ac1c9-c8e8-4820-84d1-febba65fb387.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-00-56-20a5614e-bfb3-4803-8cdf-ff8507fbbaed.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-01-08-78ac1153-60e4-4e66-a618-c929fc48f9a6.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-01-22-100751b1-aa53-4e76-877b-6ee608012663.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-01-35-d415f125-e7ec-4682-81a0-08742017b5ba.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-02-04-13b11b6b-d4f7-4d18-995a-f56be73c290f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-02-18-80e434f4-87f6-461b-97a9-23b0f356ce34.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-02-27-ab6c3983-b2ca-4f4f-b593-b228ee3fcae2.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-02-35-862fa91d-3011-4f54-a9eb-127723b43ca5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-02-45-b0a08879-119b-4898-b3be-4201cc07a37f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-02-59-bf07cec5-7241-4140-8661-db2903914951.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-03-07-f9a83722-4d0e-453e-a5cd-ba605975127e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/05-11-2015%2013-03-20-bead1ab3-c70b-4b7d-bdef-c3a714863b35.jpg , ","1 Month Program , 1 Year Program , 10th STD Tuitions , 3 Months Program , 6 Months Program , B.Com Coaching , BAMS Coaching , Banking Tuitions , BHMS Coaching , BSF Exam Coaching , CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CDS Exam Coaching , CET Entrance Coaching , CISF Exam Coaching , Classroom Tuitions , CLAT Entrance Coaching , Commerce Tuitions (11th & 12th STD) , CPF Exam Coaching , CRPF Exam Coaching , Daily Classes , DSSB Coaching , Evening Classes , Fashion Design Entrance Coaching , IAS Entrance Coaching , IIT-JEE Coaching , Indian Air Force Exam Coaching , IPS Entrance Exam Coaching , ITBP Exam Coaching , KLSAT Entrance Coaching , LLB Entrance Exam , LSAT Entrance Coaching , More than Rs.20000 , MP SI Coaching , MPPSC Entrance Exam Coaching , Naval Academy Exam Coaching , Navy Coaching , NIFT/NID/CEED/FDDI Training , Physics Tuitions (11th & 12th) , Polytechnic Entrance Coaching , PSU Entrance Coaching , RIMC Exam Coaching , RRB Entrance Exam Coaching , Rs.10000-Rs.20000 , Rs.5000-Rs.10000 , Sainik School Entrance Coaching , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , School Tuitions for Math, Physics, Chemistry , SET Entrance Coaching , Short Term , Spoken English Classes , SSB & NDA Coaching , SSC Entrance Exam Coaching , SSC JE Entrance Coaching , Sub Inspector Exam Coaching , Summer Classes , TA Coaching , ULSAT Entrance Coaching , UPSC Coaching , "
165449,Math Mentor,+91 731 3368933,,,,,"No. 208, Paradise Point, 1060, Khatiwal Tank",ManikBagh,452014,indore,India,navdeep790@gmail.com,,Navdeep Singh Chhabra,Monday - Saturday: 10 AM - 8 PM,"SSC Entrance Exam Coaching , MPSC Coaching , UPSC Coaching , Final Year Project Training , CAT Coaching , SAT Coaching , MBA & BBA Coaching , SBI PO Training , Advanced Level (A-Level) Maths Tuitions , CBSE Tuitions for Maths , College Tuitions for Maths , IGCSE Maths Tuitions , IB Maths Tuitions , ICSE Maths Tuitions , CET Entrance Coaching , 10th STD Tuitions , IIT-JEE Coaching , 9th STD Tuitions , National Talent Search Exam (NTSE) Coaching , Vedic Maths Coaching , Learning Problem Children Coaching , ","We, Math Mentor are providing mathematics coaching for school classes, various entrance & career exams & a unique program of mastering maths for students of all level. At Math Mentor, we offer specialist tutoring to help students to learn maths as a pivot subject that contribute to the success of students in various exams.We are a well known Mathematics Coaching Centres specialize in Mathematics Coaching & hence we focus exclusively on teaching maths using time-tested techniques customized to each students individual needs. Our simple, detailed & unique teaching process combined with conceptual short cut techniques make students confident about maths & they secure maximum marks in school exams & crack various competitive exams.Apart from teaching mathematics, our goal is to provide overall guidance to students that make them competitive for the future life & that too with peace of mind. Contact us.  ",,"CET Entrance Coaching , College Tuitions for Maths , Final Year Project Training , IB Maths Tuitions , ICSE Maths Tuitions , IGCSE Maths Tuitions , IIT-JEE Coaching , Learning Problem Children Coaching , MBA & BBA Coaching , MPSC Coaching , National Talent Search Exam (NTSE) Coaching , SAT Coaching , SBI PO Training , SSC Entrance Exam Coaching , UPSC Coaching , Vedic Maths Coaching , "
