EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
169689,Cavalier India,9921223785,,,,,,,,jamnagar,India,cavalierindia.pune@yahoo.com,http://www.cavalierindia.com,Hasan Sheikh,All days: 9:00 am - 6:00 pm,"SSB & NDA Coaching , ",,,
169690,English Learning Studio,9227401350,,,,,,Bedi Road,361002,jamnagar,India,,http://www.englishlearningstudio.com,Pradeep Sharma,Monday - Saturday: 8 AM - 8.30 PM,"Spoken English Classes , ",,,
169691,Vitrag Institute,0288 - 2750467, 9825458035,,,,Plot No. 439/441,Patel Colony,361008,jamnagar,India,,,Kalpit Metha,Monday - Saturday: 8 AM - 12 AM,"Chartered Accountant Coaching , ",,,
169692,Language Link,0288 - 2551161, 8401676001,,,,"1st Floor ,Patel Colony",Patel Colony,361008,jamnagar,India,LanguageLink.jamnagar@gmail.com,,Kamlesh,Monday - Sunday: 7.30 PM - 10.30 PM,"Spoken English Classes , IELTS Coaching , ",,,
169693,Future Academy,9016733344, 9033301289,,,,3rd Floor,Town Hall,361001,jamnagar,India,futureacademyjamnagar@gmail.com,,Swati,Monday - Sunday: 10 AM - 8.30 PM,"Commerce Tuitions (11th & 12th STD) , College Tuitions for Accounts, Finance, Statistics , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , 2nd Year PUC Coaching , TOEFL Coaching , 1st Year PUC Coaching , 10th STD Tuitions , CBSE Accounts (11th & 12th ) Tuitions , 9th STD Tuitions , ",,,"College Tuitions for Accounts, Finance, Statistics , Commerce Tuitions (11th & 12th STD) , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , TOEFL Coaching , "
169694,Thakkar Classes,0288 - 2555361, 9427572229,,,,No.2,Patrakar Colony,361001,jamnagar,India,,,Arvind M Thakkar,Monday - Saturday: 10 AM - 5 PM,"Commerce Tuitions (11th & 12th STD) , ISC Tuitions for 11th & 12th , Economics Coaching Classes (9th & 10th STD) , Chartered Accountant Coaching , Economics Coaching Classes (11th & 12th STD) , Advanced Economics Coaching Classes (College level and above) , ",,,
169695,Dhruve Classes,0288 - 2551411,,,,,2nd Floor,Club Road,361005,jamnagar,India,,,,,,,,
169696,Genious Classes,0288 - 2660123,,,,,#4,Digvijay Plot,361005,jamnagar,India,,,,,,,,
169697,Bheda Classes,9879151212,,,,,#2,Shankar Tekri,361001,jamnagar,India,,,,,,,,
169698,Sonagra Classes,0288 - 2672408,,,,,,Jam Nagar,361005,jamnagar,India,,,,,,,,
