EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
170215,European Academy of English Languages,9308043303,,,,,"102, Thakurbari Road, 6th Floor",Ambagan,831001,jamshedpur,India,euroklash@gmail.com,http://www.europeanjsr.com,Mohmmed Shadiq,Monday - Saturday: 7.30 AM - 8 PM,"SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , Foreign Languages Coaching , School Tuitions for All Subjects , Spoken English Classes , SSC JE Entrance Coaching , Banking Tuitions , SBI PO Training , Language Development Coaching , Placement Training , Aptitude Training , ","European Academy of English Languages holds over several years of experience in the industry and possessed eminent professionals who can provide you with the best coaching. We shall stick on to deadlines and deliver prompt services to you.We provide interesting effective, high-quality tuition. We ensure the desired level of success in the shortest time period, we make sure that our students do evolve and take part in a wide range of complementary activities so that language learning becomes a fun.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images-ed063cb6-ef31-44aa-a492-3d136f8c63b6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images-218e6df4-15ed-43e3-ad9c-d291528b571b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images%20(1)-910354ed-302c-4568-ba08-ffd6f5fdf376.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/iclass-training-india-87b5ecc4-1c8c-477f-be7c-edb637bbc69f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/download-7467a9ee-5227-4f7b-b975-6dde99655ddc.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images-ed063cb6-ef31-44aa-a492-3d136f8c63b6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images-218e6df4-15ed-43e3-ad9c-d291528b571b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images%20(1)-910354ed-302c-4568-ba08-ffd6f5fdf376.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/iclass-training-india-87b5ecc4-1c8c-477f-be7c-edb637bbc69f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/download-7467a9ee-5227-4f7b-b975-6dde99655ddc.jpg , ","RRB Entrance Exam Coaching , SBI PO Training , School Tuitions for All Subjects , Spoken English Classes , SSC Entrance Exam Coaching , SSC JE Entrance Coaching , "
170216,Tayal Institute Pvt. Ltd.,+91 22 49432704,,,,,"No. 403, D- Definity, JP Nagar, Road No. 1",Goregaon East,400062,jamshedpur,India,sales@tayalinstitute.com,http://www.tayalsirvod.com,Rajesh Tayal,Monday - Sunday: 9 AM - 7 PM,"CS Coaching , CMA Coaching , Chartered Accountant Coaching , Chartered Financial Analyst (CFA) Coaching , ","Tayal Institute Private Limited is the first institute in India to provide coaching exclusively to CA Final students only. Another first for us is to give a choice to the students for selecting the subject they want to do with us instead of forcing them to join.The institute was founded by CS Prof. Rajesh Tayal, in the year 2004 and since then it has recorded growth year over years. Every time some of our students are placed in merit list.Our courses are built in partnership with technology leaders and are relevant to industry needs.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , ",
170217,Niks Academy,+91 731 3368835,,,,,Rajiv Gandhi Circle,A.B. Road,452017,jamshedpur,India,info@niksacademy.com,http://www.niksacademy.com,Nikhil,Monday - Sunday: 2 PM - 9 PM,"Defence/Police Exam Coaching , CDS Exam Coaching , Army Coaching , Navy Coaching , AFCAT Coaching , ACC Coaching , Coast Guard Exam Coaching , SSB & NDA Coaching , ","The NIKS ACADEMY is a SSB training & personality enhancement Institute committed to youth empowerment. The Institute is located in Indore, with a sprawling campus. The uniqueness of the Institute accrues from its outdoor layout of obstacles, including all types of Leaderless Group Tasks, Command Tasks, and Group Obstacle Race & Individual Obstacles. In order to infuse realizing into training, the dimension of all these obstacles has been precisely calibrated to those existing in various SSBs. The trainer comprises of dedicated retired army officers. These highly experienced, senior Army officers have been assessors and members of Services Selection Boards for protracted period of time.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1...MOHIT-PRAJAPATIAJINKYA-KHERPRITISH-MEHTA-nggid0252-ngg0dyn-91x68-00f0w010c011r110f110r010t010-131c55ff-1c26-4660-902a-6bf0b64d6381.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-nggid03174-ngg0dyn-91x68-00f0w010c011r110f110r010t010-784305ad-31b8-4c5d-9582-596461bfbce6.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-nggid03167-ngg0dyn-91x68-00f0w010c011r110f110r010t010-5f6c4bde-486e-47cd-b1e8-3f305197f8d5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/26-jan-2012-my-photu-nggid03118-ngg0dyn-91x68-00f0w010c011r110f110r010t010-9d7ccc90-fa3a-4e95-a3db-8378ef2ea2cc.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/15072010099-nggid0223-ngg0dyn-91x68-00f0w010c011r110f110r010t010-7032aea5-f271-43f6-86df-360c3103584b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/23102010039-nggid015-ngg0dyn-91x68-00f0w010c011r110f110r010t010-a0de99cc-84f8-490d-a7e9-0bea58f073cc.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/a1-nggid03162-ngg0dyn-91x68-00f0w010c011r110f110r010t010-ef76a281-29b2-45ac-b11f-52bec42c0113.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/abts-f7589124-6bbe-4d04-82d3-a28923ddbf34.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/air1-1500x400_c2-081306f3-1639-44cd-8d81-1785dbbf9709.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IMG_0318-nggid0239-ngg0dyn-91x68-00f0w010c011r110f110r010t010-51b553f3-a983-4cae-b996-db4ef57d9bb4.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/img1-1272d172-40a7-4bd3-9bbd-e6d0eae0162c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/img2-8a46d71e-72ff-499c-94b6-433f6805c72d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/img3-e1cf76ed-9805-409b-a066-0201687698ea.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/navy1-1500x400_c3-85332931-be88-46ed-8464-460c45853ecb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/navy1-1500x400_c-12-379bdb0a-3f81-41bc-b39a-13e7f8e16d32.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/nws-09b1a072-3ba7-43e6-9d9a-0885e8ed02c7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/v-555982b1-de9b-48d1-a1b1-bf59c721af5b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1...MOHIT-PRAJAPATIAJINKYA-KHERPRITISH-MEHTA-nggid0252-ngg0dyn-91x68-00f0w010c011r110f110r010t010-131c55ff-1c26-4660-902a-6bf0b64d6381.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-nggid03174-ngg0dyn-91x68-00f0w010c011r110f110r010t010-784305ad-31b8-4c5d-9582-596461bfbce6.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-nggid03167-ngg0dyn-91x68-00f0w010c011r110f110r010t010-5f6c4bde-486e-47cd-b1e8-3f305197f8d5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/26-jan-2012-my-photu-nggid03118-ngg0dyn-91x68-00f0w010c011r110f110r010t010-9d7ccc90-fa3a-4e95-a3db-8378ef2ea2cc.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/15072010099-nggid0223-ngg0dyn-91x68-00f0w010c011r110f110r010t010-7032aea5-f271-43f6-86df-360c3103584b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/23102010039-nggid015-ngg0dyn-91x68-00f0w010c011r110f110r010t010-a0de99cc-84f8-490d-a7e9-0bea58f073cc.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/a1-nggid03162-ngg0dyn-91x68-00f0w010c011r110f110r010t010-ef76a281-29b2-45ac-b11f-52bec42c0113.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/abts-f7589124-6bbe-4d04-82d3-a28923ddbf34.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/air1-1500x400_c2-081306f3-1639-44cd-8d81-1785dbbf9709.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IMG_0318-nggid0239-ngg0dyn-91x68-00f0w010c011r110f110r010t010-51b553f3-a983-4cae-b996-db4ef57d9bb4.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/img1-1272d172-40a7-4bd3-9bbd-e6d0eae0162c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/img2-8a46d71e-72ff-499c-94b6-433f6805c72d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/img3-e1cf76ed-9805-409b-a066-0201687698ea.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/navy1-1500x400_c3-85332931-be88-46ed-8464-460c45853ecb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/navy1-1500x400_c-12-379bdb0a-3f81-41bc-b39a-13e7f8e16d32.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/nws-09b1a072-3ba7-43e6-9d9a-0885e8ed02c7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/v-555982b1-de9b-48d1-a1b1-bf59c721af5b.jpg , ","Navy Coaching , SSB & NDA Coaching , "
170218,Vikas Vidyaniketan,9905124466,,,,,,Kankarbagh,800001,jamshedpur,India,siddarth.baliga@peoplecombine.com,,Rajiv,Monday - Saturday: 8 AM - 7 PM,"Coaching & Tuitions , CBSE High Schools , CBSE Higher Secondary Schools , CBSE Primary Schools , Medical EAMCET Coaching , IIT Engineering Entrance Coaching , Medical Entrance Coaching , IIT JAM Coaching , IIT HSEE Coaching , IIT-JEE Coaching , ","Vikas Vidyaniketan is South Indias oldest residential school, affiliated to Central Board of Secondary Education (CBSE), New Delhi (vide affiliation no.130178), and a pioneer in offering integrated learning programs in CBSE along with coaching for IIT-JEE/NEET/PMT and CA-CPT. The school admits boys from Class VI onwards, girls in Class XI and all students have to mandatorily live in the campus which is self-sufficient in all respects. There are separate campuses for boys and girls, situated, around 2 kilometres apart, in Visakhapatnam, one of the cleanest and safest cities in India. Visakhapatnam, also known as Vizag, is nominated to be upgraded to a smart city under the Prime Ministers smart city project.Vikas started in the early 90s at a time when students from Northern Coastal Andhra Pradesh were migrating to other parts of the state for high school. The founders envisioned the need for world-class education closer home. The institution has since then evolved as a national institution with students now coming from different parts of the country to study at Vikas and prepare for top class careers in engineering, medicine and commerce. Several alumni have gone on to study at IITs, NITs, BITS, JIPMER, IIMs etc and are currently working in blue-chip companies in India and abroad.  ",,"IIT JAM Coaching , IIT-JEE Coaching , Medical EAMCET Coaching , Medical Entrance Coaching , "
170219,Concept Classes,9234764169,,,,,,,,jamshedpur,India,dsantosh2007@gmail.com,,K.R. Santosh Dutta,,"Home & Private Tuitions , Home Tutors for Class I-V , Home Tutors for Class VI-X , B.Com Home Tutors , B.Sc Home Tutors , BE Home Tuitions , Biology Home Tuitions for school , Chemistry Home Tuitions for school , Hindi Home Tuitions , English Home Tuitions for school , Physics Home Tuitions for school , Economics Home Tuitions , BBA Home Tuitions , MBA Home Tuitions , ICWA Home Tuitions , MCA Home Tuitions , GMAT Private Tuitions , CA Home Tuitions , Maths Home Tuitions for school , 2nd Year PUC Coaching , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , College Tuitions for Chemistry , 1st Year PUC Coaching , ",,,"BE Home Tuitions , Biology Home Tuitions for school , CA Home Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , Chemistry Home Tuitions for school , College Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , Economics Home Tuitions , English Home Tuitions for school , GMAT Private Tuitions , Hindi Home Tuitions , Home Tutors for Class I-V , Home Tutors for Class VI-X , ICWA Home Tuitions , Maths Home Tuitions for school , MBA Home Tuitions , MCA Home Tuitions , Physics Home Tuitions for school , "
170220,Aakash,0657 - 2233851, 9234170248,,,,"No. 503, 2nd Floor",Sakchi,831001,jamshedpur,India,,http://www.aakash.ac.in,Meena,Monday - Sunday: 9.30 AM - 8 PM,"Coaching & Tuitions , Tablet PC Dealers , IIT Engineering Entrance Coaching , Medical Entrance Coaching , IIT-JEE Coaching , ",,,
170221,Vikas Vidyarthi - Private n Group Classes,9835924604,,,,,"No. 21, Vidhyasagar Path, Uliyam",Kadma,831005,jamshedpur,India,vikas.vidyarthi@gmail.com,,Vikas Vidyarthi,Monday - Sunday: 9 AM - 9 PM,"2nd Year PUC Coaching , 1st Year PUC Coaching , 10th STD Tuitions , 9th STD Tuitions , ","Private & Group Classes has immense experience in this business. We provide coaching for all boards. Our motto is to provide the best teaching to the students. We have a huge list of impressive success of students. We promise a better future for your children in higher education and knowledge. We make your life better and brighter. Education is a primary ingredient and also a key to success in any profession. With a booming economy and a young population, there is a tremendous need for the quality education to equip this population with skills to handle assignments that spring from such a growing economy like ours. Contact us for further details.  ",,
170222,Shrimans Classes,0657 - 2234936, 8292757573, 9279265024,,,No. 124,Sakchi,831001,jamshedpur,India,shrimanclasses17@gmail.com,,Shriman Trigum,Monday - Sunday: 8 AM - 7 PM,"SSC Entrance Exam Coaching , UPSC Coaching , Polytechnic Entrance Coaching , Banking Tuitions , SBI PO Training , ",,,"6 Months Program , Classroom Tuitions , Daily Classes , Rs.1000-Rs.5000 , "
170223,Verma Tution,9031345923,,,,,No. 30,Sonari,831011,jamshedpur,India,prafullverma5@gmail.com,,Praful Kumar Verma,Monday - Sunday: 9 AM - 8 PM ( Lunch: 12 PM - 3 PM ),"2nd Year PUC Coaching , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , 1st Year PUC Coaching , 10th STD Tuitions , 9th STD Tuitions , ",,,"CBSE Tuitions for Maths , CBSE Tuitions for Physics , "
170224,Mist Plus,0657 - 2437506, 9204433498,,,,3rd Floor,Sakchi,831001,jamshedpur,India,info@mistplus.in,http://www.mistplus.in,,"Monday - Saturday: 9.30 AM - 7.30 PM, Sunday: 9.30 AM - 2 PM","AIEEE Coaching , IIT-JEE Coaching , ",,,
