EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
170262,Robomate Plus,18002100009,,,,,All Offline & Online Courses Available,Mulund West,400036,kanpur,India,robomateleads@mteducare.com,,Mehek Khan,Monday - Saturday: 9 AM - 8 PM,,"MT EduCare Ltd, we believe in facilitating an environment to excel in studies. We offer world class infrastructure in addition to curriculum taught by the subject matter experts of the highest caliber backed by well  researched content and customized evaluation systems. Our interactive and new age methodologies not only make learning as an enjoyable experience but also create motivated and energetic students ready to excel in their exams.. Contact us for further details.  ",,
170263,Deeksha Learning Resources Pvt. Ltd.,9235413384,,,,,No. 117/N/91,Kakadeo,208012,kanpur,India,janardan51983@gmail.com,,Janardan Dixit,"Monday - Saturday: 8 AM - 8 PM, Sunday: 9 AM - 1 PM","Law Entrance Coaching , CLAT Entrance Coaching , SSC Entrance Exam Coaching , CAT Coaching , Banking Tuitions , MBA & BBA Coaching , Aptitude Training , ","Deeksha Learning Resources Pvt. Ltd., we have massive experience in this business. We deal with Coaching & Tuitions. Our motto has always been timely service, best quality and optimum cost. We are in touch with our customer through quality, performance, service and assistance.  We value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. They go to any lengths to make sure that all the demands of our clients are fulfilled, with care. Contact us for further details.  ",,
170264,Endeavor Careers Pvt. Ltd.,0512 - 6452233, 9033725821, 8808017100,,,"117/H1/365, 1st Floor, Pandunagar",Kakadeo,208025,kanpur,India,info@endeavorcareers.com,http://www.endeavorcareers.com,Sharat Chandra,Monday - Sunday: 9.30 AM - 8 PM,"Law Entrance Coaching , CLAT Entrance Coaching , Common Management Aptitude Test (CMAT) Coaching , CAT Coaching , B.B.A. Entrance Coaching , GRE Coaching , MBA & BBA Coaching , TOEFL Coaching , GMAT Coaching , Placement Training , Aptitude Training , Online Test Series for Exam , Online CAT Preparation Coaching , XAT Entrance Coaching , ","Endeavor Careers Pvt. Ltd. an Ahmedabad based National Test Prep player established in 2004, is the fastest growing education services brand in India focused on delivering classroom and web-based education, counseling, creating educational content and developing software for testing and assessment, catering mainly to the high school and college segments.We specialize in imparting quality and result oriented training for Indian as well as Foreign entrance examinations like CAT, CMAT, MH-CET, GRE, GMAT, TOEFL, CLAT, BBA, Campus Recruitment Training, etc. We are headed by an experienced management team who are alumni from top B-Schools and have significant experience in test preparation and well supported by an experienced faculty team of around 100 people.We are proud of our state of art infrastructure, which includes large classrooms, fully equipped library, online testing lab, audio/visual training facility and dedicated reading room.We are currently catering to more than 10,000 students across our 15 centers based in Ahmedabad, Gandhinagar, Rajkot, Surat, Vadodara, Vallabh Vidyanagar - Anand, Borivali, Thane, Vashi, Vile Parle, Bangalore, Kanpur, Bhopal and Jaipur.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Endeavor-Kan-Lounge-255e2149-0772-41d5-a387-77f8a41f9bb1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Endeavor-Kan-Reading-0d82ada8-ad97-4382-9704-35dd12cac89e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Endeavor-Kan-Recep-a0bf1fd3-becf-43fd-8409-695bd41871e8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Endeavor-Kan-Class-db0ac73e-2fa0-473e-9f27-4500d2a10f64.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Endeavor-Kan-Counsel-4ef91846-bfec-4a93-9114-f3c34abb2968.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Endeavor-Kan-Lab-5f3df63f-02e3-4bb9-935e-ecd2892e083f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/mp_12-989b320b-d7de-4f79-a08b-9afbc21e6d71.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/mp_11-0421a822-89b5-44a6-ab36-2e1e98fbec78.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/mp_13-ca75c227-b045-4a9f-b352-50d43305cafe.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/mp_14-68dc20e1-4483-47f6-af71-4f469298788b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/mp_15-9dda08b9-ea55-4c8b-a0e6-8e8eaa4554fa.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Endeavor-Kan-Lounge-255e2149-0772-41d5-a387-77f8a41f9bb1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Endeavor-Kan-Reading-0d82ada8-ad97-4382-9704-35dd12cac89e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Endeavor-Kan-Recep-a0bf1fd3-becf-43fd-8409-695bd41871e8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Endeavor-Kan-Class-db0ac73e-2fa0-473e-9f27-4500d2a10f64.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Endeavor-Kan-Counsel-4ef91846-bfec-4a93-9114-f3c34abb2968.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Endeavor-Kan-Lab-5f3df63f-02e3-4bb9-935e-ecd2892e083f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/mp_12-989b320b-d7de-4f79-a08b-9afbc21e6d71.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/mp_11-0421a822-89b5-44a6-ab36-2e1e98fbec78.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/mp_13-ca75c227-b045-4a9f-b352-50d43305cafe.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/mp_14-68dc20e1-4483-47f6-af71-4f469298788b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/mp_15-9dda08b9-ea55-4c8b-a0e6-8e8eaa4554fa.jpg , ","GMAT Coaching , GRE Coaching , MBA & BBA Coaching , Online CAT Preparation Coaching , Online Test Series for Exam , Placement Training , TOEFL Coaching , XAT Entrance Coaching , "
170265,Engineers Academy,8188841777,,,,,"1st Floor, Corporation Bank",Aliganj,226024,kanpur,India,engineers.academy.india@gmail.com,http://www.engineersacademy.org,,Monday - Sunday: 9 AM - 7.30 PM,"GATE Coaching , Microbiology & Biotechnology Tuitions , GATE Biotechnology Coaching , GATE Civil Engineering Coaching , GATE Chemical Engineering Coaching , GATE Computer Science Coaching , GATE Chemistry Coaching , GATE Mathematics Coaching , GATE Physics Coaching , GATE Electronics Engineering Coaching , GATE Electrical Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , GATE Production Engineering Coaching , GATE Industrial Engineering Coaching , GATE Coaching for Other Subjects , GATE Architecture Coaching , MPSC Coaching , Certified Personal Financial Advisor (CPFA) Coaching , BAMS Coaching , PSU Entrance Coaching , PWD/CPWD Entrance Coaching , CAT Coaching , Liberal Studies Entrance Coaching , MBBS Tuitions , MBA & BBA Coaching , Biomedical Tuitions , TRANSCO Coaching , Chemistry Tuitions (11th & 12th) , Biology Tuitions (11th & 12th) , CBSE Tuitions for English , MAT coaching , Textile Design Courses , MBA in IT Coaching , B.Sc. IT Coaching , WBJEE Coaching , M.Com Entrance Exam Coaching , B.Com Coaching , B.A English Coaching , US CPA Coaching , BMS Coaching , IES Coaching , Vedic Maths Coaching , ","Engineers Academy is leading institute in the field of various career oriented examinations like EES, GATE, SSC, JTO,TTA, UPSC, CPWD, RRB, Mertro,Electricity Borad and PSUs like ..BHEL, NTPC, PGCIL, ONGC, GAIL, IOCL etc. 
Streams: Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics & Communications, Instrumentation Engineering, Computer Science & IT, Textile Engineering, Chemical Engineering 
Engineering Courses : Regular Batch( Pass out & Final Year), Weekend Batch ( Pass out & Final Year), Foundation Batch (3r Year Students ), Pre- Foundation ( 2nd Year Students ), Test Series ( Online & Offline), Interview Guidance Programme
Centers: Jaipur, Patna, Lucknow, Allahabad, Ahmedabad, Sikar, Bhilwara, Kota, Jodhpur,Ajmer,Bikaner,Delhi, Ludhiana, Jalandhar, Chandigarh.
Achievements : Excellence Coaching for ESE, GATE, PSUs & JEn Preprations by M. P. Governor, Global Quality for Best Institute for ESE & GATE  ",,"B.A English Coaching , B.Com Coaching , B.Sc. IT Coaching , BAMS Coaching , Biology Tuitions (11th & 12th) , Biomedical Tuitions , BMS Coaching , CAT Coaching , CBSE Tuitions for English , Certified Personal Financial Advisor (CPFA) Coaching , Chemistry Tuitions (11th & 12th) , Classroom Tuitions , Daily Classes , GATE Coaching for Other Subjects , GATE Computer Science Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Industrial Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mathematics Coaching , GATE Mechanical Engineering Coaching , GATE Physics Coaching , GATE Production Engineering Coaching , IES Coaching , Liberal Studies Entrance Coaching , M.Com Entrance Exam Coaching , MAT coaching , MBA & BBA Coaching , MBA in IT Coaching , MBBS Tuitions , Microbiology & Biotechnology Tuitions , MPSC Coaching , PSU Entrance Coaching , PWD/CPWD Entrance Coaching , Textile Design Courses , TRANSCO Coaching , US CPA Coaching , Vedic Maths Coaching , WBJEE Coaching , "
170266,Smritee Institute,9044543455, 9305044543,,,,"No. 117/N/46, Allahabad Bank Lane",Kakadeo,208025,kanpur,India,vishnusingh6@gmail.com,http://www.smriteeinstitute.com,Vishnu Singh,Monday - Saturday: 9 AM - 7 PM,"SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , Banking Tuitions , ","Smritee Institute Pvt. Ltd. is one of the best institutes in India for competitive exams. We take limited students and make them perfect to reach their aim in a short span of time. We also provide coaching for 12th STD, Railway and all type of government jobs. We provide study material and test series to our students only.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-3ab30170-ea98-4b3f-82b5-fb1f772b51db.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-e0f6fb04-66e8-4627-863e-295971aec010.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1%20(1)-192edcd1-dbb6-4ec9-8b23-9d9c0c2c7b03.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1%20(3)-f2d4e7e7-5f44-464f-a76c-ecfd18c63326.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-cd5460ed-c294-4fbe-8811-ad697c5f346e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-3ab30170-ea98-4b3f-82b5-fb1f772b51db.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-e0f6fb04-66e8-4627-863e-295971aec010.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1%20(1)-192edcd1-dbb6-4ec9-8b23-9d9c0c2c7b03.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1%20(3)-f2d4e7e7-5f44-464f-a76c-ecfd18c63326.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-cd5460ed-c294-4fbe-8811-ad697c5f346e.jpg , ","Classroom Tuitions , Daily Classes , Evening Classes , Holiday Classes , "
170267,GSS English Speaking & French Institute,9919188222, 9336153602,,,,"20, P.P.N. Market",Govind Nagar,208001,kanpur,India,gssknp@gmail.com,,Deepak Arora,Monday - Sunday: 8.30 AM - 7 PM,"Language Training , French Language Training , Foreign Languages Coaching , Spoken English Classes , ","GSS English Speaking & French Institute is the leading provider of English training for adults around the world. Our modern method, which focuses on teaching people to understand and speak english, integrates interactive lessons, self-study in workbooks, and small classes led by result oriented trainers to provide the effective English language coaching available  ",,
170268,INPS Classes,0522 - 4026913, 9838162263,,,,"2nd Floor, Pratap Bhawan",Hazratganj,226001,kanpur,India,inpsclasses@gmail.com,http://www.inpsmcalucknow.com,Nitin Agarwal,"Monday - Saturday: 10 AM - 7 PM, Sunday: 10 AM - 3 PM","Physics Tuitions (11th & 12th) , NIOS Coaching , IIT Engineering Entrance Coaching , School Tuitions for Math, Physics, Chemistry , School Tuitions for All Subjects , Medical Entrance Coaching , Banking Tuitions , MBA & BBA Coaching , NATA Coaching , IIT JAM Coaching , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , MCA Entrance Coaching , AIEEE Coaching , IIT-JEE Coaching , ","Institute of Natural & Professional sciences was founded in the year 2000. The aim is to provide education in an unconventional & distinct learning environment in the challenging field of MCA for Mathematics, Computers, Reasoning, and English. As a result of our highly qualified faculty and competent teaching strategies we have been able to help our students achieve the best of the results in all of UP from the last 10 years with an impressive selection rate of 80-85%. In the last 10 years, more than 1200 of our students have been selected in the top universities and colleges of India. Our key to success is to provide quality education to our students; therefore, we focus on each individual student and help them grow in a manner that best suits their requirement.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-72aea2d4-1fb6-4157-8d88-bf9772dfe94d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-fcf2d17a-4caa-4772-8c9e-1ffc99da7ee3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-72aea2d4-1fb6-4157-8d88-bf9772dfe94d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-fcf2d17a-4caa-4772-8c9e-1ffc99da7ee3.jpg , ","3 Months Program , 6 Months Program , AIEEE Coaching , Banking Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , Classroom Tuitions , Daily Classes , Medical Entrance Coaching , NATA Coaching , NIOS Coaching , Physics Tuitions (11th & 12th) , School Tuitions for All Subjects , School Tuitions for Math, Physics, Chemistry , "
170269,Career Point Tutorials,9936714151,,,,,,Civil Lines,208026,kanpur,India,md.careerpoint@gmail.com,,Manish Dixit,Monday - Sunday: 8 AM - 8 PM,"Engineering Tuitions , Microbiology & Biotechnology Tuitions , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , Biochemistry Degree Tuitions , Botony Tuitions , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , Automotive Engineering Tuitions , Civil Engineering Tuitions , Architectural Engineering Tuitions , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , Computer Science Tuitions (11th & 12th STD) , Chemical Engineering Tuitions , Environmental Engineering Tuitions , Materials Science Engineering Tuitions , Physics Tuitions (11th & 12th) , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Commerce Tuitions (11th & 12th STD) , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , Matriculation Tuitions for Hindi & English , College Tuitions for Accounts, Finance, Statistics , Tuitions for College Subjects , School Tuitions for Math, Physics, Chemistry , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , Spoken English Classes , ISC Tuitions for 11th & 12th , Economics Coaching Classes (9th & 10th STD) , Economics Coaching Classes (11th & 12th STD) , Advanced Economics Coaching Classes (College level and above) , Chemistry Tuitions (11th & 12th) , Biology Tuitions (11th Show less « , ","Career Point Tutorials is here in this field from the past 11 years and we provide coaching for all kinds school subjects, engineering courses & maths tuitions for colleges. We at Kanpur Career Point Tutorials strive persistently to improve the standards of education to endeavor to be an effective instrument not only for examinations point of view but also for making a complete erudite trainee. Contact us for more details.  ",,"Aerospace Engineering Tuitions , Agricultural Engineering Tuitions , Architectural Engineering Tuitions , Automotive Engineering Tuitions , B.Com Coaching , Biochemistry Degree Tuitions , Bioinformatics Training , Biology Tuitions (11th & 12th) , Biomechanical Engineering Tuitions , Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Botony Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for English , CBSE Tuitions for Maths , CBSE Tuitions for Physics , Chemical Engineering Tuitions , Chemistry Tuitions (11th & 12th) , Civil Engineering Tuitions , Classroom Tuitions , College Tuitions for Accounts, Finance, Statistics , College Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , Commerce Tuitions (11th & 12th STD) , Computer Science Tuitions (11th & 12th STD) , Daily Classes , Economics Coaching Classes (11th & 12th STD) , Economics Coaching Classes (9th & 10th STD) , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , Evening Classes , Genetic Engineering Tuitions , Holiday Classes , IB Maths Tuitions , IB Physics Tuitions , ICSE English Tuitions , ICSE Hindi Tuitions , IGCSE Maths Tuitions , IGCSE Physics Tuitions , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , ISC Tuitions for 11th & 12th , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , Matriculation Tuitions for Hindi & English , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Microbiology & Biotechnology Tuitions , Microelectronic Engineering Tuitions , Physics Tuitions (11th & 12th) , Robotics Engineering Tuitions , Rs.10000-Rs.20000 , Rs.5000-Rs.10000 , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , School Tuitions for Math, Physics, Chemistry , Software Engineering Tuitions , Spoken English Classes , Summer Classes , Telecommunication Engineering Tuitions , Tuitions for College Subjects , Zoology Tuitions , "
170270,Tayal Institute Pvt. Ltd.,+91 22 49432704,,,,,"No. 403, D- Definity, JP Nagar, Road No. 1",Goregaon East,400062,kanpur,India,sales@tayalinstitute.com,http://www.tayalsirvod.com,Rajesh Tayal,Monday - Sunday: 9 AM - 7 PM,"CS Coaching , CMA Coaching , Chartered Accountant Coaching , Chartered Financial Analyst (CFA) Coaching , ","Tayal Institute Private Limited is the first institute in India to provide coaching exclusively to CA Final students only. Another first for us is to give a choice to the students for selecting the subject they want to do with us instead of forcing them to join.The institute was founded by CS Prof. Rajesh Tayal, in the year 2004 and since then it has recorded growth year over years. Every time some of our students are placed in merit list.Our courses are built in partnership with technology leaders and are relevant to industry needs.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , ",
170271,Shiksha Academy,9026196401,,,,,"No. 302, 3rd Floor, Ratan Squire",Chunni Ganj,208001,kanpur,India,kanpurshiksha@gmail.com,http://www.shikshaprofessionals.com,Shweta Srivastava,Monday - Sunday: 7 AM - 7 PM,"Home Appliances Repair & Services , Coaching & Tuitions , Home & Private Tuitions , Biochemistry Degree Tuitions , Accounts Preparation / Book-Keeping Services , Computer Science Tuitions (11th & 12th STD) , Physics Tuitions (11th & 12th) , Foreign Languages Coaching , Integrated Professional Competency (IPCC) Coaching , CACPT Coaching , Common Management Aptitude Test (CMAT) Coaching , Accounts Home Tutors for XI-XII , CS Home Tuitions , Commerce Tuitions (11th & 12th STD) , CS Coaching , Auditors , College Tuitions for Accounts, Finance, Statistics , Tuitions for College Subjects , School Tuitions for Math, Physics, Chemistry , School Tuitions for Accounts, Finance, Statistics , IB Accounts Home Tuitions , School Tuitions for All Subjects , Spoken English Classes , Audio System Repair & Services , IGCSE Accounts Home Tuitions , B.B.A. Entrance Coaching , CMA Coaching , ISC Tuitions for 11th & 12th , Economics Coaching Classes (9th & 10th STD) , Chartered Accountant Coaching , Banking Tuitions , Advanced Economics Coaching Classes (College level and above) , Biology Tuitions (11th & 12th) , MIF Coaching , CBSE Tuitions for Hindi , CBSE Tuitions for English , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , IGCSE Accounts 11th & 12th , 10th STD Tuitions , B.Com Entrance Exam Coaching , B.Com Coaching , CBSE Accounts (11th & 12th ) Tuitions , 9th STD Tuitions , All India Common Entrance Examination (AICEE) Coaching , ",,,"1 Year Program , All India Common Entrance Examination (AICEE) Coaching , Audio System Repair & Services , Auditors , B.B.A. Entrance Coaching , B.Com Coaching , B.Com Entrance Exam Coaching , Banking Tuitions , Biochemistry Degree Tuitions , Biology Tuitions (11th & 12th) , CACPT Coaching , CBSE Accounts (11th & 12th ) Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for English , CBSE Tuitions for Hindi , CBSE Tuitions for Maths , CBSE Tuitions for Physics , Chartered Accountant Coaching , Classroom Tuitions , CMA Coaching , College Tuitions for Accounts, Finance, Statistics , Commerce Tuitions (11th & 12th STD) , Common Management Aptitude Test (CMAT) Coaching , Computer Science Tuitions (11th & 12th STD) , CS Coaching , CS Home Tuitions , Daily Classes , Economics Coaching Classes (9th & 10th STD) , Foreign Languages Coaching , IB Accounts Home Tuitions , IGCSE Accounts 11th & 12th , IGCSE Accounts Home Tuitions , Integrated Professional Competency (IPCC) Coaching , ISC Tuitions for 11th & 12th , MIF Coaching , Physics Tuitions (11th & 12th) , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , School Tuitions for Math, Physics, Chemistry , Spoken English Classes , Tuitions for College Subjects , "
