EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
196803,Tayal Institute Pvt. Ltd.,+91 22 49432704,,,,,"No. 403, D- Definity, JP Nagar, Road No. 1",Goregaon East,400062,kolhapur,India,sales@tayalinstitute.com,http://www.tayalsirvod.com,Rajesh Tayal,Monday - Sunday: 9 AM - 7 PM,"CS Coaching , CMA Coaching , Chartered Accountant Coaching , Chartered Financial Analyst (CFA) Coaching , ","Tayal Institute Private Limited is the first institute in India to provide coaching exclusively to CA Final students only. Another first for us is to give a choice to the students for selecting the subject they want to do with us instead of forcing them to join.The institute was founded by CS Prof. Rajesh Tayal, in the year 2004 and since then it has recorded growth year over years. Every time some of our students are placed in merit list.Our courses are built in partnership with technology leaders and are relevant to industry needs.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , ",
196804,Niks Academy,+91 731 3368835,,,,,Rajiv Gandhi Circle,A.B. Road,452017,kolhapur,India,info@niksacademy.com,http://www.niksacademy.com,Nikhil,Monday - Sunday: 2 PM - 9 PM,"Defence/Police Exam Coaching , CDS Exam Coaching , Army Coaching , Navy Coaching , AFCAT Coaching , ACC Coaching , Coast Guard Exam Coaching , SSB & NDA Coaching , ","The NIKS ACADEMY is a SSB training & personality enhancement Institute committed to youth empowerment. The Institute is located in Indore, with a sprawling campus. The uniqueness of the Institute accrues from its outdoor layout of obstacles, including all types of Leaderless Group Tasks, Command Tasks, and Group Obstacle Race & Individual Obstacles. In order to infuse realizing into training, the dimension of all these obstacles has been precisely calibrated to those existing in various SSBs. The trainer comprises of dedicated retired army officers. These highly experienced, senior Army officers have been assessors and members of Services Selection Boards for protracted period of time.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1...MOHIT-PRAJAPATIAJINKYA-KHERPRITISH-MEHTA-nggid0252-ngg0dyn-91x68-00f0w010c011r110f110r010t010-131c55ff-1c26-4660-902a-6bf0b64d6381.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-nggid03174-ngg0dyn-91x68-00f0w010c011r110f110r010t010-784305ad-31b8-4c5d-9582-596461bfbce6.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-nggid03167-ngg0dyn-91x68-00f0w010c011r110f110r010t010-5f6c4bde-486e-47cd-b1e8-3f305197f8d5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/26-jan-2012-my-photu-nggid03118-ngg0dyn-91x68-00f0w010c011r110f110r010t010-9d7ccc90-fa3a-4e95-a3db-8378ef2ea2cc.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/15072010099-nggid0223-ngg0dyn-91x68-00f0w010c011r110f110r010t010-7032aea5-f271-43f6-86df-360c3103584b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/23102010039-nggid015-ngg0dyn-91x68-00f0w010c011r110f110r010t010-a0de99cc-84f8-490d-a7e9-0bea58f073cc.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/a1-nggid03162-ngg0dyn-91x68-00f0w010c011r110f110r010t010-ef76a281-29b2-45ac-b11f-52bec42c0113.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/abts-f7589124-6bbe-4d04-82d3-a28923ddbf34.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/air1-1500x400_c2-081306f3-1639-44cd-8d81-1785dbbf9709.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IMG_0318-nggid0239-ngg0dyn-91x68-00f0w010c011r110f110r010t010-51b553f3-a983-4cae-b996-db4ef57d9bb4.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/img1-1272d172-40a7-4bd3-9bbd-e6d0eae0162c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/img2-8a46d71e-72ff-499c-94b6-433f6805c72d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/img3-e1cf76ed-9805-409b-a066-0201687698ea.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/navy1-1500x400_c3-85332931-be88-46ed-8464-460c45853ecb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/navy1-1500x400_c-12-379bdb0a-3f81-41bc-b39a-13e7f8e16d32.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/nws-09b1a072-3ba7-43e6-9d9a-0885e8ed02c7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/v-555982b1-de9b-48d1-a1b1-bf59c721af5b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1...MOHIT-PRAJAPATIAJINKYA-KHERPRITISH-MEHTA-nggid0252-ngg0dyn-91x68-00f0w010c011r110f110r010t010-131c55ff-1c26-4660-902a-6bf0b64d6381.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-nggid03174-ngg0dyn-91x68-00f0w010c011r110f110r010t010-784305ad-31b8-4c5d-9582-596461bfbce6.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-nggid03167-ngg0dyn-91x68-00f0w010c011r110f110r010t010-5f6c4bde-486e-47cd-b1e8-3f305197f8d5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/26-jan-2012-my-photu-nggid03118-ngg0dyn-91x68-00f0w010c011r110f110r010t010-9d7ccc90-fa3a-4e95-a3db-8378ef2ea2cc.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/15072010099-nggid0223-ngg0dyn-91x68-00f0w010c011r110f110r010t010-7032aea5-f271-43f6-86df-360c3103584b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/23102010039-nggid015-ngg0dyn-91x68-00f0w010c011r110f110r010t010-a0de99cc-84f8-490d-a7e9-0bea58f073cc.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/a1-nggid03162-ngg0dyn-91x68-00f0w010c011r110f110r010t010-ef76a281-29b2-45ac-b11f-52bec42c0113.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/abts-f7589124-6bbe-4d04-82d3-a28923ddbf34.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/air1-1500x400_c2-081306f3-1639-44cd-8d81-1785dbbf9709.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IMG_0318-nggid0239-ngg0dyn-91x68-00f0w010c011r110f110r010t010-51b553f3-a983-4cae-b996-db4ef57d9bb4.JPG , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/img1-1272d172-40a7-4bd3-9bbd-e6d0eae0162c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/img2-8a46d71e-72ff-499c-94b6-433f6805c72d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/img3-e1cf76ed-9805-409b-a066-0201687698ea.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/navy1-1500x400_c3-85332931-be88-46ed-8464-460c45853ecb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/navy1-1500x400_c-12-379bdb0a-3f81-41bc-b39a-13e7f8e16d32.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/nws-09b1a072-3ba7-43e6-9d9a-0885e8ed02c7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/v-555982b1-de9b-48d1-a1b1-bf59c721af5b.jpg , ","Navy Coaching , SSB & NDA Coaching , "
196805,New Disha English Speaking Centre,9325406838,,,,,,Shahupuri,416001,kolhapur,India,,,,,"Enterprise Training , Home & Private Tuitions , Big Data Analytics Online Training , Engineering Tuitions , Law Entrance Coaching , Home Tutors for Class I-V , R Analytics Online Training , Mechanical Engineering Tuitions , SET Entrance Coaching , Aerospace Engineering Tuitions , Home Tutors for Class VI-X , B.Com Home Tutors , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , B.Sc Home Tutors , BE Home Tuitions , Automotive Engineering Tuitions , Civil Engineering Tuitions , Biology Home Tuitions for school , Chemistry Home Tuitions for school , Architectural Engineering Tuitions , Electrical Engineering Tuitions , Hindi Home Tuitions , English Home Tuitions for school , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Physics Home Tuitions for school , Economics Home Tuitions , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , BBA Home Tuitions , MBA Home Tuitions , Environmental Engineering Tuitions , Materials Science Engineering Tuitions , ICWA Home Tuitions , MCA Home Tuitions , Agricultural Engineering Tuitions , Foreign Languages Coaching , GMAT Private Tuitions , CA Home Tuitions , Maths Home Tuitions for school , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication En Show less « , ",,,"B.Com Home Tutors , B.Sc Home Tutors , Banking Tuitions , BBA Home Tuitions , BE Home Tuitions , Bioinformatics Training , Biology Home Tuitions for school , Biomechanical Engineering Tuitions , Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , CA Home Tuitions , CAT Coaching , Certified Financial Planner (CFP) Coaching , Chartered Accountant Coaching , Chemical Engineering Tuitions , Chemistry Home Tuitions for school , Civil Engineering Tuitions , College Tuitions for Accounts, Finance, Statistics , College Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , Economics Home Tuitions , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , English Home Tuitions for school , Environmental Engineering Tuitions , Foreign Languages Coaching , Genetic Engineering Tuitions , GMAT Coaching , GMAT Private Tuitions , GRE Coaching , Handwriting, Spelling & Reading Classes , Hindi Home Tuitions , Home Tutors for Class I-V , Home Tutors for Class VI-X , IAS Entrance Coaching , ICWA Home Tuitions , IIT Engineering Entrance Coaching , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Mass Communication Training , Materials Science Engineering Tuitions , Maths Home Tuitions for school , MBA & BBA Coaching , MBA Home Tuitions , MCA Home Tuitions , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Medical Entrance Coaching , Microelectronic Engineering Tuitions , Music & Dance & Arts Classes , NIFT/NID/CEED/FDDI Training , Physics Home Tuitions for school , R Analytics Online Training , Robotics Engineering Tuitions , SAT Coaching , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , School Tuitions for Math, Physics, Chemistry , SET Entrance Coaching , Software Engineering Tuitions , Spoken English Classes , Spoken Hindi Classes , Telecommunication Engineering Tuitions , Tuitions for College Subjects , "
196806,Deis Academy,9422400698,,,,,"No.1125E,",,,kolhapur,India,dishapatil7@icloud.com,,Disha Patil,Tuesday - Sunday: 10 AM - 9 PM,"GATE Coaching , GATE Biotechnology Coaching , GATE Civil Engineering Coaching , GATE Chemical Engineering Coaching , GATE Computer Science Coaching , GATE Chemistry Coaching , GATE Mathematics Coaching , GATE Physics Coaching , GATE Electronics Engineering Coaching , GATE Electrical Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , GATE Production Engineering Coaching , GATE Industrial Engineering Coaching , GATE Coaching for Other Subjects , ISC Tuitions for 11th & 12th , Economics Coaching Classes (9th & 10th STD) , Economics Coaching Classes (11th & 12th STD) , Advanced Economics Coaching Classes (College level and above) , AIEEE Coaching , IIT-JEE Coaching , ",,,"GATE Chemical Engineering Coaching , GATE Chemistry Coaching , GATE Civil Engineering Coaching , GATE Coaching for Other Subjects , GATE Computer Science Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Industrial Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mathematics Coaching , GATE Mechanical Engineering Coaching , GATE Physics Coaching , GATE Production Engineering Coaching , IIT-JEE Coaching , ISC Tuitions for 11th & 12th , "
196807,Vivekanand Academy,9890932609,,,,,,Mahadwar Road,416002,kolhapur,India,Vivekanandacademy88@gmail.com,,Ningure,Monday - Sunday: 8 AM - 8 PM,"Translators & Interpreters , Enterprise Training , Multimedia & Design Training , Programming Languages Training , Architects , 2D Animation Training , Advanced C Programming Training , C, C++ Training , 3D Modelling Training , Java & J2EE Training , Architect Valuers , Computer Science Tuitions (11th & 12th STD) , CCC / BCC Course , Graphic Designing Training , Physics Tuitions (11th & 12th) , Advanced JAVA Training , Advanced C++ Training , DTP Training , Adobe Robohelp Training , Tally Training , Adobe Soundbooth Training , Economics Coaching Classes (9th & 10th STD) , Economics Coaching Classes (11th & 12th STD) , Chemistry Tuitions (11th & 12th) , English Language Translators , Hindi Language Translators , 1st Year PUC Coaching , 10th STD Tuitions , Gujarati Language Translators , ",,,"Adobe Soundbooth Training , Advanced C Programming Training , Advanced C++ Training , Advanced JAVA Training , Architect Valuers , C, C++ Training , CCC / BCC Course , Chemistry Tuitions (11th & 12th) , Computer Science Tuitions (11th & 12th STD) , DTP Training , Economics Coaching Classes (11th & 12th STD) , Economics Coaching Classes (9th & 10th STD) , English Language Translators , Graphic Designing Training , Gujarati Language Translators , Hindi Language Translators , Java & J2EE Training , Physics Tuitions (11th & 12th) , Tally Training , "
196808,Gateforum,0231 - 6617616, 9763631729,,,,"#No. 305, 3rd Floor",Shahupuri,416001,kolhapur,India,,,Mandar Deshpande,,"GATE Coaching , Engineering Tuitions , GATE Biotechnology Coaching , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , GATE Civil Engineering Coaching , GATE Chemical Engineering Coaching , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , GATE Computer Science Coaching , GATE Chemistry Coaching , Automotive Engineering Tuitions , Civil Engineering Tuitions , GATE Mathematics Coaching , GATE Physics Coaching , Architectural Engineering Tuitions , Electrical Engineering Tuitions , GATE Electronics Engineering Coaching , GATE Electrical Engineering Coaching , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , GATE Production Engineering Coaching , GATE Industrial Engineering Coaching , Environmental Engineering Tuitions , Materials Science Engineering Tuitions , GATE Coaching for Other Subjects , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , IIT Engineering Entrance Coaching , IES Coaching , ",,,"Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Chemical Engineering Tuitions , Civil Engineering Tuitions , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , GATE Biotechnology Coaching , GATE Chemical Engineering Coaching , GATE Chemistry Coaching , GATE Civil Engineering Coaching , GATE Coaching for Other Subjects , GATE Computer Science Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Industrial Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mathematics Coaching , GATE Mechanical Engineering Coaching , GATE Physics Coaching , GATE Production Engineering Coaching , Genetic Engineering Tuitions , IES Coaching , IIT Engineering Entrance Coaching , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Microelectronic Engineering Tuitions , Robotics Engineering Tuitions , Software Engineering Tuitions , Telecommunication Engineering Tuitions , "
196809,Toro Institute,0231 - 2537365, 9372537365,,,,Plot No. 133,Shivaji Park,416001,kolhapur,India,milindtoro@yahoo.com,,M.A. Toro,Monday - Saturday: 7 AM - 8 PM ( Lunch: 11 AM - 4 PM ),"CAT Coaching , School Tuitions for Math, Physics, Chemistry , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , Aptitude Training , CET Entrance Coaching , AIEEE Coaching , 10th STD Tuitions , 9th STD Tuitions , All India Common Entrance Examination (AICEE) Coaching , School Tuitions for Biology , ",,,"CAT Coaching , CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CET Entrance Coaching , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , School Tuitions for Biology , School Tuitions for Math, Physics, Chemistry , "
196810,Toro Institute,0231 - 2537365, 9372537365,,,,"No. B1,Skylark Heights,New Shahupuri",New Shahupuri,416002,kolhapur,India,milindtoro@yahoo.com,,M.A. Toro,Monday - Saturday: 7 AM - 8 PM ( Lunch: 11 AM - 4 PM ),"School Tuitions for Math, Physics, Chemistry , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , Aptitude Training , AIEEE Coaching , 10th STD Tuitions , 9th STD Tuitions , All India Common Entrance Examination (AICEE) Coaching , School Tuitions for Biology , ",,,"CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , School Tuitions for Accounts, Finance, Statistics , School Tuitions for All Subjects , School Tuitions for Biology , School Tuitions for Math, Physics, Chemistry , "
196811,Swaroop Science Classes,0231 - 2546714, 9421202814,,,,,Manganwlarpeth,416012,kolhapur,India,,,,Monday - Sunday: 10 AM - 9 PM ( Lunch: 12 PM - 5 PM ),"IIT Engineering Entrance Coaching , CET Entrance Coaching , ",,,
196812,Riddhi Consulting Services,7798166177,,,,,Plot. 832,New Shahupuri,416001,kolhapur,India,parissecure@gmail.com,,Prashant,Monday - Sunday: 10 AM - 7 PM,"Share Brokers , Share Marketing Training , ",,,
