EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
196842,Aptiplus,+91 33 33254058,,,,,BF234,Salt Lake City,700064,kolkata,India,apti.plus@gmail.com,http://www.aptiplus.in,Swapnajit Sahoo,Monday - Sunday: 10 AM - 7 PM,"IPS Entrance Exam Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , UPSC Coaching , IBPS Bank Interview Coaching , IAS Entrance Coaching , Banking Tuitions , Placement Training , IBPS Bank Exam Coaching , ","Apti Plus Academy for Civil Services has undoubtedly become the best coaching institute for Civil Services in Bhubaneswar as well as Kolkata. For its success rate & systematic teaching methodology, Apti Plus is being ranked as the best coaching for Civil Services & SSC CGL coaching in Kolkata & Bhubaneswar by oureducation.in & civilserviceindia.com.
Apti plus was set up in 2005-2006. Since its establishment, the institute has produced number of IAS, IFS, IPS & other central/state Govt. services members.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-1d3d0e5b-a0e8-47d0-80c3-0aed7059670a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-8742f992-4d8c-4c44-9ab9-0302031f6dca.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-6e018cce-25e2-4127-8102-a2e45a410616.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-3d274ca6-ea7a-4c62-a8a6-a8025d6f8f33.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-2d200155-a8ea-43e1-b502-ad814c16a1be.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-1d3d0e5b-a0e8-47d0-80c3-0aed7059670a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-8742f992-4d8c-4c44-9ab9-0302031f6dca.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-6e018cce-25e2-4127-8102-a2e45a410616.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-3d274ca6-ea7a-4c62-a8a6-a8025d6f8f33.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-2d200155-a8ea-43e1-b502-ad814c16a1be.jpg , ","Banking Tuitions , Classroom Tuitions , Daily Classes , Evening Classes , Holiday Classes , RRB Entrance Exam Coaching , SSC Entrance Exam Coaching , Summer Classes , UPSC Coaching , Weekend Classes , "
196843,Eduaims,+91 33 33147393,,,,,"No. 52E, Ballygunge Circular Road, 3rd Floor",Ballygunge,700019,kolkata,India,query@eduaims.in,http://www.eduaims.in,Michael Wharton,"Monday - Saturday: 11 AM - 7.30 PM, Sunday: 1 PM - 7 PM","Coaching & Tuitions , Overseas Engineering Education Consultants , USA Education Consultants , UK Education Consultants , Australia Education Consultants , Canada Education Consultants , New Zealand Education Consultants , Russia Education Consultants , Cyprus Education Consultants , Austria Education Consultants , Poland Education Consultants , Overseas MBA Education Consultants , Overseas Medical Education Consultants , Overseas Journalism Education Consultants , South Korea Education Consultants , France Education Consultants , Germany Education Consultants , ACT Exam Coaching , PSAT Exam Coaching , GRE Coaching , SAT Coaching , Singapore Education Consultants , Switzerland Education Consultants , IELTS Coaching , TOEFL Coaching , GMAT Coaching , Ukraine Education Consultants , Europe Education Consultants , Italy Education Consultants , Ireland Education Consultants , Sweden Education Consultants , Norway Education Consultants , Finland Education Consultants , Philippines Education Consultants , Malaysia Education Consultants , Armenia Education Consultants , Dubai Education Consultants , Denmark Education Consultants , China Education Consultants , ","""Eduaims is an overseas educational consultancy catering to the needs of students seeking quality global education. It is the ultimate destination for all those who aspire admission to top universities and colleges around the world. Through a team of dedicated mentors from world class institutions, we not only motivate but also guide students towards realizing their dreams. We provide, through our extensive knowledge and expertise, services that will bring out the best in you in every respect.
We believe that every individual is unique and strive to provide the right guidance so that every student is able to grow into a competitive individual who is able to succeed in all aspects of life. Through our regularly conducted excursions, aptitude development programs, examination workshops, university tours and profile building exercises we ensure that getting admission into your dream college has never been easier.
Tell us your dreams and we will ensure you realize them!""  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-ae56d6a4-9b0c-4475-9814-169a3178d5c1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/10-a2c25c04-b81a-469c-9d3a-de330cb7ad94.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-78f41047-118c-4ec3-860d-3b00bac0ce98.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-7e003c83-740b-4eb2-bda7-83677a0e8124.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-ae56d6a4-9b0c-4475-9814-169a3178d5c1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/10-a2c25c04-b81a-469c-9d3a-de330cb7ad94.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-78f41047-118c-4ec3-860d-3b00bac0ce98.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-7e003c83-740b-4eb2-bda7-83677a0e8124.jpg , ","China Education Consultants , Cyprus Education Consultants , Denmark Education Consultants , Dubai Education Consultants , Europe Education Consultants , Finland Education Consultants , France Education Consultants , Germany Education Consultants , GMAT Coaching , GRE Coaching , IELTS Coaching , Ireland Education Consultants , Italy Education Consultants , Malaysia Education Consultants , New Zealand Education Consultants , Norway Education Consultants , Overseas Engineering Education Consultants , Overseas Journalism Education Consultants , Overseas MBA Education Consultants , Overseas Medical Education Consultants , Philippines Education Consultants , Poland Education Consultants , PSAT Exam Coaching , Russia Education Consultants , SAT Coaching , Singapore Education Consultants , South Korea Education Consultants , Sweden Education Consultants , Switzerland Education Consultants , TOEFL Coaching , UK Education Consultants , Ukraine Education Consultants , USA Education Consultants , "
196844,Phoenix Ed,+91 33 30942555,,,,,"No.956, 1st Floor, Block G, Jessore Road",Bangur Avenue,700055,kolkata,India,phoenix.ed.kol@gmail.com,http://www.phed.info,Neha Modi,Monday - Sunday: 9 AM - 9 PM,"Computer Science Tuitions (11th & 12th STD) , CACPT Coaching , Commerce Tuitions (11th & 12th STD) , CS Coaching , NEET Entrance Coaching , Medical EAMCET Coaching , IIT Engineering Entrance Coaching , College Tuitions for Accounts, Finance, Statistics , Medical Entrance Coaching , Chartered Accountant Coaching , Economics Coaching Classes (11th & 12th STD) , Advanced Economics Coaching Classes (College level and above) , Chemistry Tuitions (11th & 12th) , IB Chemistry Tuitions , Biology Tuitions (11th & 12th) , IIT JAM Coaching , Advanced Level (A-Level) Maths Tuitions , Advanced Level (A-Level) Physics Tuitions , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , College Tuitions for Chemistry , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IB Maths Tuitions , IB Physics Tuitions , IIT HSEE Coaching , IGCSE Economics 11th & 12th , IGCSE Accounts 11th & 12th , ICSE Maths Tuitions , ICSE Physics Tuitions , ICSE Chemistry Tuitions , ICSE Biology Tuitions , IGCSE Chemistry Tuitions , Advanced Level (A-Level) Chemistry Tuitions , AIEEE Coaching , AIPMT Coaching , 10th STD Tuitions , BCA Entrance Exam Coaching , WBJEE Coaching , JEE Advanced Coaching , B.Com Coaching , CBSE Accounts (11th & 12th ) Tuitions , NCHMCT JEE Coaching , IIT-JEE Coaching , 9th STD Tuitions , ICWA Coaching , ACS Coaching , ","PhED is a modern generation academic venture primarily aimed to offer solutions across multiple levels in EDUCATION. The foundation of PhED is aimed at achieving success for students across various academic fields an excellent blend of a pool of talented professionals from the field of child education, education research and experts with an infinite wealth of experience in Corporate and Strategic Management.Our classes bring commerce and accounting concepts down to earth. However daunting they might seem to begin with, you will experience what we like to call the 'Oh' Effect'. The focus is on the concept and the application thereof, engaging you in a way which makes learning easy and importantly ""fun""  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Logo-1-148175d0-5b93-43b0-af94-3d1734aa286d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Logo-1-148175d0-5b93-43b0-af94-3d1734aa286d.jpg , ","Advanced Level (A-Level) Maths Tuitions , Advanced Level (A-Level) Physics Tuitions , AIEEE Coaching , AIPMT Coaching , B.Com Coaching , BCA Entrance Exam Coaching , Biology Tuitions (11th & 12th) , CACPT Coaching , CBSE Accounts (11th & 12th ) Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , Chartered Accountant Coaching , Chemistry Tuitions (11th & 12th) , Classroom Tuitions , College Tuitions for Accounts, Finance, Statistics , College Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , Commerce Tuitions (11th & 12th STD) , Computer Science Tuitions (11th & 12th STD) , CS Coaching , Daily Classes , Economics Coaching Classes (11th & 12th STD) , Evening Classes , Holiday Classes , IB Chemistry Tuitions , IB Maths Tuitions , IB Physics Tuitions , ICSE Biology Tuitions , ICSE Chemistry Tuitions , ICSE Maths Tuitions , ICSE Physics Tuitions , ICWA Coaching , IGCSE Accounts 11th & 12th , IGCSE Chemistry Tuitions , IGCSE Economics 11th & 12th , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IIT Engineering Entrance Coaching , IIT HSEE Coaching , IIT JAM Coaching , IIT-JEE Coaching , JEE Advanced Coaching , Medical EAMCET Coaching , Medical Entrance Coaching , NCHMCT JEE Coaching , NEET Entrance Coaching , Summer Classes , WBJEE Coaching , Weekend Classes , "
196845,Inspiral Coaching Centre,+91 33 30696039,,,,,Canal Side Road,Garia,700084,kolkata,India,swagatabiswas00@gmail.com,,Swagata Biswas,"Sunday: 9 AM - 9.30 PM, Monday - Friday: 4 PM - 9.30 PM, Saturday: 9 AM - 9.30 PM","IIT Engineering Entrance Coaching , School Tuitions for Math, Physics, Chemistry , School Tuitions for All Subjects , Spoken English Classes , ISC Tuitions for 11th & 12th , Chemistry Tuitions (11th & 12th) , Biology Tuitions (11th & 12th) , CBSE Tuitions for English , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , IGCSE Maths Tuitions , IGCSE Physics Tuitions , ICSE English Tuitions , ICSE Physics Tuitions , ICSE Chemistry Tuitions , ICSE Biology Tuitions , IGCSE Chemistry Tuitions , AIEEE Coaching , AIPMT Coaching , 10th STD Tuitions , WBJEE Coaching , JEE Advanced Coaching , CBSE Accounts (11th & 12th ) Tuitions , IIT-JEE Coaching , 9th STD Tuitions , School Tuitions for Biology , ","Inspiral Coaching Centre for Learning has immense experience in this business. We provide coaching for IIT Engineering Entrance Coaching, College Tuitions for Accounts, School Tuitions for Math, Physics, School Tuitions for Accounts, School Tuitions for All Subjects, Spoken English Classes, AIEEE Coaching, AIPMT Coaching, 10th STD Tuitions, IIT-JEE Coaching, 9th STD Tuitions Etc. Our motto is to provide the best teaching to the students. We have a huge list of impressive success of students. We promise a better future for your children in higher education and knowledge. We make your life better and brighter. Contact us for further details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/9909-3462fb5f-c981-4001-b63f-8433a41e84b8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3322-de62a54b-48d7-4614-8e73-732866c4fa9b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7271-bc9702a9-8973-4a3e-a92a-dd2953d14dd0.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7537-9a475b0e-23c1-4201-a2ad-864166aa1b29.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/9909-3462fb5f-c981-4001-b63f-8433a41e84b8.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3322-de62a54b-48d7-4614-8e73-732866c4fa9b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7271-bc9702a9-8973-4a3e-a92a-dd2953d14dd0.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7537-9a475b0e-23c1-4201-a2ad-864166aa1b29.jpg , ","10th STD Tuitions , 9th STD Tuitions , AIEEE Coaching , AIPMT Coaching , Biology Tuitions (11th & 12th) , CBSE Accounts (11th & 12th ) Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for English , CBSE Tuitions for Maths , CBSE Tuitions for Physics , Chemistry Tuitions (11th & 12th) , Classroom Tuitions , Daily Classes , Evening Classes , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IIT Engineering Entrance Coaching , IIT-JEE Coaching , ISC Tuitions for 11th & 12th , JEE Advanced Coaching , School Tuitions for All Subjects , School Tuitions for Biology , School Tuitions for Math, Physics, Chemistry , Spoken English Classes , WBJEE Coaching , "
196846,Erudite Education,+91 33 33254021,,,,,"3B, Camac Street, 2nd Floor",Park Street,700016,kolkata,India,cat.sulekha@erudite.in,http://www.erudite.in,Sonali Bose,Monday - Sunday: 10 AM - 7 PM,"Common Management Aptitude Test (CMAT) Coaching , CAT Coaching , Banking Tuitions , MBA & BBA Coaching , MAT coaching , XAT Entrance Coaching , ","In today's dynamic and competitive world, education is vital for growth and resilience. Erudite, one of the best MBA test preparation Institutes in India, has built a brand which has devoted its entire effort towards providing quality education and training to the students.The institute provides MBA entrance test-prep to enable aspirants to crack prestigious competitive national exams like CAT, XAT, MAT, CMAT etc and gain admissions into professional courses. Erudite is also keenly involved in the field of talent building through its Campus Recruitment Training Programme for engineers and IBPS P.O aspirants.Erudite's Core policy is Student first i.e. interest of the students come above everything. The team of CAT experts ensures that students get personalized attention to overcome their weaknesses. Record of success year on year has proven the efficacy of our Teaching Methodology. Erudite is indeed the best coaching class to join for CAT and other competitive exams.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-961c2099-4f4b-4f0a-a39d-e812fe17cb26.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-c42cee7e-e9cf-49c9-97b6-8875513953a7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-961c2099-4f4b-4f0a-a39d-e812fe17cb26.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-c42cee7e-e9cf-49c9-97b6-8875513953a7.jpg , ","1 Year Program , 6 Months Program , Classroom Tuitions , Daily Classes , XAT Entrance Coaching , "
196847,Rajeev Classes,+91 33 30942286,,,,,"No. 7B, Ekdalia Ballygunge",Ballygunge,700019,kolkata,India,rajeevclasses11@gmail.com,http://www.rajeevclasses.com,Mr. Chotu Khalindia,Monday - Sunday: 9 AM - 9 PM,"Competitive Exams Online Coaching , Medical Entrance Online Coaching , IIT JEE Online Coaching , IIT Engineering Entrance Coaching , ISC Tuitions for 11th & 12th , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , ICSE Maths Tuitions , ICSE Physics Tuitions , AIEEE Coaching , AIPMT Coaching , WBJEE Coaching , JEE Advanced Coaching , WBCS Entrance Exam Coaching , IIT-JEE Coaching , ","""ACCEPTING CHALLENGE TO BRING CHANGE"" - this is one the defining qualities in a teacher. RAJEEV CLASSES was founded in 2013 by Mr. Arvind Kumar Singh and Mr. Rajeev Kumar Singh to train and motivate engineering and medical aspirants. Started at Santoshpur, Kolkata, RAJEEV CLASSES is continuously producing wonderful result every consecutive year with our dedication and skills, and our only challenge to ourselves is to be even better. Our main objective is to provide quality education and the latest teaching strategies to our students who are appearing for engineering and medical exams. We will make sure that our coaching centres produce the top rank-holders of the country's toughest entrance exams. Our dream is to one day make the name ""Rajeev Classes"" synonymous with the providers of best quality coaching for JEE Advanced, JEE Mains, AIPMT, AIIMS, WBJEE and Boards in all of India. Our faculty is highly qualified and quite experienced in the fields of engineering and medical. We take individual care for each and every student. We are the first to bring Kota coaching pattern to Kolkata and Bokaro. We raise awareness and provide all necessary information about the various entrance exams.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5048-0a6d92dd-2327-46f3-9657-3e9b05ee0a58.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5048-0a6d92dd-2327-46f3-9657-3e9b05ee0a58.jpg , ","Classroom Tuitions , Daily Classes , Evening Classes , ICSE Maths Tuitions , ICSE Physics Tuitions , IIT Engineering Entrance Coaching , IIT JEE Online Coaching , IIT-JEE Coaching , ISC Tuitions for 11th & 12th , JEE Advanced Coaching , Medical Entrance Online Coaching , Online Tuitions , WBCS Entrance Exam Coaching , WBJEE Coaching , Weekend Classes , "
196848,Dheyan,+91 33 33147380,,,,,"No. 117/A, Dum Dum Road",Motijheel,700074,kolkata,India,lets_fight2gether@yahoo.co.in,http://www.dheyan.com,Chowdhury,Monday - Sunday : 24 Hrs,"Law Entrance Coaching , SET Entrance Coaching , LSAT Entrance Coaching , AILET Entrance Coaching , CLAT Entrance Coaching , IPS Entrance Exam Coaching , UPSC Coaching , IAS Entrance Coaching , Economics Coaching Classes (9th & 10th STD) , Banking Tuitions , Economics Coaching Classes (11th & 12th STD) , Advanced Economics Coaching Classes (College level and above) , SBI PO Training , WBCS Entrance Exam Coaching , ","DHEYAN was first established in 2005, offering crash courses to students for Law Entrance Tests. Earlier it functioned as NETAJI INSTITUTE OF COMPETITIVE EDUCATION, delivering successful results till recently. In 2012 under the guidance of its mentors and with cooperation from its well wishers, students and guardians it finally became ""DHEYAN"" with the idea & dream of a National Expansion.
Today we provide a varied & unique range of educational programs to inspire and educate STUDENTS and YOUTHS with forward thinking and innovative ideas to help them maintain a balance between themselves & changing the society and attain a Guided SUCCESS.
Our aim is to become the market leader in the educational service sector. DHEYAN uses its extensive knowledge in providing the maximum benefits to the well being of its students.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/new_course-dde41542-76c8-4d51-a5de-1c08666c41b7.jpeg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/logo-b9a3ca73-7e52-4602-9da1-253d3c875b3b.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/grid-img5-29c24309-1695-40d0-81ab-e9cba45f33a9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/grid-img4-d163cd0e-4fff-4d8d-9eaf-bc7fd19b23cd.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/grid-img2-eab707b7-e920-4230-9715-aa3504a5616e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/grid-img1-dfbdcb6e-1232-4aaf-a97d-a00c3c4d4a43.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/new_course-dde41542-76c8-4d51-a5de-1c08666c41b7.jpeg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/logo-b9a3ca73-7e52-4602-9da1-253d3c875b3b.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/grid-img5-29c24309-1695-40d0-81ab-e9cba45f33a9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/grid-img4-d163cd0e-4fff-4d8d-9eaf-bc7fd19b23cd.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/grid-img2-eab707b7-e920-4230-9715-aa3504a5616e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/grid-img1-dfbdcb6e-1232-4aaf-a97d-a00c3c4d4a43.jpg , ","Economics Coaching Classes (9th & 10th STD) , IAS Entrance Coaching , IPS Entrance Exam Coaching , LSAT Entrance Coaching , SBI PO Training , SET Entrance Coaching , UPSC Coaching , WBCS Entrance Exam Coaching , "
196849,Academy of Fashion & Art,+91 33 33147397,,,,,"No. 46-E , Flat No. 1-A, Rafi Ahmed Kidwai Road Crossing",Park Street,700016,kolkata,India,afahemaa@gmail.com,,Pankaj,Monday - Sunday: 10 AM - 6 PM,"B.Arch Coaching Classes , NIFT/NID/CEED/FDDI Training , NATA Coaching , Fashion Design Entrance Coaching , Architecture Entrance Coaching , ","Shree Knowledge Systems Pvt. Ltd. for Learning has immense experience in this business. We provide coaching for all boards. Our motto is to provide the best teaching to the students. We have a huge list of impressive success of students. We promise a better future for your children in higher education and knowledge. We make your life better and brighter. Education is a primary ingredient and also a key to success in any profession. With a booming economy and a young population, there is a tremendous need for the quality education to equip this population with skills to handle assignments that spring from such a growing economy like ours. Contact us for further details.  ",,
196850,Srijee Innotech Academy,+91 33 30942548,,,,,"No.5, Lake East, 4th Road",Santoshpur Avenue,700075,kolkata,India,srirpa@yahoo.co.in,,Srirupa Banerjee,Monday - Saturday: 10.30 AM - 9.30 PM,"Computer Science Tuitions (11th & 12th STD) , Physics Tuitions (11th & 12th) , ISC Tuitions for 11th & 12th , Medical Entrance Coaching , Chemistry Tuitions (11th & 12th) , IB Chemistry Tuitions , Biology Tuitions (11th & 12th) , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IB Maths Tuitions , IB Physics Tuitions , ICSE Maths Tuitions , ICSE Physics Tuitions , ICSE Chemistry Tuitions , ICSE Biology Tuitions , IGCSE Chemistry Tuitions , AIEEE Coaching , AIPMT Coaching , WBJEE Coaching , Pre-Medical Test (PMT) Entrance Coaching , School Tuitions for Biology , ","Srijee Innotech Private Limited has helped many students in Science fields. However, you should realize that while we are the enablers, it is you who has to be the driving force behind your success, while we at Success Srijee Innotech Private Limited are going to be the catalysts. We have carefully prepared the study material which is updated as per the latest examination pattern. For 11th and 12th students from Science field we help to them to teach in a very way. We have well and qualified trainer for Chemistry, Physics, Maths and Biology. For further queries contact to us.
  ",,"1 Year Program , AIEEE Coaching , AIPMT Coaching , Biology Tuitions (11th & 12th) , Chemistry Tuitions (11th & 12th) , Classroom Tuitions , Computer Science Tuitions (11th & 12th STD) , Daily Classes , ICSE Maths Tuitions , ICSE Physics Tuitions , IGCSE Chemistry Tuitions , IGCSE Maths Tuitions , IGCSE Physics Tuitions , ISC Tuitions for 11th & 12th , Medical Entrance Coaching , Physics Tuitions (11th & 12th) , Pre-Medical Test (PMT) Entrance Coaching , Rs.1000-Rs.5000 , School Tuitions for Biology , WBJEE Coaching , "
196851,TICS - IAS,+91 33 30696034,,,,,"No. 90/6A, M.G. Road, YMCA Building, 2nd Floor",College Street,700007,kolkata,India,shekhar.atri@gmail.com,http://www.ticsias.com,Chandra Shekhar,"Monday - Saturday: 8 AM - 8 PM, Sunday: 9 AM - 5 PM","IPS Entrance Exam Coaching , UPSC Coaching , IAS Entrance Coaching , WBCS Entrance Exam Coaching , ","We are now in our eighth year, having the privilege of supporting hundreds of selections in the Civil Services and many a thousand in other examinations at Allahabad and Kolkata. Such a track record rightly makes THE INSTITUTE for competitive studies (TICS-IAS) one of the Top Most IAS & PSC Examination coaching institutes in the country. The inspiring achievements of our students have been the outcome of collective vision & hard work of our committed team of educators. The members of our teaching team are drawn from the pool of skilled and experienced academicians from Delhi,Allahabad and many other cities. These mentors are widely acclaimed for their academic excellence and sharp focus on the IAS and PSC Examinations. Above all, they are as passionate about your success as much you are. When your passion meets our method & commitment, a Top-rank is a definite outcome.That is why we sy yes selection is our PASSION.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-972cef52-43d7-444c-a1ea-f2688559590f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-6e862fbc-2872-4304-8d02-bc1768d3c713.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-512d9274-9483-488b-b86b-08ed3b96b860.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-3df2e76e-aa64-4e52-9b15-6e4ed18f6e4b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-c19bcab6-7fd6-46b2-a658-6684a8ef2acb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-972cef52-43d7-444c-a1ea-f2688559590f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-6e862fbc-2872-4304-8d02-bc1768d3c713.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-512d9274-9483-488b-b86b-08ed3b96b860.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-3df2e76e-aa64-4e52-9b15-6e4ed18f6e4b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-c19bcab6-7fd6-46b2-a658-6684a8ef2acb.jpg , ","Classroom Tuitions , Daily Classes , Evening Classes , "
