EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
182566,Academy of Fashion & Art,9308080044,,,,,"No. 601, Verma Center",Boring Road,600001,patna,India,afapatna@gmail.com,,Pankaj,Monday - Sunday: 10 AM - 6 PM,"B.Arch Coaching Classes , NIFT/NID/CEED/FDDI Training , NATA Coaching , Fashion Design Entrance Coaching , Architecture Entrance Coaching , "," Shree Knowledge Systems Pvt. Ltd. for Learning has immense experience in this business. We provide coaching for all boards. Our motto is to provide the best teaching to the students. We have a huge list of impressive success of students. We promise a better future for your children in higher education and knowledge. We make your life better and brighter. Education is a primary ingredient and also a key to success in any profession. With a booming economy and a young population, there is a tremendous need for the quality education to equip this population with skills to handle assignments that spring from such a growing economy like ours. Contact us for further details.  ",,
182567,Warriors Academy,9721645003, 9473745001,,,,,Kapoorthala,226006,patna,India,warriorsacademy06@gmail.com,http://www.warriorsacademy.co.in,Praveen Pandey,Monday - Sunday: 9 AM - 7 PM,"Defence/Police Exam Coaching , Naval Academy Exam Coaching , CDS Exam Coaching , CISF Exam Coaching , CRPF Exam Coaching , BSF Exam Coaching , ITBP Exam Coaching , CPF Exam Coaching , Army Coaching , Navy Coaching , Indian Air Force Exam Coaching , Sainik School Entrance Coaching , RIMC Exam Coaching , MP SI Coaching , Sub Inspector Exam Coaching , AFCAT Coaching , ACC Coaching , TA Coaching , SSB & NDA Coaching , ","We are a team of career coaching experts, who provide complete grooming to aspirants who appear for written examination for NDA and CDSE and SSB interview to become defence officers.
Our faculty panel comprises of ex-members of Service Selection Board (SSB), senior defence officers (retired from Army, Navy and Air Force), psychologists, personality development gurus and some of the renowned names in defence career guidance.
We are committed to bring out the best in you. We will make every effort to see you realize your goal.
Training for preparing retiring/retired officers for their resettlement in civil life is one of the major functions entrusted to the DGR. The resettlement training courses provide nationally/internationally accepted certification to facilitate officers to get quick employment within/outside the country. In addition six months courses being conducted at reputed B Schools (IIMs  Ahmedabad, Kolkata, Bangalore, Indore, XLRI Jamshedpur, MDI Gurgaon, NMIMS Mumbai.  ",,"CISF Exam Coaching , Classroom Tuitions , CPF Exam Coaching , CRPF Exam Coaching , Daily Classes , Evening Classes , Indian Air Force Exam Coaching , ITBP Exam Coaching , MP SI Coaching , Naval Academy Exam Coaching , Navy Coaching , RIMC Exam Coaching , Sainik School Entrance Coaching , SSB & NDA Coaching , Sub Inspector Exam Coaching , TA Coaching , "
182568,Robomate Plus,18002100009,,,,,All Offline & Online Courses Available,Mulund West,400036,patna,India,robomateleads@mteducare.com,,Mehek Khan,Monday - Saturday: 9 AM - 8 PM,,"MT EduCare Ltd, we believe in facilitating an environment to excel in studies. We offer world class infrastructure in addition to curriculum taught by the subject matter experts of the highest caliber backed by well  researched content and customized evaluation systems. Our interactive and new age methodologies not only make learning as an enjoyable experience but also create motivated and energetic students ready to excel in their exams.. Contact us for further details.  ",,
182569,Engineers Academy,8094441777,,,,,"4th Floor, Magadh Complex, Main Road",Kankarbagh,800020,patna,India,patna@engineersacademy.org,http://www.engineersacademy.org,Mahendra Choudhary,Monday - Sunday: 7.30 AM - 8.30 PM,"GATE Coaching , Big Data Analytics Online Training , Engineering Tuitions , R Analytics Online Training , Mechanical Engineering Tuitions , GATE Biotechnology Coaching , GATE Civil Engineering Coaching , Aerospace Engineering Tuitions , Biomedical Engineering Tuitions , GATE Chemical Engineering Coaching , GATE Computer Science Coaching , Biomechanical Engineering Tuitions , Automotive Engineering Tuitions , GATE Chemistry Coaching , GATE Mathematics Coaching , Civil Engineering Tuitions , Architectural Engineering Tuitions , GATE Physics Coaching , GATE Electronics Engineering Coaching , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , SSC Entrance Exam Coaching , GATE Electrical Engineering Coaching , GATE Instrumental Engineering Coaching , RRB Entrance Exam Coaching , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , GATE Mechanical Engineering Coaching , GATE Production Engineering Coaching , Chemical Engineering Tuitions , Environmental Engineering Tuitions , GATE Industrial Engineering Coaching , GATE Coaching for Other Subjects , Materials Science Engineering Tuitions , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , UPSC Coaching , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , Diploma in Banking & Finance (DBF) Coaching , IBPS Bank Interview Coaching , Show less « , ","Engineers Academy is a leading Educational institution based in Various Parts of India. A venture of the renowned Engineers Academy group, the Institute has established itself as a high quality education provider with prime focus on holistic learning and imbibing competitive abilities in students.Engineers Academy is for the commitment of quality in education as to bring out the best among best.The Institute prides itself in being the only multi-discipline class room in the various parts of India, spread over 15 centres and equipped with world class facilities.Engineers Academy promises to become one of the India's leading Institute with an acknowledged reputation for excellence in research and teaching and Teaching Methodology. With its outstanding faculty, world class teaching standards, and innovative academic programmes, Engineers Academy intends to set a new benchmark in the Indian education system.Our R & D cell has developed a 'Full-Proof' methodology to prepare our student for IES, GATE & PSU's Exam. It builds up the student's knowledge, confidence, mental & emotional stability. Once a student has enrolled for our courses he needs no external help.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/003-92520eef-00dc-4fbb-9f9c-86dce30dbfa5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-a7344197-415c-4893-a3bd-a2aa8f0abeeb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-0bd41633-fee6-414c-b5ec-8d94b1af3afb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-5e441900-e8d6-4ea3-a10e-46a643c65f16.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-a51a3da3-819a-41d3-9f6d-17276fb65b25.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-fcb5df63-9ec6-4a3b-9d1d-c9e74ae8cd85.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6-d1711856-44c8-43dd-b863-9f055d5a2711.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7-f13ca403-e3b6-45e5-90bd-b68f80540f27.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/003-92520eef-00dc-4fbb-9f9c-86dce30dbfa5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-a7344197-415c-4893-a3bd-a2aa8f0abeeb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-0bd41633-fee6-414c-b5ec-8d94b1af3afb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-5e441900-e8d6-4ea3-a10e-46a643c65f16.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-a51a3da3-819a-41d3-9f6d-17276fb65b25.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-fcb5df63-9ec6-4a3b-9d1d-c9e74ae8cd85.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6-d1711856-44c8-43dd-b863-9f055d5a2711.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7-f13ca403-e3b6-45e5-90bd-b68f80540f27.jpg , ","BHMS Coaching , Biomechanical Engineering Tuitions , Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Chemical Engineering Tuitions , Civil Engineering Tuitions , Diploma in Banking & Finance (DBF) Coaching , DSSB Coaching , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering EAMCET Coaching , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , GATE Biotechnology Coaching , GATE Chemical Engineering Coaching , GATE Chemistry Coaching , GATE Civil Engineering Coaching , GATE Coaching for Other Subjects , GATE Computer Science Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Industrial Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mathematics Coaching , GATE Mechanical Engineering Coaching , GATE Physics Coaching , GATE Production Engineering Coaching , Genetic Engineering Tuitions , IAS Entrance Coaching , IB Maths Tuitions , IB Physics Tuitions , IBPS Bank Interview Coaching , IELTS Coaching , IES Coaching , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IIT Engineering Entrance Coaching , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , MCA Entrance Coaching , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Microelectronic Engineering Tuitions , PSU Entrance Coaching , PWD/CPWD Entrance Coaching , R Analytics Online Training , Robotics Engineering Tuitions , RRB Entrance Exam Coaching , Software Engineering Tuitions , SSC Entrance Exam Coaching , SSC JE Entrance Coaching , Telecommunication Engineering Tuitions , TOEFL Coaching , UPSC Coaching , "
182570,Pahal Design,7033592718, 9304190492,,,,"Pahal, Geeta Complex, 2nd Floor, Boring Road Chauraha",Nageshwar Colony,800001,patna,India,patna@pahaldesign.com,http://www.pahaldesign.com,D.K.Singh & Santosh Rai,,"Job Training , Corporate Training Providers , Fashion Designing Training , NIFT/NID/CEED/FDDI Training , NATA Coaching , Spoken English Training (Corporate) , Fashion Design Entrance Coaching , Fine Arts Course , ","Pahal School of Design is the original pioneer in conducting coaching classes for preparation of the Entrance exams of : Design Colleges : NID, NIFT, CEED, UCEED, PEARL, SOFT, CEPT ??SID, AIEED ARCH, SRISHTI,  MITID, IIAD, UID, UPES, WSD, IICD, IMS-DIA, IIGJ, MODY Architecture colleges : NATA, JEE (B.Arch.), MAH-AR-CET, CEPT, APIED Fine Art colleges : MSU, JJ, Shantiniketan, DCA, RACHNA SANSAD, GCA, CHITRAKALA, RAHEJA, BHU Many of our faculties are alumni of NIFT, NID and College of Arts. Others are experienced Post-Graduates in English, Maths and Management. . 17th Years of excellence with presence in Delhi, Lucknow, Kanpur, Dehradun, Patna, Ranchi, Bhopal, Pune and Bangalore. Pahal have the 93.1% result ratio for NIFT/NID and rest get into other prestigious colleges. Almost 4082 students have qualified for NIFT/NID. In NATA, many of them scored 100+ and more than thousands student qualified for NATA.  Pahal was established in 1999, by some creative and energetic people in supervision of Kiran Singh. Pahal commits itself to preparing you for the best fit with the creativity, in line with your aspiration and expectation. We promise a learning experience that you will remember for all your life. The institute seeks to provide extensive range of training in the least amount of time, with the use of the most modern techniques and facilities. In the past 17 years, 4082 students have passed through these doors to excel in varied streams of design and have made successful careers for themselves. The training at Pahal not only provides you success as an Artist but also helps you establish your career in the fields of applied design, Sculpture, Multimedia, Art Teaching, Architect, Advertising, Photography and many more. Vision & Mission To cultivate a creative environment in such a way that emphasizes the social, emotional, physical, intellectual development of a designer in everyone to enhance the quality of life and design. To craft an ambiance to promote confident possession and giving a proper guidance of an individuals innate talents, acquire the skills needed for being successful on the design dais and establish values that will enable him to act with thoughtfulness and humanity.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/yp%201-a6a28626-5259-4540-af5a-705472dd2c37.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/yp2-5a328f42-861a-4de5-9005-3cd266fce620.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/yp3-56fad0ef-25f3-4e17-81b1-b1e33260075b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/yp4-4c50feca-3128-4293-a529-d0104b70f9bf.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/yp5-4902e280-576c-4858-92cd-8faf6bf7de94.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/yp6-7ecb3347-4164-4052-884f-d264743653e4.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/yp7-2c2e18f3-1a8e-4f17-b362-10fdac7b817d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/yp%201-a6a28626-5259-4540-af5a-705472dd2c37.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/yp2-5a328f42-861a-4de5-9005-3cd266fce620.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/yp3-56fad0ef-25f3-4e17-81b1-b1e33260075b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/yp4-4c50feca-3128-4293-a529-d0104b70f9bf.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/yp5-4902e280-576c-4858-92cd-8faf6bf7de94.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/yp6-7ecb3347-4164-4052-884f-d264743653e4.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/yp7-2c2e18f3-1a8e-4f17-b362-10fdac7b817d.jpg , ","6 Months Program , Daily Classes , Evening Classes , Short Term , Spoken English Training (Corporate) , Summer Classes , Weekend Classes , "
182571,Perfect  Mathametics Classes,9155962008,,,,,"No. 116,Boring Road, Boring Road",Gandhi Nagar,800001,patna,India,p.mathematics@rediffmail.com,http://www.perfectclasses.net,Rakesh Kumar,Monday - Sunday : 24 Hrs,"Physics Tuitions (11th & 12th) , IIT Engineering Entrance Coaching , Chemistry Tuitions (11th & 12th) , Biology Tuitions (11th & 12th) , Advanced Level (A-Level) Maths Tuitions , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IB Maths Tuitions , IIT HSEE Coaching , ICSE Maths Tuitions , ICSE Physics Tuitions , IIT-JEE Coaching , Maths Tuitions 11th &12th , ",,"http://localserviceassets.blob.core.windows.net:80/businessphoto-t/IMG-20160705-WA0000-5d6ca4ae-c60b-451f-b5eb-dc8b586d6669.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/IMG-20160705-WA0000-5d6ca4ae-c60b-451f-b5eb-dc8b586d6669.jpg , ","1 Month Program , 1 Week Program , 1 Year Program , 2 Weeks Programs , 3 Months Program , 6 Months Program , Chemistry Tuitions (11th & 12th) , Classroom Tuitions , Daily Classes , Evening Classes , Holiday Classes , IB Maths Tuitions , ICSE Maths Tuitions , ICSE Physics Tuitions , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IIT Engineering Entrance Coaching , IIT HSEE Coaching , IIT-JEE Coaching , Maths Tuitions 11th &12th , Physics Tuitions (11th & 12th) , Short Term , Summer Classes , Weekend Classes , "
182572,CCT-Competent Commerce Tutorial,9431645167,,,,,"B-25,1st,Patrakar Nagar,North of Kendriya Vidayala Main Gate",Kankarbagh,800020,patna,India,kumarsanjeet404@gmail.com,http://www.cctpatna.com,Sanjeet Kumar,Monday - Sunday,"CACPT Coaching , Commerce Tuitions (11th & 12th STD) , Spoken English Classes , B.B.A. Entrance Coaching , Chartered Accountant Coaching , Advanced Economics Coaching Classes (College level and above) , IGCSE Accounts 11th & 12th , B.Com Entrance Exam Coaching , B.Com Coaching , M.Com Coaching , CBSE Accounts (11th & 12th ) Tuitions , Chartered Financial Analyst (CFA) Coaching , ICWA Coaching , ACS Coaching , ","CCT-Competent Commerce Tutorial Coaching Centre  and possess prominent professionals who can provide you with the best coaching. We are providing Coaching & Tuitions for B.B.A. Entrance Coaching B.Com Coaching B.Com Entrance Exam Coaching CACPT Coaching CBSE  Chartered Financial Analyst (CFA) Coaching CA/ICWA/ACS in Patna . We are known for our quality services, competitive prices and customer satisfaction. Contact us for further details. We welcome you to experience the exemplary service of ours.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(1)-771f38e1-f081-4589-9377-2ceea15dea3d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(2)-e14e3043-0201-45fe-bdc5-756f385bae17.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(3)-9c04cbcb-e024-4d61-ac4b-60468fe21424.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(4)-dfbdea21-d5ce-4175-b0ec-2e83439378b2.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(5)-6a9bca33-ae78-4caa-a1a4-138006a0db98.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(6)-f151c13a-4b51-47b1-b8b6-ffa06b3c22a1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(8)-faec4ed3-a7ca-49ec-ab5b-04ee37643881.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(9)-3348f9d9-b1de-473c-881b-cb05b0dce50a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(10)-9c7349d6-e0e5-4f6f-bc87-f83f1d8eba14.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(11)-3d009185-6caf-47b4-ac27-db9808202bbb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(13)-27477246-686b-4777-9344-67ef4a119c19.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(14)-f2a0075f-5146-48ab-b47e-a6d92f312277.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(15)-2de9be6f-702c-4db4-a88c-708e9d7eed6f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(1)-0381f2e9-7dd7-46d1-b6c3-087d6b52dc7f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(2)-77436656-ecfe-4dfc-96a8-f3d5dbfefb2d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(1)-7dadf37d-dca0-4fe5-9a0b-6bf6cbf8ff1f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1220832%20(2)-cfed2a4b-29f8-471d-b304-853716eca207.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(1)-771f38e1-f081-4589-9377-2ceea15dea3d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(2)-e14e3043-0201-45fe-bdc5-756f385bae17.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(3)-9c04cbcb-e024-4d61-ac4b-60468fe21424.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(4)-dfbdea21-d5ce-4175-b0ec-2e83439378b2.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(5)-6a9bca33-ae78-4caa-a1a4-138006a0db98.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(6)-f151c13a-4b51-47b1-b8b6-ffa06b3c22a1.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(8)-faec4ed3-a7ca-49ec-ab5b-04ee37643881.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(9)-3348f9d9-b1de-473c-881b-cb05b0dce50a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(10)-9c7349d6-e0e5-4f6f-bc87-f83f1d8eba14.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(11)-3d009185-6caf-47b4-ac27-db9808202bbb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(13)-27477246-686b-4777-9344-67ef4a119c19.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(14)-f2a0075f-5146-48ab-b47e-a6d92f312277.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(15)-2de9be6f-702c-4db4-a88c-708e9d7eed6f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(1)-0381f2e9-7dd7-46d1-b6c3-087d6b52dc7f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(2)-77436656-ecfe-4dfc-96a8-f3d5dbfefb2d.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(1)-7dadf37d-dca0-4fe5-9a0b-6bf6cbf8ff1f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1220832%20(2)-cfed2a4b-29f8-471d-b304-853716eca207.jpg , ","CACPT Coaching , CBSE Accounts (11th & 12th ) Tuitions , Chartered Accountant Coaching , Chartered Financial Analyst (CFA) Coaching , Classroom Tuitions , Commerce Tuitions (11th & 12th STD) , ICWA Coaching , IGCSE Accounts 11th & 12th , M.Com Coaching , Spoken English Classes , "
182573,The Fame Academy,9471892276,,,,,M2/19,Boring Road,560040,patna,India,thefameacademycs@gmail.com,,Kaushlendra Kumar,Monday - Friday: 7 AM - 7 PM,"CACPT Coaching , UPSC Coaching , B.B.A. Entrance Coaching , Certified Financial Executive (CFX) Coaching , Biomedical Tuitions , BSC Entrance Exam Coaching , BCA Entrance Exam Coaching , B.A English Coaching , Financial Modeling Course Training , BJMC Coaching , SSB & NDA Coaching , AMIE Coaching , AMAESI Coaching , ACCA Training , ACS Coaching , ","The Fame Academy , is a leading coaching and tuition center in which we can learn more of all subjects. We there by understand the difficulties of all the customers. and we work according to those request. we do not accept customers or students without parents or guardians allowence and we started this on 2015. we would like to your stepping stones for your growth in your life. for more enquiries and details or any futher qureiws kindly please contact us.  ",,"B.B.A. Entrance Coaching , BCA Entrance Exam Coaching , Biomedical Tuitions , BJMC Coaching , BSC Entrance Exam Coaching , CACPT Coaching , Certified Financial Executive (CFX) Coaching , Financial Modeling Course Training , SSB & NDA Coaching , UPSC Coaching , "
182574,Tayal Institute Pvt. Ltd.,+91 22 49432704,,,,,"No. 403, D- Definity, JP Nagar, Road No. 1",Goregaon East,400062,patna,India,sales@tayalinstitute.com,http://www.tayalsirvod.com,Rajesh Tayal,Monday - Sunday: 9 AM - 7 PM,"CS Coaching , CMA Coaching , Chartered Accountant Coaching , Chartered Financial Analyst (CFA) Coaching , ","Tayal Institute Private Limited is the first institute in India to provide coaching exclusively to CA Final students only. Another first for us is to give a choice to the students for selecting the subject they want to do with us instead of forcing them to join.The institute was founded by CS Prof. Rajesh Tayal, in the year 2004 and since then it has recorded growth year over years. Every time some of our students are placed in merit list.Our courses are built in partnership with technology leaders and are relevant to industry needs.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , ",
182575,Sawarn - Chartered Commerce,0612 - 3222212, 9570718434, 9504570736,,,"3rd Floor, Radhika Complex",Boring Road,800001,patna,India,gautamsawarn@gmail.com,http://www.charteredcommerce.com,Gautam Sawarn,Monday - Sunday: 8 AM - 7.30 PM,"Enterprise Training , Software Tools Training , Home & Private Tuitions , MS Office Training , B.Com Home Tutors , Integrated Professional Competency (IPCC) Coaching , CACPT Coaching , Commerce Tuitions (11th & 12th STD) , CS Coaching , Tally Training , CAT Coaching , College Tuitions for Accounts, Finance, Statistics , CMA Coaching , Economics Coaching Classes (9th & 10th STD) , Chartered Accountant Coaching , MBA & BBA Coaching , Economics Coaching Classes (11th & 12th STD) , Advanced Economics Coaching Classes (College level and above) , 2nd Year PUC Coaching , 1st Year PUC Coaching , M.Com Entrance Exam Coaching , B.Com Coaching , M.Com Coaching , ","Dear Student 
Welcome to the exciting, enriching world of Chartered Commerce.Now a days it is common sight to see worried student or even more their anxious parents continuously exploring possible career opportunities. Taking about making the choices.it is important that you choose to do something that highlights your abilities. reffects your personality, something that gives yiou a sense of satisfaction ana at the same tie enhances your self system. commerece is one of the most important fact of the business with globlization changing the nature of economic activity across the globe A CAREER IN COMMERECE COULD BE THE BEST PICK FOR AN ASPIRANT.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-acc2bd37-c0c5-4191-b075-fd9533c26d48.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-69aaa25a-1eaf-47ac-84b8-20e170a02417.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/ab-41795354-ca8c-47e0-a6e2-417a7a423a9b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/bc-e350a531-a11e-4919-b434-ea79082e3c98.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/cd-a97f8ef6-73fe-40b0-b7d7-2abcad60bc15.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/de-d0a88d2a-052f-4699-bba8-17cedf940f3a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-acc2bd37-c0c5-4191-b075-fd9533c26d48.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-69aaa25a-1eaf-47ac-84b8-20e170a02417.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/ab-41795354-ca8c-47e0-a6e2-417a7a423a9b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/bc-e350a531-a11e-4919-b434-ea79082e3c98.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/cd-a97f8ef6-73fe-40b0-b7d7-2abcad60bc15.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/de-d0a88d2a-052f-4699-bba8-17cedf940f3a.jpg , ","CACPT Coaching , CAT Coaching , Chartered Accountant Coaching , CMA Coaching , College Tuitions for Accounts, Finance, Statistics , Commerce Tuitions (11th & 12th STD) , CS Coaching , Economics Coaching Classes (11th & 12th STD) , Economics Coaching Classes (9th & 10th STD) , Integrated Professional Competency (IPCC) Coaching , M.Com Coaching , M.Com Entrance Exam Coaching , MBA & BBA Coaching , MS Office Training , Tally Training , "
