EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
168220,Cochin International Language Academy,0484 - 2983555, 9496160179, 9961596480,,,"4th Floor, INKEL Tower 1, Angamaly South",Angamaly,683573,thrissur,India,cilaielts@gmail.com,http://www.cilakerala.com,Sojan Mathew,"Monday - Friday: 9 AM - 5 PM, Saturday: 9 AM - 3.30 PM","Corporate Training Providers , Competitive Exams Online Coaching , Language Online Training , IELTS Online Coaching , Spoken English Online Training , Spoken English Classes , IELTS Coaching , TOEFL Coaching , Spoken English Training (Corporate) , ","Cochin International Language Academy (CILA) is an international institution for English Language Training and Teacher Training. We create international opportunities for English Language teachers in Non-English Speaking regions such as Western Europe, Central / Eastern Europe, Asia, Latin America, Middle East / North Africa and Sub-Saharan Africa. We also provide English Language training to students who wish to study or work abroad particularly in an English speaking country. Cochin International Language Academy (Cila) is owned and managed by Js Training Solutions Private Limited, a company registered and incorporated under the Companies Act, 1956. CILA is located in Angamaly, near to the Cochin International airport. It is only 2 minutes drive to the Angamaly Railway station. The School is managed by native English speakers from the UK and Canada with multiple years of experience in teaching English. We provide variety of courses such as the Trinity Cert. TESOL for English Teachers to become a qualified English teacher to speakers of other languages, IELTS for those who wish to work or study abroad, Business English, Spoken English for Adults, Spoken English for Children and even 1 to 1 Skype sessions. Our teachers are well qualified and trained to teach English using the modern methods. Students enjoy learning English in our centre. Two of our teachers are former IELTS examiners and have worked in countries around the world such as the UK, Canada and in the Middle East. So you can be confident that your learning is 100% correct. So, CILA becomes your first choice to learn and teach the English Language. Contact us for more details.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/cila%2520building-85294eb3-133e-4afd-b71a-ce8730a1f954-faca71a7-1502-4f27-9a80-72e026c1c809.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2221-c0ac6d3a-d4b3-4856-930d-43a8e9bdae3e-b498ab47-2505-405a-b5b7-6830e57e7e7c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8420-4587d7d6-8f27-4926-8342-b62aa71dd820-ed1b9c77-92ab-43eb-8773-f5fb32fcfa93.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5176-cb3c0e85-85c4-42e3-9ed7-239d7cbf7c04-dafd3b8d-ff48-4030-b1be-506bc9c61d41.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8868-47667ab2-36bd-4984-a9e2-fce328633dd2-3bba0a99-4822-45e5-be8e-340852aaad45.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6378-21aa505b-5198-4136-9ae3-4cdee9601827-d2df78ef-7da5-4818-b4d9-5bac3c8955fe.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/8898-3e35eeeb-5c45-480b-b2ac-08edf1096f15-b464142c-8dcb-4a57-9513-3090c4b712f7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/7521-0ab10d71-bcf4-4334-9cd0-00c534c745c4-f9320ba0-176c-4a90-ac23-5227a52862b3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/9171-5f60937c-fc27-43b9-9cc9-8ba7afd1aad9-531897fc-41cf-47fb-b664-d4fcac77a21e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5158-3723f89c-14cb-4575-b009-89358a406e58-6eecc599-c8ab-4f78-927c-8f6f81837f8b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/cila%2520building-85294eb3-133e-4afd-b71a-ce8730a1f954-faca71a7-1502-4f27-9a80-72e026c1c809.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2221-c0ac6d3a-d4b3-4856-930d-43a8e9bdae3e-b498ab47-2505-405a-b5b7-6830e57e7e7c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8420-4587d7d6-8f27-4926-8342-b62aa71dd820-ed1b9c77-92ab-43eb-8773-f5fb32fcfa93.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5176-cb3c0e85-85c4-42e3-9ed7-239d7cbf7c04-dafd3b8d-ff48-4030-b1be-506bc9c61d41.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8868-47667ab2-36bd-4984-a9e2-fce328633dd2-3bba0a99-4822-45e5-be8e-340852aaad45.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6378-21aa505b-5198-4136-9ae3-4cdee9601827-d2df78ef-7da5-4818-b4d9-5bac3c8955fe.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/8898-3e35eeeb-5c45-480b-b2ac-08edf1096f15-b464142c-8dcb-4a57-9513-3090c4b712f7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/7521-0ab10d71-bcf4-4334-9cd0-00c534c745c4-f9320ba0-176c-4a90-ac23-5227a52862b3.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/9171-5f60937c-fc27-43b9-9cc9-8ba7afd1aad9-531897fc-41cf-47fb-b664-d4fcac77a21e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5158-3723f89c-14cb-4575-b009-89358a406e58-6eecc599-c8ab-4f78-927c-8f6f81837f8b.jpg , ",
168221,TEC Gate,8592005514, 8592005516,,,,"Global Plaza Building, 3rd Floor, Opp Railway Stattion, Vanjikulam Road",Poothole,680004,thrissur,India,enquiry@tecgate.in,http://www.tecgate.in,Vijayan K,Monday - Sunday: 9 AM - 4.30 PM,"GATE Coaching , Engineering Tuitions , GATE Biotechnology Coaching , Mechanical Engineering Tuitions , GATE Civil Engineering Coaching , GATE Chemical Engineering Coaching , Civil Engineering Tuitions , Electrical Engineering Tuitions , GATE Electronics Engineering Coaching , GATE Electrical Engineering Coaching , IT & Computer Science Engineering Tuitions , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , Physics Tuitions (11th & 12th) , Biotechnology Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Engineering Graphics Tuitions , Polytechnic Entrance Coaching , Chemistry Tuitions (11th & 12th) , IES Coaching , ","TEC Gate Education Service was established in the year 2008 to enhance the skill of engineering students to crack competitive exams.
Our fast growing country, need faster minds with good quality engineers. We contribute quality engineers by providing GATE/IES coaching. For that we have a faculty pool all over India. We are providing national level coaching with national level result in kerala. Apart from GATE and IES, we are providing PSU/NET/LET coaching. We are providing free coaching for financially backward students with good academic performance.
Our youngster has good knowledge about subject, but lack of communication skill in english. For an extent to provide good communication in English we started English training with the support of DIRECT ENGLISH an International English training group.  ",,"1 Year Program , 3 Months Program , 6 Months Program , Biotechnology Engineering Tuitions , Chemistry Tuitions (11th & 12th) , Civil Engineering Tuitions , Classroom Tuitions , Daily Classes , GATE Civil Engineering Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , IES Coaching , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Mechanical Engineering Tuitions , Online Tuitions , Physics Tuitions (11th & 12th) , Polytechnic Entrance Coaching , "
168222,Tayal Institute Pvt. Ltd.,+91 22 49432704,,,,,"No. 403, D- Definity, JP Nagar, Road No. 1",Goregaon East,400062,thrissur,India,sales@tayalinstitute.com,http://www.tayalsirvod.com,Rajesh Tayal,Monday - Sunday: 9 AM - 7 PM,"CS Coaching , CMA Coaching , Chartered Accountant Coaching , Chartered Financial Analyst (CFA) Coaching , ","Tayal Institute Private Limited is the first institute in India to provide coaching exclusively to CA Final students only. Another first for us is to give a choice to the students for selecting the subject they want to do with us instead of forcing them to join.The institute was founded by CS Prof. Rajesh Tayal, in the year 2004 and since then it has recorded growth year over years. Every time some of our students are placed in merit list.Our courses are built in partnership with technology leaders and are relevant to industry needs.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-43-f84c93fa-fd98-4134-9c4f-9b3abdf442c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-52-407ad4c4-b749-4039-add0-bb8165549e5a.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-55-58-5bd41ed0-3d4e-4bd7-bf24-edcf6d120f4c.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-05-c39d720b-a59f-4dc2-b185-a2213d696199.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-12-1a590e8e-38a2-4af7-82af-0375c4b4bc77.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-19-7a1e10da-8ed1-4df1-a576-3d5090ca7c55.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-26-f2c2731b-b550-427a-be55-4682b4e86802.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-11-2015%2012-56-38-61214f67-4aa2-415e-9754-d8efcd3d00ec.png , ",
168223,Taj International Language School,9895877123, 9048841012,,,,"2nd Floor, Jaya Building",Mavoor Road,673004,thrissur,India,taj4languages@gmail.com,http://www.tils.in,Ashraf,Monday - Sunday: 6 AM - 6 PM,"Language Training , Big Data Analytics Online Training , Arabic Language Training , R Analytics Online Training , French Language Training , German Language Training , Italian Language Training , Spanish Language Training , Malayalam Language Training , Foreign Languages Coaching , Portuguese Language Training , Spoken English Classes , Economics Coaching Classes (9th & 10th STD) , Economics Coaching Classes (11th & 12th STD) , Advanced Economics Coaching Classes (College level and above) , IELTS Coaching , TOEFL Coaching , ","Taj International Language School emerged in 1999, posing a big challenge to the out-dated teaching practices in language classrooms across India. Ever since we began our mission, we have enabled thousands of people speak English and other foreign languages beautifully and embark on international dream careers. And that is the best proof of the effectiveness of our insightful approach to foreign language teaching.Our unique method is powered by scientific understanding about how languages work and how they are acquired by the human brain. Based on this insight we have developed a highly active and engaging method called GAFNNSC to equip our learners with a powerful language which gives them an edge in the highly competitive international job market.Accomadation available nearbyBranch Address: IN Apartment, Opposite Chemical Engineering Department, MIT, East Malayamma Road, Company Mukku, Kattangal, Calicut  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-17e43b19-5a4f-4554-8001-d577b59f2da5.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-95ccc238-3fbd-44ae-9f06-74946991ef80.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-b37e329f-aca3-49cc-b841-a9c329c758c6.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-17e43b19-5a4f-4554-8001-d577b59f2da5.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-95ccc238-3fbd-44ae-9f06-74946991ef80.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-b37e329f-aca3-49cc-b841-a9c329c758c6.png , ","French Language Training , German Language Training , IELTS Coaching , Italian Language Training , Malayalam Language Training , Portuguese Language Training , R Analytics Online Training , Spanish Language Training , Spoken English Classes , TOEFL Coaching , "
168224,Synergy School of Business Skills,8197337703,,,,,"3rd Floor, Selex Mall, Thrissur",Thrissur City,680001,thrissur,India,callsynergy@synergysbs.co.in,http://www.synergysbs.co.in,Ganesan,Monday - Saturday: 9 AM - 6 PM,"Enterprise Training , Project Management Certification Training , Software Tools Training , Six Sigma Certification Training , Project Management Online Training , Primavera Training , Project Management Training , MS Office Training , PMP Certification Online Training , Advanced Primavera Training , PMI ACP Online Training , PMP Certification Training , Scrum Certification Training , CAPM Certification Training , MS Project Training , Asta Powerproject Certification Training , Six Sigma Green Belt Training , Six Sigma Black Belt Training , Kaizen Training , Tally Training , Placement Training , ","Synergy focuses on training individuals on project management concepts and software tools such as Microsoft Office Project, MSP Server, Primavera, and Primavera Complete, Asta Power Project. The courses will be offered in 70 locations across India and in 7 countries, as listed in its website. 
Synergy also trains on PMP Certification Preparatory module, and conducts PME (Project Management Expert) Certification for PM Aspirants. 
The training outcome with Project Management Skills include: Realistic Budgeting, Resource Estimation, Testing Methods, Better Communication, and Effective Risk Management that keep the pace of production high, both qualitatively and quantitatively. Synergy enrolls Students and Professionals of Management and Engineering specialization viz., Mechanical, Civil, Electrical, Electronics, Instrumentation, Business Administration & IT
Synergy offers training on Tally software, MS Office and Placement Training through its course called Master Diploma in Business Automation. 
The School will also help students find employment in the relevant corporate firms for the respective programs.  ",,"Advanced Primavera Training , Asta Powerproject Certification Training , Classroom Tuitions , Evening Classes , PMI ACP Online Training , PMP Certification Online Training , PMP Certification Training , Project Management Training , Scrum Certification Training , Six Sigma Black Belt Training , Six Sigma Green Belt Training , Tally Training , "
168225,BSS Computer College,04885 - 222093, 9994687850,,,,1st Floor,Kunnamkulam,680503,thrissur,India,,,Manish. T.I,,,,,
168226,Korattimatha Technology Institute & ITC,0487 - 2709884, 0487 - 2709108, 9846052221,,,,Chalakudy,680307,thrissur,India,,,paul,,"Diploma in Banking & Finance (DBF) Coaching , Diploma in Fashion Designing Coaching , ",,,
168227,Patriot Aviation College,0495 - 3292833, 9447186800,,,,,West Fort,680004,thrissur,India,,http://www.patriotaviationcollege.com,Mohammed Ibrahim,,,,,
168228,Prof. P.C.Thomas Classes,0487 - 2336699,,,,,,Thrissur East,680005,thrissur,India,,http://www.professorpcthomas.com,,,,,,
168229,Prof: P.C.Thomas Institute of Civil Service,0487 - 2351115, 0487 - 2355950,,,,,Thrissur East,680005,thrissur,India,,http://www.professorpcthomas.org/civil.htm,,,,,,
