EduID,Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
195769,PTC Aviation Academy,+91 44 33230207,,,,,"No. 16/29, 1st Main Road",Chromepet,600044,visakhapatnam,India,hrnova@worldptc.com,http://www.worldptc.com,Nova/Joseph,"Monday - Friday: 9 AM - 6 PM, Saturday: 9 AM - 1 PM","Coaching & Tuitions , Job Training , Shipping & Logistic Training , Aviation Industry Job Vacancies , Pilot Training , Airhostess Job Training , Airport Ground Staff Training , Flight Dispatcher Training , Presentations Skills Training , Aviation Management Training , IATA UFTTA Job Training , Spoken English Classes , Personality Development Training , Cabin Crew Job Training , Galileo GDS Job Training , Mass Communication Training , IELTS Coaching , TOEFL Coaching , Aircraft Maintenance Engineering (AME) Coaching , Travel & Tourism Job Training , Diploma in Pilot Training , Diploma in Air Hostess Training , Diploma in Airport Ground Staff Training , Diploma in Flight Dispatch Operations Training , Diploma in Aviation Management Training , Diploma in IATA UFTTA Job Training , Diploma in Galileo GDS Training , Language Development Coaching , Diploma in Travel & Tourism Training , Diploma in Hospitality Training , Aptitude Training , Diploma in Air Ticketing Training , Diploma in Banking & Finance (DBF) Training , Diploma in Fashion Designing Coaching , Public Speaking Training , ","PTC Aviation Academy, CHENNAI, is led by a professional team of enthusiasts with leading airline backgrounds. We specialize in training & development for airline personnel in various departments such as Ground crew, CSA, Ground staff, Documentation staff in Cargo until Airport Managers. We also specialize in recruitment for airlines & Cargo services. PTC - Aviation Academy is initiated and managed by Airline Professionals and a highly enterprising and motivated team. A premiere Aviation Academy offering courses in Ground Crew Training, Customer Services, Hospitality, and Travel & Tourism Training, Soft skill and English Fluency training. Contact us for your needs.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/PTCAC-1-047c9faf-52a7-4411-9a31-30d6f19ae3ba.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/PTCAC-2-c3bbc0f8-b332-42e4-86f8-6ea0c574e7c2.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/PTCAC-3-fcaba1e9-a5e8-4339-b986-e6f8ecb9860e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/PTCAC-4-91750188-2862-40a4-8cae-ed3a3d4fa199.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/PTCAC-5-35d168a7-1f0e-4235-a0d0-15e18d2953a5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Placement01-9ea8a301-82b1-4ff3-8e09-472fb4850feb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Placement02-ebcf4cce-0496-4571-827b-6dd937dc39b9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/placemnent03-105bb34c-d21f-4d96-a473-bd379e099a88.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/1-0f211369-c317-4697-ae8c-2c107860ab27.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-fd823521-2c09-4bad-99c6-9ffb15431148.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/3-a894d595-d3b9-4ac3-803f-4994ee3bbea6.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-a0aa35d0-aa20-4080-aff0-9a156d327177.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/5-cc0fdc3a-2132-4ee9-9dfc-7e786336c502.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/6-e85615cd-51b4-475d-82d2-c2748608738b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/PTCAC-1-047c9faf-52a7-4411-9a31-30d6f19ae3ba.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/PTCAC-2-c3bbc0f8-b332-42e4-86f8-6ea0c574e7c2.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/PTCAC-3-fcaba1e9-a5e8-4339-b986-e6f8ecb9860e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/PTCAC-4-91750188-2862-40a4-8cae-ed3a3d4fa199.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/PTCAC-5-35d168a7-1f0e-4235-a0d0-15e18d2953a5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Placement01-9ea8a301-82b1-4ff3-8e09-472fb4850feb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Placement02-ebcf4cce-0496-4571-827b-6dd937dc39b9.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/placemnent03-105bb34c-d21f-4d96-a473-bd379e099a88.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/1-0f211369-c317-4697-ae8c-2c107860ab27.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-fd823521-2c09-4bad-99c6-9ffb15431148.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/3-a894d595-d3b9-4ac3-803f-4994ee3bbea6.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-a0aa35d0-aa20-4080-aff0-9a156d327177.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/5-cc0fdc3a-2132-4ee9-9dfc-7e786336c502.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/6-e85615cd-51b4-475d-82d2-c2748608738b.jpg , ","1 Month Program , 1 Week Program , 1 Year Program , 2 Weeks Programs , 3 Months Program , 6 Months Program , Aircraft Maintenance Engineering (AME) Coaching , Airhostess Job Training , Airport Ground Staff Training , Aptitude Training , Aviation Industry Job Vacancies , Aviation Management Training , Below Rs.1000 , Cabin Crew Job Training , Classroom Tuitions , Daily Classes , Diploma in Fashion Designing Coaching , Diploma in Flight Dispatch Operations Training , Diploma in Galileo GDS Training , Diploma in Hospitality Training , Diploma in IATA UFTTA Job Training , Diploma in Pilot Training , Diploma in Travel & Tourism Training , Flight Dispatcher Training , Galileo GDS Job Training , IATA UFTTA Job Training , IELTS Coaching , Language Development Coaching , Mass Communication Training , More than Rs.20000 , Personality Development Training , Pilot Training , Presentations Skills Training , Public Speaking Training , Rs.10000-Rs.20000 , Rs.1000-Rs.5000 , Rs.5000-Rs.10000 , Shipping & Logistic Training , Spoken English Classes , TOEFL Coaching , Travel & Tourism Job Training , "
195770,Vinex Institute,9848053431, 9989143431,,,,"No. 47/11-21/1, Iswarya Complex, 1st Line",Dwaraka Nagar,530001,visakhapatnam,India,myvinex@gmail.com,http://vinexiasacademy.com,Srinivas Rao,Monday - Sunday: 8 AM - 8 PM,"Defence/Police Exam Coaching , Law Entrance Coaching , SET Entrance Coaching , CDS Exam Coaching , CLAT Entrance Coaching , IPS Entrance Exam Coaching , SSC Entrance Exam Coaching , RRB Entrance Exam Coaching , CACPT Coaching , UPSC Coaching , CS Coaching , Certified Personal Financial Advisor (CPFA) Coaching , IBPS Bank Interview Coaching , IIT Engineering Entrance Coaching , IAS Entrance Coaching , PSAT Exam Coaching , SAT Coaching , Medical Entrance Coaching , SSC JE Entrance Coaching , Chartered Accountant Coaching , Banking Tuitions , ",,,"1 Year Program , 6 Months Program , Classroom Tuitions , CLAT Entrance Coaching , CS Coaching , Daily Classes , Evening Classes , Holiday Classes , IAS Entrance Coaching , IBPS Bank Interview Coaching , IIT Engineering Entrance Coaching , IPS Entrance Exam Coaching , Medical Entrance Coaching , More than Rs.20000 , PSAT Exam Coaching , RRB Entrance Exam Coaching , Rs.10000-Rs.20000 , Rs.5000-Rs.10000 , SAT Coaching , SET Entrance Coaching , Short Term , SSC Entrance Exam Coaching , SSC JE Entrance Coaching , Summer Classes , UPSC Coaching , Weekend Classes , "
195771,Robomate Plus,18002100009,,,,,All Offline & Online Courses Available,Mulund West,400036,visakhapatnam,India,robomateleads@mteducare.com,,Mehek Khan,Monday - Saturday: 9 AM - 8 PM,,"MT EduCare Ltd, we believe in facilitating an environment to excel in studies. We offer world class infrastructure in addition to curriculum taught by the subject matter experts of the highest caliber backed by well  researched content and customized evaluation systems. Our interactive and new age methodologies not only make learning as an enjoyable experience but also create motivated and energetic students ready to excel in their exams.. Contact us for further details.  ",,
195772,Ivy Overseas,0891 - 6457099, 9966166624, 9959257775,,,No. 47-14-10,Dwaraka Nagar,530016,visakhapatnam,India,ram@ivyoverseas.com,http://www.ivyoverseas.com,Ramkumar,Monday - Saturday: 10 AM - 7.30 PM,"Coaching & Tuitions , USA Education Consultants , Australia Education Consultants , Canada Education Consultants , New Zealand Education Consultants , PTE Coaching , France Education Consultants , Germany Education Consultants , GRE Coaching , Singapore Education Consultants , IELTS Coaching , Europe Education Consultants , ","Our students are happy with the teaching of their course. Dynamic, confident and committed to the pursuit of excellence, Ivy Overseas goes from strength to strength as a University, widely recognized as an enabling, passionate and partnership-focused institution with a 'can do' attitude that organizations are keen to work with. Students and employers have access to a vibrant learning environment where excellent courses, great facilities and committed staff combine to inspire individuals with talent and energy to gain the knowledge and expertise they need to get into and flourish in their chosen profession.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/98480%2034572%20(1)-6724f1c2-f009-4b41-9771-a2e282da5b4a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/98480%2034572%20(2)-41ada135-8bf3-40ae-9355-15c888fd6b6c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/98480%2034572%20(3)-a096e884-ab0a-40b0-9a68-ff6f998fb797.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/98480%2034572%20(4)-af81c9b8-d760-426f-b82b-422ec7927814.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/98480%2034572%20(1)-6724f1c2-f009-4b41-9771-a2e282da5b4a.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/98480%2034572%20(2)-41ada135-8bf3-40ae-9355-15c888fd6b6c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/98480%2034572%20(3)-a096e884-ab0a-40b0-9a68-ff6f998fb797.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/98480%2034572%20(4)-af81c9b8-d760-426f-b82b-422ec7927814.jpg , ","Bank Loan Assistance , Counselling Overseas Education , Course Counseling , GRE Coaching , IELTS Coaching , International Business , Medicine , New Zealand Education Consultants , Overseas Aviation , PTE Coaching , Scholarships , Singapore Education Consultants , Travel and Accommodation Guidance , USA Education Consultants , Visa Applications , "
195773,Manhattan Review,9505500100,,,,,"Subha Vasista Enclave, No. 48-3-34, Front Portion of 1st Floor",Sri Nagar,560016,visakhapatnam,India,sulekha@indiamr.com,http://www.indiamr.com,Sunil Kumar,"Monday - Friday: 9 AM - 8 PM, Saturday - Sunday: 9 AM - 7 PM","Big Data Analytics Online Training , R Analytics Online Training , PTE Coaching , GRE Coaching , SAT Coaching , IELTS Coaching , TOEFL Coaching , GMAT Coaching , ","GMAT, GRE, SAT, TOEFL and IELTS preparation might appear too difficult for you. In fact, it is not. These tests are deceptively tough. Well, is there a means of securing an optimum score in the GMAT, GRE, SAT, TOEFL and IELTS? Yes, there is.Did you know these tests are designed according to certain patterned standards? You might not! GMAT, GRE, SAT, TOEFL and IELTS tests are not set in a random manner. Then, how are they done? How can you crack these tests with ease?Manhattan Review, has the answers for the above questions! The New York-based test preparation company will make these seemingly herculean tests easy for you! We have produced amazing results in GMAT, GRE, SAT, TOEFL and IELTS across the world. At Manhattan Review, you will find certified faculty members, excellent practice material and state-of-the-art infrastructure. Student-friendly trainers and sophisticated classrooms and labs will give you a congenial learning experience  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-20-2015%204-16-30%20PM-471a2168-ae8b-40d1-a9e2-8535593cc9ee.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-20-2015%204-16-41%20PM-578bc06b-147c-4517-b128-c016e34c75d2.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-20-2015%204-16-51%20PM-e39ae305-e2a4-4b14-92cf-138aa0229dfc.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-20-2015%204-16-59%20PM-1e8d4001-4d58-409a-9232-14acef701707.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-20-2015%204-17-04%20PM-64e083d3-1155-492b-abba-ca3fcc992a0f.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/12-20-2015%204-17-10%20PM-e699bdc0-84f5-42b1-b590-70a28e2724d1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4422920-fa155e38-2df4-4a8a-9fd8-221dbcccbd0f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-20-2015%204-16-30%20PM-471a2168-ae8b-40d1-a9e2-8535593cc9ee.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-20-2015%204-16-41%20PM-578bc06b-147c-4517-b128-c016e34c75d2.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-20-2015%204-16-51%20PM-e39ae305-e2a4-4b14-92cf-138aa0229dfc.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-20-2015%204-16-59%20PM-1e8d4001-4d58-409a-9232-14acef701707.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-20-2015%204-17-04%20PM-64e083d3-1155-492b-abba-ca3fcc992a0f.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/12-20-2015%204-17-10%20PM-e699bdc0-84f5-42b1-b590-70a28e2724d1.png , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4422920-fa155e38-2df4-4a8a-9fd8-221dbcccbd0f.jpg , ","Classroom Tuitions , Daily Classes , Evening Classes , SAT Coaching , TOEFL Coaching , Weekend Classes , "
195774,Storm Overseas Education,0891 - 6667999, 9885789222,,,,,Siripuram,530003,visakhapatnam,India,manasat.storm@gmail.com,http://www.stormgroup.in,Manasa,Monday - Saturday: 9 AM - 7 PM,"Coaching & Tuitions , Overseas Engineering Education Consultants , USA Education Consultants , UK Education Consultants , Australia Education Consultants , Canada Education Consultants , New Zealand Education Consultants , Overseas MBA Education Consultants , PTE Coaching , Germany Education Consultants , GRE Coaching , SAT Coaching , Singapore Education Consultants , Switzerland Education Consultants , IELTS Coaching , TOEFL Coaching , GMAT Coaching , Europe Education Consultants , Dubai Education Consultants , ","Established in the year 2001 Storm Group is one of the most successful international student recruitment companies in the India today. With over 28+ branches we have one of the largest networks of company owned offices all across India.We represent over 150 leading education institutions around the world. We offer end to end services to students; right from identifying the right course to the right destination. We have been instrumental in helping many students realize their dream of studying abroad come true.Our staff is well trained and well experienced with international student issues. Most of them have visited almost all countries and institutes we represent. With regular workshops, personal self-development and evaluation sessions on new training methods and technologies, policy changes, each of our staff member maintains their level of expertise in subject matter and brings added value to our services for students. They all understand the students needs and guide students in an ethical manner.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/download-9bba3ce9-48b2-4b11-ac85-c36a7536184b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/download%20(1)-bc4ec6a4-e295-4bb6-b065-3ffe772dde4f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/download%20(2)-d8287f49-a5bb-4ee3-a2b6-d13be9c739a7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/download%20(3)-271b5e32-ca23-4d39-a695-2518993a282b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/download%20(4)-cd344e4a-49c7-42ef-95a0-014313f98c7f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images-66bf6c89-c054-4fef-a640-d5c5cd988bc5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images%20(1)-2071531a-65a0-4450-ba1c-6d6ff4a2aa24.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images%20(2)-4138e74b-fe7a-4a66-8d26-61799f5c35ef.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images%20(3)-e2f749d5-35c2-49a4-a2e4-a4ea85c8d533.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images%20(4)-f01c524c-97c6-47db-a6ab-f0f629cdf57c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images%20(5)-149b778e-0a9f-4b8b-898c-52fe70ad3975.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/images%20(6)-e27273e9-1f24-41be-8265-beabf4a63dbb.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/download-9bba3ce9-48b2-4b11-ac85-c36a7536184b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/download%20(1)-bc4ec6a4-e295-4bb6-b065-3ffe772dde4f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/download%20(2)-d8287f49-a5bb-4ee3-a2b6-d13be9c739a7.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/download%20(3)-271b5e32-ca23-4d39-a695-2518993a282b.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/download%20(4)-cd344e4a-49c7-42ef-95a0-014313f98c7f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images-66bf6c89-c054-4fef-a640-d5c5cd988bc5.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images%20(1)-2071531a-65a0-4450-ba1c-6d6ff4a2aa24.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images%20(2)-4138e74b-fe7a-4a66-8d26-61799f5c35ef.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images%20(3)-e2f749d5-35c2-49a4-a2e4-a4ea85c8d533.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images%20(4)-f01c524c-97c6-47db-a6ab-f0f629cdf57c.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images%20(5)-149b778e-0a9f-4b8b-898c-52fe70ad3975.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/images%20(6)-e27273e9-1f24-41be-8265-beabf4a63dbb.jpg , ","GMAT Coaching , GRE Coaching , IELTS Coaching , New Zealand Education Consultants , Overseas Engineering Education Consultants , Overseas MBA Education Consultants , PTE Coaching , SAT Coaching , Singapore Education Consultants , Switzerland Education Consultants , TOEFL Coaching , UK Education Consultants , USA Education Consultants , "
195775,Gayatri Competitive Academy,8885918666,,,,,"House No. 8-19-1/112, Main Road",Dwaraka Nagar,530016,visakhapatnam,India,gayatrisrichanakya@gmail.com,http://www.gayatriacademy.com,S.Venkata Srinivas,Monday - Sunday: 9 AM - 9 PM,"RRB Entrance Exam Coaching , UPSC Coaching , IBPS Bank Interview Coaching , Banking Tuitions , IBPS Bank Exam Coaching , All India Common Entrance Examination (AICEE) Coaching , ","The institute was founded in 2007 by well educated person Sri S.V.Srinivas and M.Sankara Rao and other team of honourable faculty. Every year some of our students have secured stable and central services in good position. The teaching faculty of the Institute. The founders are basically faculty and other faculty are all so well qualified and experienced and committed teachers. To provide quality education guidance, and modern innovative conceptual teachers are engaged for each subject faculty multi-dynamic and multi subject experts in general studies. 10 Teachers experts in general studies. 10 Teachers are guiding the candidates. To give the notes and prepare the reading materials. Its institutions established as small organisations. But it is largest permanent prime locality near RTC cross roads in Visakhapatnam.  ",,
195776,SR Academy,9985511440, 9985511443,,,,"No. 49-24-41, Shankarmatam Road, Sri Vijaya Durga Complex",Dwaraka Nagar,530016,visakhapatnam,India,contactsracademy@gmail.com,http://www.sracademyindia.com,Sravan Kumar,Monday - Saturday: 09.00 AM - 06.00 PM ( Lunch: 01.00 PM - 01.30 PM ),"Integrated Professional Competency (IPCC) Coaching , CACPT Coaching , CS Coaching , CMA Coaching , Chartered Accountant Coaching , ICWA Coaching , ",,"http://localserviceassets.blob.core.windows.net:80/businessphoto-t/FB_IMG_1454585967100-25408d88-9745-4056-a4ae-2f5bd3b9aa68.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/FB_IMG_1454587782385-0c303499-73ab-49c0-b1da-dca9c9809bfa.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/FB_IMG_1454585967100-25408d88-9745-4056-a4ae-2f5bd3b9aa68.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/FB_IMG_1454587782385-0c303499-73ab-49c0-b1da-dca9c9809bfa.jpg , ","1 Year Program , 3 Months Program , 6 Months Program , Classroom Tuitions , CS Coaching , Daily Classes , Rs.10000-Rs.20000 , Short Term , "
195777,J.S. Nata Coaching,9154729729, 8522935454,,,,"No. 2-8-32, MIG 1B/78",MVP Colony,530017,visakhapatnam,India,jsnatacoaching@gmail.com,,Siva Ranjani,Monday - Saturday: 6 AM - 8 PM,"B.Arch Coaching Classes , NATA Coaching , Architecture Entrance Coaching , ","J.S. Nata Coaching is here in this service for many years. We deal with B.Arch Coaching Classes, NATA Coaching and Aptitude Training & Architecture Entrance Coaching. We value the trust and beliefs vested in us by our customers and professional contacts   and give a dedicated service with an honest and direct approach in all our dealings. We look forward to your business and hope you would give us a chance to serve. Contact us now.  ",,
195778,Corporate Fokus,9959129888,,,,,"3rd Floor, Mahalakshmi Residency, Simhapuri Colony",Simhachalam,530047,visakhapatnam,India,ksrao@corporatefokus.com,http://www.corporatefokus.com,K.S. Rao,Monday - Sunday: 10 AM - 6 PM,"Corporate Training Providers , SSC Entrance Exam Coaching , CAT Coaching , IAS Entrance Coaching , Spoken English Classes , Banking Tuitions , Banking Training , SBI PO Training , Personality Development Training , Spoken English Training (Corporate) , MAT coaching , ","It all began when a group of management students from a repute Business School in the city approached me for project guidance.  I realized that in spite bright college environment, the student needs something from the industry to enhance his knowledge.  This sowed the seeds for the birth of Corporate Fokus.
Corporate Fokus was set up in 2001, I designed a small training capsule Smartteknics Sales and Marketing Techniques Training.  This is targeted at those who are already in sales but are not systematic in their approach to sales.  It went well for sometimes, but I have seen wider horizons in training.
In less than two years, there were several demands from industry and public for soft skills training.  When Corporate Fokus offered its first soft skills program Personality Development Program with a mid-size Pharma formulae manufacturing unit, it was a thumping success and then on, we never turned back.
Today by 2009, Corporate Fokus is supported by more than 12 visiting faculties from various walks of life like Management, Law, Finance, Health, Yoga etc.  We have finished offering more than 200 programs and 3,200 training hours.
  ",,"1 Month Program , 3 Months Program , Daily Classes , Online Tuitions , Personality Development Training , SBI PO Training , Spoken English Classes , Spoken English Training (Corporate) , SSC Entrance Exam Coaching , "
